Date,Id,Invst_Unconsolidated_Subdrs
2020,35,4308
2008,36,239965
2009,36,234588
2010,36,219952
2011,36,212257
2012,36,206457
2013,36,177006
2014,36,374291
2015,36,375469
2016,36,369013
2017,36,353659
2018,36,524701
2019,36,530124
2020,36,420612
2008,37,342971
2009,37,360546
2010,37,365220
2011,37,324662
2012,37,283721
2013,37,209867
2014,37,226317
2015,37,17735
2016,37,9297
2017,37,53165
2018,37,102384
2019,37,164147
2020,37,183749
2008,38,32901
2009,38,30593
2010,38,37841
2011,38,47492
2012,38,62637
2013,38,45995
2014,38,104422
2015,38,131254
2016,38,201468
2017,38,317363
2018,38,538257
2019,38,642486
2020,38,640134
2008,39,1006
2009,39,5
2010,39,284
2011,39,582
2012,39,572
2013,39,560
2014,39,19546
2015,39,13382
2016,39,14537
2017,39,17770
2018,39,17828
2019,39,18447
2020,39,50026
2008,40,
2009,40,
2010,40,1914
2011,40,1819
2012,40,0
2013,40,0
2014,40,19595
2015,40,20919
2016,40,20456
2017,40,21865
2018,40,22804
2019,40,22931
2020,40,27738
2008,41,2372
2009,41,23
2010,41,50
2011,41,10000
2012,41,50
2013,41,68
2014,41,50
2015,41,60
2016,41,50
2017,41,71
2018,41,82
2019,41,0
2020,41,392
2008,42,397000
2009,42,1029000
2010,42,1033000
2011,42,1085000
2012,42,1115000
2013,42,647000
2014,42,872000
2015,42,607000
2016,42,1558000
2017,42,1598000
2018,42,2099000
2019,42,1682000
2020,42,861000
2008,43,38200
2009,43,15500
2010,43,23600
2011,43,66800
2012,43,73500
2013,43,74000
2014,43,79200
2015,43,78200
2016,43,75200
2017,43,77900
2018,43,76100
2019,43,79400
2020,43,75800
2008,44,4
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,0
2014,44,0
2015,44,0
2016,44,0
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,29842
