Date,Id,income taxes
2013,34,115883
2014,34,121292
2015,34,100169
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,18730
2009,35,13688
2010,35,8306
2011,35,5766
2012,35,4572
2013,35,14992
2014,35,20758
2015,35,26542
2016,35,33246
2017,35,16393
2018,35,35866
2019,35,36219
2020,35,33195
2008,36,179557
2009,36,63750
2010,36,-60646
2011,36,30178
2012,36,75883
2013,36,79233
2014,36,55131
2015,36,94006
2016,36,132186
2017,36,-45888
2018,36,82514
2019,36,96046
2020,36,139787
2008,37,142863
2009,37,99352
2010,37,65497
2011,37,63659
2012,37,148129
2013,37,121778
2014,37,126670
2015,37,4218
2016,37,18555
2017,37,6238
2018,37,-13217
2019,37,22537
2020,37,-26528
2008,38,52536
2009,38,25129
2010,38,60114
2011,38,40249
2012,38,59270
2013,38,53728
2014,38,39635
2015,38,84577
2016,38,77952
2017,38,14534
2018,38,39274
2019,38,69160
2020,38,27041
2008,39,-3941
2009,39,-2891
2010,39,643
2011,39,413
2012,39,3639
2013,39,1618
2014,39,-6589
2015,39,-4349
2016,39,964
2017,39,3283
2018,39,3239
2019,39,4148
2020,39,-19327
2008,40,13102
2009,40,10399
2010,40,11347
2011,40,17407
2012,40,17607
2013,40,15892
2014,40,12616
2015,40,5100
2016,40,17486
2017,40,10362
2018,40,16884
2019,40,14782
2020,40,15762
2008,41,-226
2009,41,-789
2010,41,236
2011,41,-4848
2012,41,147
2013,41,-482
2014,41,142
2015,41,-140
2016,41,-701
2017,41,1518
2018,41,-3833
2019,41,1420
2020,41,-9814
2008,42,585000
2009,42,2520000
2010,42,2401000
2011,42,3080000
2012,42,2745000
2013,42,2437000
2014,42,-850000
2015,42,1909000
2016,42,1993000
2017,42,1882000
2018,42,1851000
2019,42,836000
2020,42,1841000
2008,43,193000
2009,43,192100
2010,43,245200
2011,43,387300
2012,43,412700
2013,43,423900
2014,43,335700
2015,43,293300
2016,43,305300
2017,43,294400
2018,43,296100
2019,43,313500
2020,43,297800
2008,44,-1824
2009,44,-2783
2010,44,-1908
2011,44,976
2012,44,328
2013,44,585
2014,44,203
2015,44,1158
2016,44,148
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,104356
2009,46,147801
2010,46,69779
2011,46,60737
2012,46,86052
2013,46,128324
2014,46,120874
2015,46,114847
2016,46,143548
2017,46,95992
2018,46,124334
2019,46,123213
2020,46,134648
2008,47,227000
2009,47,145000
2010,47,158000
2011,47,148000
2012,47,128000
2013,47,51000
2014,47,179000
2015,47,133000
2016,47,117000
2017,47,192000
2018,47,157000
2019,47,189000
2020,47,99000
2008,48,-339000
2009,48,219000
2010,48,189000
2011,48,282000
2012,48,298000
2013,48,324000
2014,48,264000
2015,48,184000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1
2011,49,16
2012,49,22
2013,49,10
2014,49,218
2015,49,121
2016,49,-52
2017,49,-55
2018,49,-1770
2019,49,-1
2020,49,65
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,555
2013,50,1003
2014,50,3113
2015,50,1082
2016,50,1310
2017,50,1057
2018,50,1528
2019,50,2350
2020,50,420
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,473
2015,52,583
2016,52,694
2017,52,2156
2018,52,1814
2019,52,464
2020,52,962
2008,53,10706
2009,53,2838
2010,53,3291
2011,53,-4291
2012,53,5494
2013,53,2616
2014,53,6829
2015,53,9002
2016,53,7581
2017,53,21828
2018,53,7967
2019,53,10242
2020,53,4507
2008,54,7868
2009,54,4060
2010,54,4255
2011,54,2752
2012,54,2953
2013,54,4275
2014,54,6409
2015,54,7064
2016,54,9728
2017,54,6807
2018,54,7707
2019,54,9868
2020,54,5382
2008,55,8069
2009,55,-673
2010,55,10154
2011,55,7294
2012,55,-839
2013,55,8624
2014,55,8322
2015,55,11037
2016,55,21046
2017,55,15374
2018,55,15639
2019,55,11953
2020,55,-1731
2008,56,6254
2009,56,-949
2010,56,843
2011,56,2611
2012,56,3740
2013,56,3484
2014,56,5453
2015,56,2526
2016,56,1187
2017,56,3184
2018,56,2563
2019,56,1638
2020,56,-3146
2008,57,14372
2009,57,12431
2010,57,14682
2011,57,14056
2012,57,15360
2013,57,11453
2014,57,11809
2015,57,13383
2016,57,12241
2017,57,12275
2018,57,11767
2019,57,
2020,57,
2008,58,51000
2009,58,85000
2010,58,63000
2011,58,44000
2012,58,73000
2013,58,68000
2014,58,57000
2015,58,96000
2016,58,106000
2017,58,82000
2018,58,68000
2019,58,148000
2020,58,78000
2008,59,5174
2009,59,3693
2010,59,6096
2011,59,5989
2012,59,4751
2013,59,5082
2014,59,6160
2015,59,6945
2016,59,7132
2017,59,5471
2018,59,7439
2019,59,6991
2020,59,5927
2008,60,3257
2009,60,1436
2010,60,4394
2011,60,3771
2012,60,-11892
2013,60,-5124
2014,60,3394
2015,60,2114
2016,60,1649
2017,60,2161
2018,60,7456
2019,60,711
2020,60,1623
2008,61,1806
2009,61,-2415
2010,61,5942
2011,61,2728
2012,61,-1292
2013,61,477
2014,61,3179
2015,61,2948
2016,61,835
2017,61,2228
2018,61,4161
2019,61,3027
2020,61,3230
2008,62,1431
2009,62,-3461
2010,62,6238
2011,62,7451
2012,62,1543
2013,62,552
2014,62,3115
2015,62,2429
2016,62,707
2017,62,3544
2018,62,4391
2019,62,750
2020,62,1531
2008,63,0
2009,63,2700
2010,63,0
2011,63,0
2012,63,0
2013,63,0
2014,63,80
2015,63,0
2016,63,17
2017,63,395
2018,63,387
2019,63,515
2020,63,-2365
2008,64,653000
2009,64,1121000
2010,64,548000
2011,64,1643000
2012,64,1235000
2013,64,1111000
2014,64,928000
2015,64,401000
2016,64,880000
2017,64,490000
2018,64,375000
2019,64,513000
2020,64,-5955000
2008,65,17744
2009,65,19912
2010,65,23189
2011,65,25622
2012,65,22407
2013,65,23996
2014,65,25928
2015,65,25967
2016,65,28118
2017,65,26441
2018,65,27248
2019,65,26578
2020,65,-267
2008,66,
2009,66,
2010,66,-23
2011,66,5926
