Date,Id,reinvestment 
2019,31,-27.61
2020,31,
2008,32,-3.7
2009,32,-2.76
2010,32,0.28
2011,32,0.3
2012,32,-4.97
2013,32,-4.41
2014,32,-0.33
2015,32,-0.11
2016,32,5.24
2017,32,0.07
2018,32,0.06
2019,32,2.21
2020,32,-1.26
2008,33,-6.69
2009,33,-3.5
2010,33,-9.77
2011,33,-3.24
2012,33,-9.03
2013,33,-13.86
2014,33,-13.42
2015,33,-20.65
2016,33,-10.78
2017,33,-15.01
2018,33,-53.12
2019,33,
2020,33,
2008,34,2.51
2009,34,1.13
2010,34,0.36
2011,34,-1.04
2012,34,-12.77
2013,34,-6.6
2014,34,-5.08
2015,34,-3.94
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,5.22
2009,35,2.09
2010,35,-0.02
2011,35,-0.32
2012,35,0.99
2013,35,2.75
2014,35,5.58
2015,35,4.93
2016,35,5.03
2017,35,5.7
2018,35,10.74
2019,35,6
2020,35,7.59
2008,36,13.51
2009,36,4.11
2010,36,-2.52
2011,36,0.95
2012,36,-1.55
2013,36,-2.6
2014,36,4.63
2015,36,4.5
2016,36,4.7
2017,36,13.05
2018,36,11.77
2019,36,10.3
2020,36,13.98
2008,37,-4.17
2009,37,2.84
2010,37,0.05
2011,37,-6.61
2012,37,-13.78
2013,37,-7.85
2014,37,-3.13
2015,37,-0.44
2016,37,3.02
2017,37,7.11
2018,37,0.1
2019,37,3
2020,37,3.03
2008,38,17.74
2009,38,8.94
2010,38,10.46
2011,38,11.88
2012,38,0
2013,38,5.19
2014,38,8.01
2015,38,3.68
2016,38,2.92
2017,38,-12.33
2018,38,6.79
2019,38,-4.32
2020,38,6.93
2008,39,-3.34
2009,39,-2.51
2010,39,-2.8
2011,39,1.75
2012,39,-0.74
2013,39,-3.08
2014,39,-22.54
2015,39,-9.58
2016,39,-0.97
2017,39,2.78
2018,39,1.44
2019,39,7.4
2020,39,9.29
2008,40,2.18
2009,40,-0.49
2010,40,0.44
2011,40,2.69
2012,40,-20.07
2013,40,1.61
2014,40,-3.49
2015,40,-1.66
2016,40,-3.99
2017,40,1.12
2018,40,5.46
2019,40,5.53
2020,40,4.69
2008,41,-111.7
2009,41,-75.15
2010,41,-129.21
2011,41,-212.51
2012,41,-52.01
2013,41,26.24
2014,41,-1.35
2015,41,-13.29
2016,41,-40.33
2017,41,-2.06
2018,41,1.3
2019,41,1.29
2020,41,-3.52
2008,42,10.8
2009,42,10.17
2010,42,5.02
2011,42,4.41
2012,42,-1.5
2013,42,5.61
2014,42,-2.37
2015,42,2.16
2016,42,2.26
2017,42,3.94
2018,42,5.84
2019,42,-3.74
2020,42,-3.51
2008,43,0.57
2009,43,17.04
2010,43,7.31
2011,43,0.65
2012,43,2.22
2013,43,3.9
2014,43,4.72
2015,43,6.03
2016,43,6.39
2017,43,6.71
2018,43,6.08
2019,43,6.23
2020,43,5.7
2008,44,-27.4
2009,44,-27.52
2010,44,-72.54
2011,44,-22.03
2012,44,-17.7
2013,44,-18.38
2014,44,-17.2
2015,44,-20.88
2016,44,-13.86
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,3.32
2009,46,-4.08
2010,46,-0.29
2011,46,2.07
2012,46,1.08
2013,46,4.09
2014,46,4.83
2015,46,4.63
2016,46,8.14
2017,46,2.74
2018,46,6.94
2019,46,6.55
2020,46,5.99
2008,47,0.42
2009,47,-3.61
2010,47,0.29
2011,47,-14.69
2012,47,6.39
2013,47,-1.44
2014,47,-5.58
2015,47,-2.08
2016,47,2.69
2017,47,4.08
2018,47,4.2
2019,47,4.73
2020,47,3.38
2008,48,
2009,48,
2010,48,
2011,48,4.08
2012,48,4.05
2013,48,5.13
2014,48,2.63
2015,48,
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,2.91
2012,49,1.32
2013,49,1.44
2014,49,0.8
2015,49,-0.51
2016,49,-4.16
2017,49,-4.81
2018,49,-28.79
2019,49,0.03
2020,49,1.05
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,0.06
2015,50,-2.35
2016,50,-0.26
2017,50,-3.5
2018,50,-2.54
2019,50,2.8
