Date,Id,dividend type
2020,35, YR 
2008,36,
2009,36, YR 
2010,36, YR 
2011,36,
2012,36, SPL
2013,36, FIN
2014,36, YR 
2015,36, YR 
2016,36, YR 
2017,36, YR 
2018,36, YR 
2019,36, YR 
2020,36, YR 
2008,37,
2009,37,
2010,37, YR 
2011,37, YR 
2012,37,
2013,37,
2014,37, YR 
2015,37, YR 
2016,37, YR 
2017,37, YR 
2018,37, YR 
2019,37, YR 
2020,37, CMB
2008,38,
2009,38, YR 
2010,38,
2011,38, YR 
2012,38, YR 
2013,38, EXT
2014,38,
2015,38, YR 
2016,38, YR 
2017,38, YR 
2018,38, YR 
2019,38,
2020,38, YR 
2008,39,
2009,39,
2010,39, SPL
2011,39, SPL
2012,39, YR 
2013,39, YR 
2014,39, YR 
2015,39, YR 
2016,39, YR 
2017,39, YR 
2018,39, YR 
2019,39, YR 
2020,39, YR 
2008,40,
2009,40, YR 
2010,40, YR 
2011,40, YR 
2012,40, YR 
2013,40,
2014,40, YR 
2015,40, YR 
2016,40, YR 
2017,40, YR 
2018,40, YR 
2019,40, YR 
2020,40, YR 
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,
2013,41,
2014,41,
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,
2020,41,
2008,42,
2009,42, INT
2010,42, INT
2011,42, INT
2012,42, FIN
2013,42, YR 
2014,42, YR 
2015,42, CMB
2016,42, CMB
2017,42, CMB
2018,42, CMB
2019,42, FIN
2020,42, FIN
2008,43,
2009,43, INT
2010,43, INT
2011,43, INT
2012,43, INT
2013,43, INT
2014,43, INT
2015,43, INT
2016,43, INT
2017,43, INT
2018,43, INT
2019,43, INT
2020,43, INT
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,
2014,44,
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,
2009,46, YR 
2010,46,
2011,46, YR 
2012,46,
2013,46, FIN
2014,46, FIN
2015,46, YR 
2016,46, YR 
2017,46, YR 
2018,46, YR 
2019,46, CMB
2020,46, YR 
2008,47,
2009,47, YR 
2010,47, YR 
2011,47, EXT
2012,47, YR 
2013,47, YR 
2014,47, YR 
2015,47, YR 
2016,47, YR 
2017,47, YR 
2018,47, YR 
2019,47, YR 
2020,47, YR 
2008,48,
2009,48,
2010,48,
2011,48, YR 
2012,48, YR 
2013,48, YR 
2014,48, YR 
2015,48, YR 
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,
2014,49,
2015,49,
2016,49, YR 
2017,49,
2018,49,
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,
2015,50, YR 
2016,50, YR 
2017,50, YR 
2018,50, YR 
2019,50, YR 
2020,50, YR 
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,
2016,52, YR 
2017,52, YR 
2018,52, YR 
2019,52, YR 
2020,52,
2008,53,
2009,53, CMB
2010,53,
2011,53, YR 
2012,53, YR 
2013,53, YR 
2014,53, YR 
2015,53, YR 
2016,53, YR 
2017,53, YR 
2018,53, YR 
2019,53, YR 
2020,53, YR 
2008,54,
2009,54, YR 
2010,54,
2011,54, YR 
2012,54,
2013,54, YR 
2014,54, YR 
2015,54, YR 
2016,54, YR 
2017,54, YR 
2018,54, YR 
2019,54, YR 
2020,54,
2008,55,
2009,55, YR 
2010,55,
2011,55, YR 
2012,55, YR 
2013,55, YR 
2014,55, YR 
2015,55, YR 
2016,55, YR 
2017,55, YR 
2018,55, YR 
2019,55, YR 
2020,55, YR 
2008,56,
2009,56,
2010,56,
2011,56,
2012,56,
2013,56,
2014,56,
