Date,Id,employees
2008,36,11771
2009,36,11625
2010,36,11238
2011,36,11089
2012,36,10894
2013,36,10629
2014,36,9854
2015,36,9920
2016,36,10114
2017,36,10157
2018,36,10009
2019,36,9943
2020,36,9820
2008,37,23864
2009,37,22758
2010,37,22262
2011,37,21399
2012,37,20357
2013,37,19815
2014,37,19073
2015,37,1917
2016,37,2067
2017,37,1417
2018,37,1799
2019,37,1776
2020,37,2058
2008,38,9097
2009,38,7431
2010,38,9319
2011,38,12376
2012,38,11399
2013,38,9047
2014,38,34137
2015,38,30598
2016,38,34440
2017,38,31137
2018,38,26564
2019,38,31137
2020,38,29162
2008,39,61
2009,39,59
2010,39,100
2011,39,103
2012,39,101
2013,39,53
2014,39,46
2015,39,41
2016,39,34
2017,39,28
2018,39,27
2019,39,29
2020,39,36
2008,40,141
2009,40,145
2010,40,210
2011,40,241
2012,40,244
2013,40,247
2014,40,297
2015,40,305
2016,40,329
2017,40,351
2018,40,460
2019,40,498
2020,40,553
2008,41,10
2009,41,20
2010,41,19
2011,41,12
2012,41,10
2013,41,9
2014,41,10
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,671
2020,41,719
2008,42,75981
2009,42,81208
2010,42,78313
2011,42,75360
2012,42,73702
2013,42,71394
2014,42,68961
2015,42,67914
2016,42,62080
2017,42,62900
2018,42,69272
2019,42,68253
2020,42,66717
2008,43,3734
2009,43,3447
2010,43,3468
2011,43,3493
2012,43,3433
2013,43,3445
2014,43,3797
2015,43,3767
2016,43,3869
2017,43,3897
2018,43,4252
2019,43,4290
2020,43,4735
2008,44,147
2009,44,53
2010,44,40
2011,44,26
2012,44,21
2013,44,19
2014,44,
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,6588
2009,46,6720
2010,46,6822
2011,46,7050
2012,46,7256
2013,46,6304
2014,46,5105
2015,46,4978
2016,46,4968
2017,46,5519
2018,46,6534
2019,46,7576
2020,46,7650
2008,47,8645
2009,47,8930
2010,47,12171
2011,47,11960
2012,47,12771
2013,47,12626
2014,47,12212
2015,47,12083
2016,47,13494
2017,47,11436
2018,47,12080
2019,47,12186
2020,47,12978
2008,48,2403
2009,48,2685
2010,48,2955
2011,48,3125
2012,48,3512
2013,48,3599
2014,48,3609
2015,48,4309
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,
2013,49,
