Id,Ticker_Symbol
1,
2,WIG
3,INC
4,ENT
5,ECK
6,ELAB
7,PLTE
8,BRE
9,IMS
10,PIA
11,LR
12,PINF
13,SO
14,
15,
16,
17,RACE
18,EMC
19,CPR
20,IWB
21,MZB
22,MASI
23,ISG
24,SOL
25,ON
26,AST
27,PAN
28,CALT
29,BOE
30,TFI
31,VE
32,VIA
33,RIC
34,IT
35,CEM
36,BZU
37,ITM
38,WBD
39,ARN
40,FKR
41,SERI
42,ENEL
43,TRN
44,ECA
45,
46,ACE
47,A2A
48,EGPW
49,FDE
50,IB
51,
52,ELIN
53,SG
54,ELN
55,DAL
56,PRI
57,NICE
58,PRY
59,CMB
60,BE
61,GE
62,IRC
63,LIT
64,TIT
65,MARR
66,IVS
67,CLI
68,BIE
69,PLT
70,VLS
71,ENV
72,LD
73,BF
74,
75,KI
76,SRG
77,IRE
78,HER
79,ACS
80,ASC
81,EDNR
82,GALA
83,ZV
84,CIR
85,RM
86,CIR
87,NTW
88,CHL
89,DMN
90,YNAP
91,TWL
92,GGP
93,
94,
95,AMP
96,CC
97,EUK
98,DIA
99,TBS
100,DLG
101,CLF
102,ELC
103,BIA
104,PQ
105,ROS
106,EM
107,ZUC
108,FILA
109,MSK
110,TTT
111,BO
112,IMA
113,BSS
114,FDA
115,BLZ
116,SAB
117,TES
118,CARR
119,IP
120,FCT
121,CNHI
122,DAN
123,MOLD
124,CLA
125,LUVE
126,IKG
127,AUTME
128,SIS
129,SAVE
130,STS
131,TYA
132,ATL
133,PR
134,AT
135,ADB
136,DIB
137,BEC
138,
139,MTV
140,CBI
141,CED
142,CAI
143,MON
144,S24
145,POPR
146,CLE
147,MN
148,POL
149,GEDI
150,MS
151,TB
152,MTF
153,RCS
154,NPI
155,LMG
156,RWAY
157,AXEL
158,CLG
159,MSU
160,GG
161,DGT
162,GAMB
163,BFC
164,SOF
165,
166,INW
167,SRS
168,GSP
169,ENI
170,ERG
171,MT
172,YRM
173,SPM
174,LUX
175,TOD
176,BAN
177,GEO
178,SFL
179,RAT
180,AEF
181,FED
182,STEF
183,SFER
184,CRE
185,BC
186,CSP
187,IIG
188,MONC
189,OVS
190,COV
191,PRL
192,NWRN
193,MLM
194,REC
195,BIO2
196,REY
197,ENG
198,BEST
199,CAD
200,TIS
201,0N8G
202,TXT
203,TAS
204,FUL
205,XPR
206,NOE
207,BEST
208,NRST
209,SES
210,YSFT
211,PRM
212,EXAI
213,MCK
214,GROW
215,TV
216,GO
217,PITE
218,FM
219,PSF
220,BCM
221,SRI
222,WMC
223,ESCO
224,
225,CDR
226,ATH
227,CERV
228,B
229,BOMI
230,OJM
231,ITW
232,PRT
233,EIT
234,ETH
235,EEMS
236,OLI
237,JUVE
238,ASR
239,FNM
240,SSL
241,IGV
242,AGL
243,
244,SNA
245,BST
246,PST
247,
248,
249,DEA
250,EQUI
251,
252,
253,GPI
254,MOL
255,LVEN
256,
257,TGYM
258,WIIT
259,
260,
261,
262,ENAV
263,IOL
264,BMED
265,FARM
266,ASSI
267,
268,
269,IG
270,4AIM
271,VTY
272,SCM
273,DHH
274,CRES
275,SMR
276,
277,SITI
278,ILLA
279,GEL
280,
281,
282,
283,
284,
285,
286,SIR
287,
288,CULT
289,
290,DIG
291,
292,INDB
293,AVIO
294,BFF
295,
296,TPS
297,TLS
298,ORS
299,HI
300,
301,
302,FVI
303,
304,
305,
306,
307,
308,ESAU
309,
310,
311,
312,
313,
314,
315,
316,
317,
318,
319,
320,CIRC
321,
322,
323,
324,
325,
