Date,Id,bvs
2020,27,3.259
2008,28,8.367
2009,28,8.321
2010,28,8.438
2011,28,7.503
2012,28,7.516
2013,28,7.637
2014,28,8.067
2015,28,8.537
2016,28,8.266
2017,28,8.479
2018,28,8.569
2019,28,9.439
2020,28,9.125
2008,29,12.409
2009,29,13.493
2010,29,13.196
2011,29,12.792
2012,29,12.363
2013,29,12.511
2014,29,12.646
2015,29,12.704
2016,29,12.599
2017,29,12.193
2018,29,
2019,29,
2020,29,
2008,30,22.673
2009,30,29.896
2010,30,35.033
2011,30,38.404
2012,30,37.89
2013,30,36.666
2014,30,36.792
2015,30,32.025
2016,30,26.779
2017,30,-0.083
2018,30,-8.394
2019,30,-12.436
2020,30,0.818
2008,31,5202.282
2009,31,4924.837
2010,31,2976.57
2011,31,1979.617
2012,31,23.264
2013,31,-1832.004
2014,31,-281.267
2015,31,108.175
2016,31,66.996
2017,31,145.805
2018,31,166.443
2019,31,31.349
2020,31,
2008,32,3.548
2009,32,3.707
2010,32,3.43
2011,32,3.236
2012,32,3.205
2013,32,3.473
2014,32,3.529
2015,32,3.597
2016,32,3.352
2017,32,3.377
2018,32,3.367
2019,32,3.626
2020,32,3.64
2008,33,3.31
2009,33,3.282
2010,33,2.144
2011,33,2.121
2012,33,1.955
2013,33,1.704
2014,33,1.474
2015,33,1.234
2016,33,1.093
2017,33,0.955
2018,33,0.679
2019,33,
2020,33,
2008,34,10.441
2009,34,10.53
2010,34,11.07
2011,34,10.975
2012,34,9.316
2013,34,8.177
2014,34,8.925
2015,34,8.712
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,6.159
2009,35,6.3
2010,35,6.769
2011,35,6.313
2012,35,6.504
2013,35,5.998
2014,35,6.555
2015,35,6.59
2016,35,6.239
2017,35,6.009
2018,35,6.267
2019,35,6.565
2020,35,6.641
2008,36,12.148
2009,36,12.157
2010,36,12.473
2011,36,12.74
2012,36,11.814
2013,36,11
2014,36,11.361
2015,36,12.422
2016,36,13.499
2017,36,13.815
2018,36,15.768
2019,36,17.886
2020,36,17.504
2008,37,28.934
2009,37,31.862
2010,37,31.354
2011,37,28.018
2012,37,24.128
2013,37,22.087
2014,37,24.003
2015,37,24.42
2016,37,28.875
2017,37,32.742
2018,37,28.666
2019,37,32.36
2020,37,31.513
2008,38,2.031
2009,38,2.218
2010,38,2.771
2011,38,3.107
2012,38,4.457
2013,38,3.427
2014,38,2.262
2015,38,2.274
2016,38,2.456
2017,38,1.939
2018,38,1.697
2019,38,1.564
2020,38,1.601
2008,39,4.034
2009,39,3.85
2010,39,3.578
2011,39,3.401
2012,39,3.152
2013,39,3.256
2014,39,2.631
2015,39,2.432
2016,39,2.468
2017,39,2.613
2018,39,2.753
2019,39,3.138
2020,39,3.814
2008,40,3.948
2009,40,3.878
2010,40,1.565
2011,40,1.527
2012,40,1.181
2013,40,1.28
2014,40,1.611
2015,40,1.624
2016,40,1.512
2017,40,1.546
2018,40,1.734
2019,40,1.9
2020,40,1.967
2008,41,55.023
2009,41,33.427
2010,41,8.122
2011,41,6.928
2012,41,5.473
2013,41,7.16
2014,41,6.509
2015,41,5.567
2016,41,3.847
2017,41,21.296
2018,41,2.54
2019,41,2.503
2020,41,2.402
2008,42,2.838
2009,42,3.457
2010,42,4.026
2011,42,4.125
2012,42,3.91
2013,42,3.822
2014,42,3.351
2015,42,3.443
2016,42,3.423
2017,42,3.422
2018,42,3.12
2019,42,2.988
2020,42,2.787
2008,43,1.038
2009,43,1.25
2010,43,1.377
2011,43,1.369
2012,43,1.39
2013,43,1.463
2014,43,1.539
2015,43,1.652
2016,43,1.759
2017,43,1.892
2018,43,2
2019,43,2.085
2020,43,2.176
2008,44,0.499
2009,44,0.372
2010,44,0.215
2011,44,0.151
2012,44,0.092
2013,44,0.113
2014,44,0.083
2015,44,0.071
2016,44,0.063
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,6.479
2009,46,5.718
2010,46,6.148
2011,46,5.819
2012,46,5.905
2013,46,6.223
2014,46,6.731
2015,46,7.17
2016,46,7.862
2017,46,8.081
2018,46,8.138
2019,46,8.726
2020,46,9.244
2008,47,1.256
2009,47,1.188
2010,47,1.127
2011,47,0.891
2012,47,0.916
2013,47,0.899
2014,47,0.83
2015,47,0.852
2016,47,0.874
2017,47,0.926
2018,47,1.008
2019,47,1.058
2020,47,1.138
2008,48,
2009,48,
2010,48,1.324
2011,48,1.379
2012,48,1.42
2013,48,1.458
2014,48,1.567
2015,48,1.595
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0.123
2011,49,0.386
2012,49,0.148
2013,49,0.229
2014,49,0.321
2015,49,0.325
2016,49,0.379
2017,49,0.299
2018,49,0.226
2019,49,0.226
2020,49,0.228
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,1231.515
2013,50,1349.733
2014,50,11.888
2015,50,11.365
2016,50,11.112
2017,50,10.783
2018,50,10.571
2019,50,10.857
2020,50,13.83
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,2.311
2015,52,3.249
2016,52,3.53
2017,52,3.952
2018,52,3.829
2019,52,3.102
2020,52,
2008,53,6.531
2009,53,4.483
2010,53,4.925
2011,53,5.58
2012,53,5.18
2013,53,4.549
2014,53,5.11
2015,53,5.736
2016,53,6.115
2017,53,5.539
2018,53,15.475
2019,53,13.914
2020,53,13.122
2008,54,5.097
