Date,Id,Other_Investments
2016,35,102364
2017,35,97491
2018,35,91852
2019,35,92530
2020,35,80089
2008,36,83236
2009,36,39808
2010,36,47470
2011,36,47201
2012,36,19299
2013,36,29249
2014,36,28026
2015,36,26889
2016,36,21657
2017,36,22703
2018,36,20280
2019,36,20796
2020,36,18762
2008,37,722464
2009,37,800989
2010,37,698835
2011,37,462738
2012,37,467352
2013,37,349931
2014,37,348949
2015,37,210897
2016,37,668551
2017,37,619669
2018,37,413246
2019,37,218450
2020,37,127369
2008,38,54
2009,38,10706
2010,38,0
2011,38,4627
2012,38,0
2013,38,58991
2014,38,89124
2015,38,67832
2016,38,62614
2017,38,188694
2018,38,235692
2019,38,378272
2020,38,785
2008,39,
2009,39,
2010,39,
2011,39,
2012,39,
2013,39,21334
2014,39,23746
2015,39,4035
2016,39,4465
2017,39,4318
2018,39,3789
2019,39,4079
2020,39,4358
2008,40,11
2009,40,11
2010,40,10042
2011,40,11
2012,40,1559
2013,40,2424
2014,40,2117
2015,40,1473
2016,40,1326
2017,40,581
2018,40,663
2019,40,1105
2020,40,1833
2008,41,1372
2009,41,428
2010,41,152
2011,41,151
2012,41,0
2013,41,0
2014,41,281
2015,41,1745
2016,41,1676
2017,41,1883
2018,41,1655
2019,41,0
2020,41,0
2008,42,1943000
2009,42,1299000
2010,42,2537000
2011,42,2994000
2012,42,2139000
2013,42,6582000
2014,42,5061000
2015,42,5690000
2016,42,5572000
2017,42,4757000
2018,42,6890000
2019,42,7454000
2020,42,6454000
2008,43,116700
2009,43,123600
2010,43,201200
2011,43,522900
2012,43,755700
2013,43,528100
2014,43,787100
2015,43,691800
2016,43,347500
2017,43,120100
2018,43,229000
2019,43,451300
2020,43,507800
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,161
2014,44,692
2015,44,809
2016,44,871
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,9642
2009,46,9496
2010,46,6798
2011,46,7679
2012,46,7649
2013,46,40939
2014,46,7011
2015,46,7802
2016,46,7292
2017,46,21368
2018,46,57463
2019,46,48934
2020,46,16388
2008,47,591000
2009,47,81000
2010,47,138000
2011,47,161000
2012,47,123000
2013,47,96000
2014,47,99000
2015,47,69000
2016,47,73000
2017,47,44000
2018,47,37000
2019,47,29000
2020,47,36000
2008,48,51000
2009,48,18000
2010,48,19000
2011,48,56000
2012,48,328000
2013,48,363000
2014,48,435000
2015,48,208000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,1
2012,49,1
2013,49,0
2014,49,44
2015,49,0
2016,49,0
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,0
2013,50,0
2014,50,0
2015,50,0
2016,50,0
2017,50,14
2018,50,0
2019,50,0
2020,50,0
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,0
2015,52,0
2016,52,303
2017,52,0
2018,52,0
2019,52,0
2020,52,578
2008,53,0
2009,53,0
2010,53,0
2011,53,0
2012,53,0
2013,53,0
2014,53,0
2015,53,0
2016,53,0
2017,53,0
2018,53,99843
2019,53,134673
2020,53,134087
2008,54,15282
2009,54,3650
2010,54,7649
2011,54,5233
2012,54,73
2013,54,40651
2014,54,0
2015,54,0
2016,54,0
2017,54,0
2018,54,0
2019,54,0
2020,54,0
2008,55,1736
2009,55,1390
2010,55,1422
2011,55,5667
2012,55,1596
2013,55,4027
2014,55,24132
2015,55,35718
2016,55,35721
2017,55,41017
2018,55,7224
2019,55,9465
2020,55,7823
2008,56,1328
2009,56,1039
2010,56,939
2011,56,1077
2012,56,651
2013,56,402
2014,56,206
2015,56,156
2016,56,149
2017,56,365
2018,56,11489
2019,56,10701
2020,56,10459
2008,57,0
2009,57,0
2010,57,0
2011,57,0
2012,57,0
2013,57,0
2014,57,0
2015,57,0
2016,57,8525
2017,57,8195
2018,57,7865
2019,57,
2020,57,
2008,58,31000
2009,58,15000
2010,58,17000
2011,58,8000
2012,58,17000
2013,58,17000
2014,58,13000
2015,58,13000
2016,58,15000
2017,58,28000
2018,58,20000
2019,58,24000
2020,58,61000
2008,59,5
2009,59,5
2010,59,5
2011,59,5
2012,59,5
2013,59,5
2014,59,10
2015,59,1725
2016,59,1657
2017,59,1136
2018,59,1081
2019,59,1034
2020,59,860
2008,60,-349
2009,60,-1266
2010,60,58
2011,60,4296
2012,60,2093
2013,60,0
2014,60,0
2015,60,0
2016,60,0
2017,60,0
2018,60,0
2019,60,0
2020,60,0
2008,61,26065
2009,61,3107
2010,61,6048
2011,61,4416
2012,61,0
2013,61,0
2014,61,0
2015,61,0
2016,61,0
2017,61,166
2018,61,126
2019,61,98
2020,61,108
2008,62,70
2009,62,71
2010,62,79
2011,62,69
2012,62,65
2013,62,111
2014,62,61
2015,62,66
2016,62,66
2017,62,62
2018,62,112
2019,62,113
2020,62,125
2008,63,0
2009,63,0
2010,63,0
2011,63,22914
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,0
2019,63,0
2020,63,12
2008,64,2382000
2009,64,860000
2010,64,1580000
2011,64,2931000
2012,64,2495000
2013,64,1298000
2014,64,2391000
2015,64,2957000
2016,64,2631000
2017,64,1600000
2018,64,1589000
2019,64,2152000
2020,64,2108000
2008,65,295
2009,65,296
2010,65,297
2011,65,296
2012,65,296
2013,65,304
2014,65,589
2015,65,5399
2016,65,5716
2017,65,901
2018,65,2817
2019,65,3723
2020,65,2118
2008,66,
2009,66,
2010,66,
2011,66,1124
2012,66,1088
2013,66,6676
2014,66,10455
2015,66,2729
2016,66,3528
2017,66,1004
2018,66,903
2019,66,1548
2020,66,828
2008,67,28
2009,67,28
2010,67,28
2011,67,29
2012,67,27
2013,67,23
2014,67,18
2015,67,19
2016,67,533
2017,67,526
2018,67,625
2019,67,656
2020,67,704
2008,68,1144
2009,68,726
2010,68,7
2011,68,146
2012,68,0
2013,68,0
2014,68,0
2015,68,0
2016,68,0
2017,68,0
2018,68,0
2019,68,0
2020,68,0
2008,69,700
2009,69,1700
2010,69,900
2011,69,200
2012,69,16200
2013,69,23200
2014,69,4000
2015,69,2900
2016,69,51600
2017,69,10600
2018,69,
2019,69,
2020,69,
2008,70,0
2009,70,0
2010,70,3
2011,70,3
2012,70,33
2013,70,20
2014,70,20
2015,70,110
2016,70,110
2017,70,110
2018,70,110
2019,70,110
2020,70,110
2008,71,84
2009,71,0
2010,71,0
2011,71,0
2012,71,0
2013,71,133
2014,71,265
2015,71,293
2016,71,248
2017,71,230
2018,71,309
2019,71,466
2020,71,345
2008,72,49
2009,72,51
2010,72,52
2011,72,52
2012,72,23
2013,72,25
2014,72,25
2015,72,25
2016,72,113
2017,72,163
2018,72,123
2019,72,0
2020,72,0
2008,73,16346
2009,73,16797
2010,73,16254
2011,73,15414
2012,73,16185
2013,73,15468
2014,73,13941
2015,73,17788
2016,73,18555
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
