Date,Id,treasury
2018,36,7079
2019,36,29
2020,36,540
2008,37,1800
2009,37,1800
2010,37,1800
2011,37,1800
2012,37,1800
2013,37,1800
2014,37,1800
2015,37,1764
2016,37,1748
2017,37,5691
2018,37,5686
2019,37,512
2020,37,283
2008,38,0
2009,38,0
2010,38,0
2011,38,0
2012,38,0
2013,38,0
2014,38,3104
2015,38,3104
2016,38,3104
2017,38,3104
2018,38,1331
2019,38,1331
2020,38,1331
2008,39,0
2009,39,0
2010,39,0
2011,39,278
2012,39,376
2013,39,473
2014,39,40
2015,39,227
2016,39,780
2017,39,780
2018,39,814
2019,39,844
2020,39,1123
2008,40,0
2009,40,0
2010,40,0
2011,40,0
2012,40,180
2013,40,460
2014,40,460
2015,40,460
2016,40,460
2017,40,1510
2018,40,2210
2019,40,2210
2020,40,2210
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,0
2013,41,0
2014,41,0
2015,41,0
2016,41,0
2017,41,0
2018,41,0
2019,41,0
2020,41,0
2008,42,0
2009,42,0
2010,42,0
2011,42,0
2012,42,0
2013,42,0
2014,42,0
2015,42,0
2016,42,0
2017,42,0
2018,42,0
2019,42,1549
2020,42,3269
2008,43,0
2009,43,0
2010,43,0
2011,43,0
2012,43,0
2013,43,0
2014,43,0
2015,43,0
2016,43,0
2017,43,0
2018,43,0
2019,43,0
2020,43,1526
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,0
2014,44,0
2015,44,0
2016,44,0
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,417
2009,46,417
2010,46,417
2011,46,417
2012,46,417
2013,46,417
2014,46,417
2015,46,417
2016,46,417
2017,46,417
2018,46,417
2019,46,417
2020,46,417
2008,47,47435
2009,47,26918
2010,47,26918
2011,47,26918
2012,47,26918
2013,47,26918
2014,47,26918
2015,47,26918
2016,47,23721
2017,47,23721
2018,47,23721
2019,47,23721
2020,47,23721
2008,48,
2009,48,
2010,48,0
2011,48,0
2012,48,0
2013,48,0
2014,48,0
2015,48,0
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,74
2014,49,103
2015,49,252
2016,49,844
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,0
2013,50,0
2014,50,0
2015,50,0
2016,50,0
2017,50,0
2018,50,0
2019,50,0
2020,50,0
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,0
2015,52,0
2016,52,0
2017,52,0
2018,52,35
2019,52,35
2020,52,0
2008,53,778
2009,53,682
2010,53,0
2011,53,0
2012,53,0
2013,53,0
2014,53,0
2015,53,0
2016,53,0
2017,53,0
2018,53,0
2019,53,3900
2020,53,3900
2008,54,413
2009,54,413
2010,54,413
2011,54,413
2012,54,85
2013,54,85
2014,54,0
2015,54,0
2016,54,0
2017,54,0
2018,54,0
2019,54,0
2020,54,0
2008,55,3064
2009,55,3501
2010,55,4000
2011,55,2280
2012,55,1608
2013,55,1393
2014,55,192
2015,55,275
2016,55,302
2017,55,217
2018,55,896
2019,55,1148
2020,55,1754
2008,56,
2009,56,0
2010,56,
2011,56,0
2012,56,0
2013,56,0
2014,56,0
2015,56,0
2016,56,0
2017,56,0
2018,56,100
2019,56,100
2020,56,100
2008,57,5336
2009,57,5336
2010,57,5336
2011,57,5336
2012,57,5336
2013,57,5336
2014,57,5336
2015,57,5336
2016,57,5336
2017,57,5336
2018,57,5336
2019,57,
2020,57,
2008,58,3133
2009,58,3133
2010,58,3133
2011,58,3133
2012,58,3144
2013,58,3144
2014,58,2928
2015,58,2800
2016,58,2708
2017,58,6718
2018,58,5097
2019,58,4891
2020,58,4759
2008,59,
2009,59,
2010,59,
2011,59,
2012,59,0
2013,59,0
2014,59,0
2015,59,0
2016,59,65
2017,59,285
2018,59,280
2019,59,280
2020,59,258
2008,60,786
2009,60,786
2010,60,786
2011,60,786
2012,60,786
2013,60,786
2014,60,786
2015,60,786
2016,60,786
2017,60,786
2018,60,786
2019,60,786
2020,60,786
2008,61,0
2009,61,187
2010,61,372
2011,61,120
2012,61,131
2013,61,168
2014,61,190
2015,61,220
2016,61,227
2017,61,227
2018,61,27
2019,61,27
2020,61,27
2008,62,1608
2009,62,1654
2010,62,1654
2011,62,1773
2012,62,1915
2013,62,1915
2014,62,1920
2015,62,1404
2016,62,1412
2017,62,1412
2018,62,1515
2019,62,1538
2020,62,1548
2008,63,0
2009,63,0
2010,63,0
2011,63,
2012,63,0
2013,63,0
2014,63,0
2015,63,0
2016,63,0
2017,63,0
2018,63,0
2019,63,7435
2020,63,4186
2008,64,26272
2009,64,162216
2010,64,162216
2011,64,162216
2012,64,162216
2013,64,162216
2014,64,162216
2015,64,163754
2016,64,163754
2017,64,163754
2018,64,163754
2019,64,163754
2020,64,161262
2008,65,689
2009,65,706
2010,65,706
2011,65,706
2012,65,706
2013,65,706
2014,65,0
2015,65,0
2016,65,0
2017,65,0
2018,65,0
2019,65,0
2020,65,0
2008,66,
2009,66,
2010,66,0
2011,66,0
2012,66,3199
2013,66,2934
2014,66,2983
2015,66,2466
2016,66,2466
2017,66,2130
2018,66,2130
2019,66,1896
2020,66,1896
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,0
2013,67,0
2014,67,0
2015,67,0
2016,67,0
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,0
2009,68,0
2010,68,0
2011,68,
2012,68,0
2013,68,0
2014,68,0
2015,68,0
2016,68,0
2017,68,0
2018,68,0
2019,68,0
2020,68,0
2008,69,0
2009,69,0
2010,69,0
2011,69,0
2012,69,2049
2013,69,2049
2014,69,2049
2015,69,2049
2016,69,2049
2017,69,2049
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,
2012,70,0
2013,70,0
2014,70,0
2015,70,0
2016,70,0
2017,70,0
2018,70,0
2019,70,0
2020,70,0
