Date,Id,se
2019,33,
2020,33,
2008,34,3324776
2009,34,3353095
2010,34,3525082
2011,34,3494916
2012,34,2966713
2013,34,2603845
2014,34,3082824
2015,34,3009084
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,979996
2009,35,1002481
2010,35,1077141
2011,35,1004562
2012,35,1034920
2013,35,954425
2014,35,1043070
2015,35,1048670
2016,35,992697
2017,35,956188
2018,35,997146
2019,35,1044627
2020,35,1056709
2008,36,2493371
2009,36,2495956
2010,36,2561427
2011,36,2617079
2012,36,2428162
2013,36,2260863
2014,36,2335094
2015,36,2553025
2016,36,2774378
2017,36,2845636
2018,36,3137485
2019,36,3685118
2020,36,3597508
2008,37,2177322
2009,37,2397632
2010,37,2359435
2011,37,2108398
2012,37,1815691
2013,37,1662077
2014,37,1806274
2015,37,1838557
2016,37,1324955
2017,37,1373298
2018,37,1202461
2019,37,1358729
2020,37,1330364
2008,38,820652
2009,38,896293
2010,38,1119586
2011,38,1255559
2012,38,1800954
2013,38,1384704
2014,38,1109903
2015,38,1116000
2016,38,1205000
2017,38,951386
2018,38,835709
2019,38,1395394
2020,38,1428989
2008,39,179300
2009,39,171132
2010,39,159056
2011,39,150240
2012,39,138295
2013,39,141770
2014,39,114544
2015,39,105453
2016,39,105629
2017,39,111818
2018,39,138758
2019,39,158064
2020,39,202528
2008,40,345942
2009,40,339773
2010,40,327988
2011,40,444913
2012,40,343987
2013,40,372305
2014,40,468645
2015,40,472472
2016,40,439994
2017,40,448223
2018,40,501424
2019,40,549582
2020,40,568777
2008,41,73061
2009,41,47262
2010,41,11858
2011,41,29338
2012,41,23183
2013,41,31746
2014,41,28861
2015,41,24685
2016,41,17057
2017,41,94427
2018,41,120125
2019,41,118394
2020,41,113595
2008,42,20398000
2009,42,32505000
2010,42,37861000
2011,42,38790000
2012,42,36771000
2013,42,35941000
2014,42,31506000
2015,42,32376000
2016,42,34803000
2017,42,34795000
2018,42,31720000
2019,42,30377000
2020,42,28325000
2008,43,2076800
2009,43,2501500
2010,43,2760600
2011,43,2751000
2012,43,2794300
2013,43,2940600
2014,43,3092900
2015,43,3320800
2016,43,3535400
2017,43,3803300
2018,43,4019200
2019,43,4190300
2020,43,4369800
2008,44,43364
2009,44,32365
2010,44,23221
2011,44,16386
2012,44,9944
2013,44,18828
2014,44,13862
2015,44,11879
2016,44,10577
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1377184
2009,46,1215322
2010,46,1306703
2011,46,1236795
2012,46,1255118
2013,46,1322634
2014,46,1430566
2015,46,1523925
2016,46,1671136
2017,46,1717626
2018,46,1729638
2019,46,1854772
2020,46,1964829
2008,47,3874000
2009,47,3690000
2010,47,3501000
2011,47,2767000
2012,47,2846000
2013,47,2791000
2014,47,2579000
2015,47,2646000
2016,47,2717000
2017,47,2878000
2018,47,3135000
2019,47,3289000
2020,47,3537000
2008,48,2014000
2009,48,2384000
2010,48,6622000
2011,48,6897000
2012,48,7098000
2013,48,7290000
2014,48,7835000
2015,48,7973000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,679
2011,49,2137
2012,49,6937
2013,49,11510
2014,49,18315
2015,49,18517
2016,49,18315
2017,49,17720
2018,49,13377
2019,49,13381
2020,49,13533
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,29682
2013,50,32531
2014,50,46294
2015,50,44260
2016,50,43274
2017,50,41993
2018,50,41165
2019,50,42280
2020,50,71967
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,6932
2015,52,12055
2016,52,13189
2017,52,15162
2018,52,14569
2019,52,11812
2020,52,11296
2008,53,143381
2009,53,98851
2010,53,108597
2011,53,123028
2012,53,114227
2013,53,100304
2014,53,112685
2015,53,126485
2016,53,134831
2017,53,122141
2018,53,341220
2019,53,252530
2020,53,238162
2008,54,96261
2009,54,89820
2010,54,93713
2011,54,94279
2012,54,112584
2013,54,128269
2014,54,142957
2015,54,170466
2016,54,181835
2017,54,190321
2018,54,200660
2019,54,222427
2020,54,225420
2008,55,134860
2009,55,115737
2010,55,139206
2011,55,169292
2012,55,172445
2013,55,185247
2014,55,241291
2015,55,298260
2016,55,336394
2017,55,353029
2018,55,375809
2019,55,402318
2020,55,368205
2008,56,75087
2009,56,64978
2010,56,76245
2011,56,80121
2012,56,83949
2013,56,104976
2014,56,119557
2015,56,129715
2016,56,137740
2017,56,147668
2018,56,166438
2019,56,171981
2020,56,159620
2008,57,127327
2009,57,147558
2010,57,169300
2011,57,189303
2012,57,206186
2013,57,194956
2014,57,203794
2015,57,204639
2016,57,219413
2017,57,220020
2018,57,221444
2019,57,
2020,57,
2008,58,447000
2009,58,677000
2010,58,756000
2011,58,1042000
2012,58,1112000
2013,58,1147000
2014,58,1150000
2015,58,1278000
2016,58,1448000
2017,58,1487000
2018,58,2258000
2019,58,2415000
2020,58,2259000
2008,59,71463
2009,59,75997
2010,59,85746
2011,59,93129
2012,59,102056
2013,59,109492
2014,59,119895
2015,59,131173
2016,59,137627
2017,59,143075
2018,59,152878
2019,59,160426
2020,59,163589
2008,60,110329
2009,60,141828
2010,60,149925
2011,60,153299
2012,60,115940
2013,60,96911
2014,60,102078
2015,60,103791
2016,60,106104
2017,60,105758
2018,60,94080
2019,60,92950
2020,60,82631
2008,61,70152
2009,61,58064
2010,61,69301
2011,61,76957
2012,61,72553
2013,61,63059
2014,61,65980
2015,61,62984
2016,61,66908
2017,61,69911
2018,61,72814
2019,61,75044
2020,61,78179
2008,62,136156
2009,62,129439
2010,62,142790
2011,62,147601
2012,62,141775
2013,62,132771
2014,62,137451
2015,62,130569
2016,62,136970
2017,62,132749
2018,62,131671
2019,62,131845
2020,62,122932
2008,63,158220
2009,63,149067
2010,63,142595
2011,63,139236
2012,63,135668
2013,63,137000
2014,63,128964
2015,63,132437
2016,63,135357
2017,63,146474
2018,63,167376
2019,63,162783
2020,63,178498
2008,64,26126000
2009,64,25952000
2010,64,28819000
2011,64,22791000
2012,64,19378000
2013,64,17061000
2014,64,18145000
2015,64,17610000
2016,64,21207000
2017,64,21557000
2018,64,19528000
2019,64,20280000
2020,64,26215000
2008,65,180515
