Date,Id,common stock
2015,34,401715
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,159120
2009,35,159120
2010,35,159120
2011,35,159120
2012,35,159120
2013,35,159120
2014,35,159120
2015,35,159120
2016,35,159120
2017,35,159120
2018,35,159120
2019,35,159120
2020,35,159120
2008,36,123637
2009,36,123637
2010,36,123637
2011,36,123637
2012,36,123637
2013,36,123637
2014,36,123637
2015,36,123637
2016,36,123637
2017,36,123637
2018,36,123637
2019,36,123637
2020,36,123637
2008,37,100167
2009,37,100167
2010,37,100167
2011,37,100167
2012,37,100167
2013,37,100167
2014,37,100167
2015,37,100167
2016,37,100167
2017,37,100167
2018,37,100167
2019,37,100167
2020,37,100167
2008,38,718364
2009,38,718364
2010,38,718364
2011,38,718364
2012,38,718364
2013,38,718364
2014,38,544740
2015,38,544740
2016,38,544740
2017,38,544740
2018,38,544740
2019,38,600000
2020,38,600000
2008,39,162842
2009,39,162842
2010,39,162842
2011,39,161822
2012,39,159866
2013,39,159511
2014,39,161094
2015,39,160401
2016,39,158355
2017,39,158355
2018,39,186042
2019,39,140000
2020,39,161137
2008,40,67680
2009,40,67680
2010,40,161897
2011,40,291414
2012,40,291414
2013,40,291414
2014,40,291414
2015,40,291414
2016,40,291414
2017,40,291414
2018,40,291414
2019,40,291414
2020,40,291414
2008,41,40374
2009,41,42987
2010,41,44412
2011,41,39214
2012,41,39215
2013,41,41019
2014,41,41019
2015,41,41019
2016,41,41019
2017,41,84897
2018,41,93073
2019,41,93090
2020,41,93091
2008,42,6186000
2009,42,9403000
2010,42,9403000
2011,42,9403000
2012,42,9403000
2013,42,9403000
2014,42,9403000
2015,42,9403000
2016,42,10167000
2017,42,10167000
2018,42,10167000
2019,42,10167000
2020,42,10167000
2008,43,440200
2009,43,440200
2010,43,441000
2011,43,442200
2012,43,442200
2013,43,442200
2014,43,442200
2015,43,442200
2016,43,442200
2017,43,442200
2018,43,442200
2019,43,442200
2020,43,442200
2008,44,51359
2009,44,51360
2010,44,62970
2011,44,62974
2012,44,24678
2013,44,26411
2014,44,26411
2015,44,26411
2016,44,26411
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1098899
2009,46,1098899
2010,46,1098899
2011,46,1098899
2012,46,1098899
2013,46,1098899
2014,46,1098899
2015,46,1098899
2016,46,1098899
2017,46,1098899
2018,46,1098899
2019,46,1098899
2020,46,1098899
2008,47,1629000
2009,47,1629000
2010,47,1629000
2011,47,1629000
2012,47,1629000
2013,47,1629000
2014,47,1629000
2015,47,1629000
2016,47,1629000
2017,47,1629000
2018,47,1629000
2019,47,1629000
2020,47,1629000
2008,48,600000
2009,48,600000
2010,48,1000000
2011,48,1000000
2012,48,1000000
2013,48,1000000
2014,48,1000000
2015,48,1000000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,110
2011,49,2000
2012,49,4225
2013,49,6338
2014,49,
2015,49,11906
2016,49,14745
2017,49,14829
2018,49,14829
2019,49,14829
2020,49,14829
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,24000
2013,50,24000
2014,50,19389
2015,50,19389
2016,50,19389
2017,50,19389
2018,50,19389
2019,50,19389
2020,50,26019
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,3000
2015,52,3710
2016,52,3736
2017,52,3837
2018,52,3839
2019,52,3842
2020,52,3842
2008,53,12220
2009,53,12220
2010,53,12220
2011,53,12220
2012,53,12220
2013,53,12220
2014,53,12220
2015,53,12220
2016,53,12220
2017,53,12220
2018,53,12220
2019,53,12220
2020,53,12220
2008,54,2509
2009,54,2509
2010,54,2509
2011,54,2509
2012,54,2509
2013,54,2509
2014,54,2509
2015,54,2509
2016,54,2509
2017,54,2509
2018,54,2509
2019,54,2538
2020,54,2550
2008,55,30392
2009,55,30392
2010,55,30392
2011,55,30392
2012,55,30392
2013,55,30392
2014,55,30392
2015,55,30392
2016,55,30392
2017,55,30392
2018,55,30392
2019,55,30392
2020,55,30392
2008,56,16000
2009,56,16000
2010,56,21600
2011,56,21602
2012,56,21607
2013,56,26208
2014,56,26208
2015,56,26208
2016,56,26208
2017,56,26208
2018,56,26208
2019,56,26208
2020,56,26208
2008,57,11600
2009,57,11600
2010,57,11600
2011,57,11600
2012,57,11600
2013,57,11600
2014,57,11600
2015,57,11600
2016,57,11600
2017,57,11600
2018,57,11600
2019,57,
2020,57,
2008,58,18000
2009,58,18000
2010,58,18000
2011,58,21000
2012,58,21000
2013,58,21000
2014,58,21000
2015,58,22000
2016,58,22000
2017,58,22000
2018,58,27000
2019,58,27000
2020,58,27000
2008,59,8840
2009,59,8840
2010,59,8840
2011,59,8840
2012,59,8840
2013,59,8840
2014,59,8840
2015,59,8840
2016,59,8840
2017,59,8840
2018,59,8840
2019,59,8840
2020,59,8840
2008,60,10000
2009,60,10000
2010,60,10000
2011,60,10000
2012,60,9961
2013,60,9961
2014,60,9961
2015,60,9961
2016,60,9961
2017,60,9961
2018,60,9961
2019,60,9961
2020,60,9961
2008,61,14356
2009,61,14217
2010,61,14035
2011,61,14280
2012,61,14400
2013,61,14400
2014,61,14400
2015,61,14400
2016,61,14400
2017,61,14400
2018,61,14400
2019,61,14400
2020,61,14400
2008,62,14627
2009,62,14627
2010,62,14627
2011,62,14627
2012,62,14627
2013,62,14627
2014,62,14627
2015,62,14627
2016,62,14627
2017,62,14627
2018,62,14627
2019,62,14627
2020,62,14627
2008,63,144018
2009,63,144019
2010,63,144019
2011,63,144026
2012,63,144033
2013,63,144209
2014,63,144209
2015,63,144209
2016,63,144330
2017,63,144209
2018,63,144209
2019,63,144209
2020,63,144209
2008,64,10674000
2009,64,10674000
2010,64,10689000
2011,64,10693000
2012,64,10693000
2013,64,10693000
2014,64,10723000
2015,64,10740000
2016,64,11677000
2017,64,11677000
2018,64,11677000
2019,64,11677000
2020,64,11677000
2008,65,32918
2009,65,32910
2010,65,32910
2011,65,32910
2012,65,32910
2013,65,33263
2014,65,33263
2015,65,33263
2016,65,33263
2017,65,33263
2018,65,33263
2019,65,33263
2020,65,33263
2008,66,
2009,66,
2010,66,35
2011,66,64002
2012,66,387
2013,66,387
2014,66,387
2015,66,387
2016,66,387
2017,66,364
2018,66,364
2019,66,364
2020,66,364
2008,67,20600
2009,67,20600
2010,67,20600
2011,67,20600
2012,67,20600
2013,67,20600
2014,67,20600
2015,67,20600
2016,67,28840
2017,67,28840
2018,67,28840
2019,67,28840
2020,67,28840
2008,68,1761
2009,68,1788
2010,68,1788
2011,68,18000
