Date,Id,cash dividends paid
2015,31,0
2016,31,0
2017,31,0
2018,31,0
2019,31,0
2020,31,
2008,32,1204
2009,32,602
2010,32,602
2011,32,602
2012,32,602
2013,32,602
2014,32,602
2015,32,602
2016,32,602
2017,32,1505
2018,32,4956
2019,32,1806
2020,32,0
2008,33,0
2009,33,0
2010,33,0
2011,33,0
2012,33,0
2013,33,0
2014,33,0
2015,33,0
2016,33,0
2017,33,0
2018,33,0
2019,33,
2020,33,
2008,34,103474
2009,34,53308
2010,34,33432
2011,34,33433
2012,34,40434
2013,34,83695
2014,34,83159
2015,34,108421
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,21321
2009,35,14187
2010,35,11630
2011,35,11467
2012,35,10702
2013,35,8094
2014,35,14608
2015,35,17543
2016,35,17275
2017,35,17156
2018,35,20970
2019,35,27238
2020,35,30906
2008,36,87231
2009,36,74862
2010,36,37926
2011,36,1215
2012,36,10271
2013,36,12473
2014,36,10277
2015,36,10277
2016,36,15415
2017,36,20553
2018,36,28135
2019,36,26559
2020,36,31802
2008,37,193337
2009,37,104958
2010,37,150286
2011,37,147984
2012,37,104756
2013,37,74168
2014,37,82458
2015,37,11694
2016,37,144830
2017,37,25629
2018,37,23071
2019,37,26271
2020,37,83999
2008,38,0
2009,38,33457
2010,38,420
2011,38,25832
2012,38,37361
2013,38,602238
2014,38,420
2015,38,22921
2016,38,43655
2017,38,59579
2018,38,54472
2019,38,6093
2020,38,29704
2008,39,0
2009,39,0
2010,39,4401
2011,39,4841
2012,39,5223
2013,39,5179
2014,39,3449
2015,39,1958
2016,39,1935
2017,39,1926
2018,39,2269
2019,39,1713
2020,39,10716
2008,40,11252
2009,40,11053
2010,40,6502
2011,40,4895
2012,40,8846
2013,40,57
2014,40,17199
2015,40,21927
2016,40,15162
2017,40,21742
2018,40,23970
2019,40,32419
2020,40,30412
2008,41,0
2009,41,0
2010,41,0
2011,41,0
2012,41,0
2013,41,0
2014,41,0
2015,41,0
2016,41,0
2017,41,0
2018,41,0
2019,41,0
2020,41,0
2008,42,3401000
2009,42,3135000
2010,42,3147000
2011,42,3517000
2012,42,2229000
2013,42,2044000
2014,42,2573000
2015,42,2297000
2016,42,2507000
2017,42,2873000
2018,42,3444000
2019,42,3957000
2020,42,4742000
2008,43,327500
2009,43,337800
2010,43,400800
2011,43,422100
2012,43,402000
2013,43,402000
2014,43,402000
2015,43,402000
2016,43,406200
2017,43,418400
2018,43,451100
2019,43,475200
2020,43,526100
2008,44,
2009,44,0
2010,44,0
2011,44,0
2012,44,
2013,44,0
2014,44,0
2015,44,0
2016,44,0
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,133457
2009,46,141289
2010,46,2851
2011,46,159530
2012,46,47813
2013,46,77434
2014,46,43852
2015,46,101123
2016,46,110679
2017,46,136110
2018,46,137379
2019,46,73795
2020,46,93212
2008,47,299000
2009,47,301000
2010,47,217000
2011,47,298000
2012,47,40000
2013,47,87000
2014,47,106000
2015,47,118000
2016,47,131000
2017,47,155000
2018,47,185000
2019,47,232000
2020,47,256000
2008,48,
2009,48,
2010,48,0
2011,48,136000
2012,48,147000
2013,48,150000
2014,48,192000
2015,48,204000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,0
2013,49,0
2014,49,
2015,49,0
2016,49,283
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,0
2014,50,3139
2015,50,3741
2016,50,2706
2017,50,2452
2018,50,2332
2019,50,2745
2020,50,2794
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0
2016,52,485
2017,52,956
2018,52,1521
2019,52,951
2020,52,
2008,53,21950
2009,53,17678
2010,53,0
2011,53,4410
2012,53,10792
2013,53,9965
2014,53,3430
2015,53,3477
2016,53,8502
2017,53,12250
2018,53,15435
2019,53,16580
2020,53,9198
2008,54,5193
2009,54,1621
2010,54,205
2011,54,1385
2012,54,375
2013,54,3884
2014,54,2950
2015,54,5391
2016,54,6438
2017,54,9438
2018,54,8434
2019,54,8611
2020,54,114
2008,55,4063
2009,55,1933
2010,55,0
2011,55,8129
2012,55,8518
2013,55,8525
2014,55,9351
2015,55,10471
2016,55,14543
2017,55,17443
2018,55,28914
2019,55,28716
2020,55,17007
2008,56,2990
2009,56,0
2010,56,0
2011,56,0
2012,56,0
2013,56,0
2014,56,0
2015,56,2097
2016,56,2621
2017,56,3145
2018,56,4193
2019,56,4569
2020,56,0
2008,57,7547
2009,57,5755
2010,57,7492
2011,57,8145
2012,57,8612
2013,57,17839
2014,57,4759
2015,57,5257
2016,57,7780
2017,57,11066
2018,57,11066
2019,57,
2020,57,
2008,58,75000
2009,58,75000
2010,58,75000
2011,58,37000
2012,58,45000
2013,58,92000
2014,58,90000
2015,58,91000
2016,58,102000
2017,58,101000
2018,58,105000
2019,58,119000
2020,58,66000
2008,59,4420
2009,59,2720
2010,59,2040
2011,59,4200
2012,59,2720
2013,59,2720
2014,59,4420
2015,59,6120
2016,59,7820
2017,59,11834
2018,59,13373
2019,59,15048
2020,59,15048
2008,60,3984
2009,60,3984
2010,60,3984
2011,60,3984
2012,60,3984
2013,60,0
2014,60,47
2015,60,141
2016,60,67
2017,60,4025
2018,60,182
2019,60,82
2020,60,0
2008,61,3600
2009,61,1432
2010,61,0
2011,61,2117
2012,61,2143
2013,61,0
2014,61,0
2015,61,0
2016,61,0
2017,61,3600
2018,61,5040
