Date,Id,current liabilities
2018,33,147416
2019,33,
2020,33,
2008,34,1933265
2009,34,1761912
2010,34,1769003
2011,34,2033053
2012,34,1925045
2013,34,1576078
2014,34,1738834
2015,34,1950109
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,443194
2009,35,359271
2010,35,433147
2011,35,541436
2012,35,497870
2013,35,402940
2014,35,365380
2015,35,367882
2016,35,408052
2017,35,331119
2018,35,332746
2019,35,355655
2020,35,683733
2008,36,741457
2009,36,910421
2010,36,665642
2011,36,942911
2012,36,808779
2013,36,626959
2014,36,532766
2015,36,930189
2016,36,463837
2017,36,822533
2018,36,770861
2019,36,494615
2020,36,672405
2008,37,2640692
2009,37,2514151
2010,37,2700296
2011,37,2918455
2012,37,2683943
2013,37,2193664
2014,37,2298637
2015,37,351981
2016,37,197516
2017,37,156121
2018,37,198187
2019,37,177309
2020,37,183231
2008,38,2961670
2009,38,2520106
2010,38,2318300
2011,38,2460388
2012,38,2337091
2013,38,2133971
2014,38,4064118
2015,38,4566071
2016,38,5809852
2017,38,5817912
2018,38,4606337
2019,38,4565833
2020,38,6976645
2008,39,
2009,39,
2010,39,
2011,39,
2012,39,
2013,39,87029
2014,39,112617
2015,39,107716
2016,39,98269
2017,39,61065
2018,39,106516
2019,39,77929
2020,39,120726
2008,40,113689
2009,40,88293
2010,40,360428
2011,40,149490
2012,40,170608
2013,40,179507
2014,40,180575
2015,40,159889
2016,40,166473
2017,40,167109
2018,40,178938
2019,40,205422
2020,40,207569
2008,41,51667
2009,41,55017
2010,41,47297
2011,41,27179
2012,41,19656
2013,41,13962
2014,41,11114
2015,41,10603
2016,41,20261
2017,41,78206
2018,41,82735
2019,41,128810
2020,41,107107
2008,42,31325000
2009,42,33036000
2010,42,33992000
2011,42,40648000
2012,42,35363000
2013,42,34005000
2014,42,40681000
2015,42,39672000
2016,42,40963000
2017,42,38735000
2018,42,40348000
2019,42,40488000
2020,42,40979000
2008,43,2249400
2009,43,1746500
2010,43,1904500
2011,43,2383700
2012,43,2694600
2013,43,3119000
2014,43,3281600
2015,43,3085300
2016,43,3546100
2017,43,3798900
2018,43,4104900
2019,43,3021600
2020,43,5030700
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,23052
2014,44,21091
2015,44,36922
2016,44,42390
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1858612
2009,46,2161709
2010,46,1513948
2011,46,2274102
2012,46,2519739
2013,46,2336813
2014,46,1810522
2015,46,1852741
2016,46,1764211
2017,46,2187623
2018,46,2290670
2019,46,2648685
2020,46,2511308
2008,47,2180000
2009,47,2074000
2010,47,2358000
2011,47,2490000
2012,47,2479000
2013,47,2300000
2014,47,1992000
2015,47,2426000
2016,47,2520000
2017,47,2343000
2018,47,2722000
2019,47,2635000
2020,47,3011000
2008,48,5296000
2009,48,5418000
2010,48,3056000
2011,48,2577000
2012,48,2600000
2013,48,2304000
2014,48,2668000
2015,48,2948000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1534
2011,49,1008
2012,49,492
2013,49,682
2014,49,3660
2015,49,2414
2016,49,3400
2017,49,2957
2018,49,3279
2019,49,2717
2020,49,3856
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,57631
2013,50,59816
2014,50,32005
2015,50,39507
2016,50,34011
2017,50,50221
2018,50,45770
2019,50,38201
2020,50,27973
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,9528
2015,52,10630
2016,52,25359
2017,52,22767
2018,52,34492
2019,52,33441
2020,52,38368
2008,53,70184
2009,53,52988
2010,53,41621
2011,53,52065
2012,53,46734
2013,53,73943
2014,53,62760
2015,53,43121
2016,53,54748
2017,53,71326
2018,53,65353
2019,53,67416
2020,53,70802
2008,54,59234
2009,54,49246
2010,54,66548
2011,54,76984
2012,54,52850
2013,54,67461
2014,54,84740
2015,54,88756
2016,54,94664
2017,54,115278
2018,54,118121
2019,54,152282
2020,54,180871
2008,55,159852
2009,55,202870
2010,55,152104
2011,55,196264
2012,55,228849
2013,55,180207
2014,55,226079
2015,55,202109
2016,55,218480
2017,55,230385
2018,55,246252
2019,55,238347
2020,55,208480
2008,56,261861
2009,56,142605
2010,56,148233
2011,56,198250
2012,56,179914
2013,56,168178
2014,56,193971
2015,56,167712
2016,56,198463
2017,56,252207
2018,56,246417
2019,56,214069
2020,56,212060
2008,57,41090
2009,57,52396
2010,57,73105
2011,57,67911
2012,57,94774
2013,57,116296
2014,57,115241
2015,57,72443
2016,57,91767
2017,57,98129
2018,57,144370
2019,57,
2020,57,
2008,58,1414000
2009,58,1192000
2010,58,1554000
2011,58,3390000
2012,58,2843000
2013,58,2862000
2014,58,3155000
2015,58,3057000
2016,58,2958000
2017,58,3101000
2018,58,3763000
2019,58,4046000
2020,58,3703000
2008,59,19918
2009,59,16593
2010,59,20651
2011,59,25882
2012,59,25452
2013,59,21608
2014,59,21360
2015,59,19289
2016,59,20942
2017,59,22375
2018,59,33482
2019,59,31512
2020,59,46428
2008,60,83503
2009,60,100449
2010,60,121008
2011,60,120437
2012,60,197847
2013,60,191656
2014,60,103619
2015,60,101583
2016,60,108255
2017,60,90426
2018,60,154058
2019,60,126020
2020,60,118765
2008,61,40972
2009,61,57882
2010,61,59566
2011,61,52434
2012,61,53507
2013,61,57004
2014,61,55970
2015,61,68621
2016,61,49248
2017,61,50658
2018,61,47098
2019,61,52468
2020,61,49109
2008,62,56153
2009,62,65786
2010,62,151239
2011,62,132795
2012,62,110805
2013,62,92932
2014,62,99015
2015,62,54893
2016,62,64461
2017,62,86998
2018,62,76763
2019,62,64749
2020,62,59950
2008,63,33823
2009,63,23326
2010,63,23712
2011,63,24851
2012,63,25949
2013,63,24347
2014,63,25282
2015,63,36074
2016,63,40054
2017,63,66880
2018,63,62111
2019,63,59006
2020,63,119424
2008,64,18423000
2009,64,19255000
2010,64,18071000
2011,64,17411000
2012,64,16816000
2013,64,14788000
2014,64,13098000
2015,64,14096000
2016,64,12339000
2017,64,12388000
2018,64,12881000
2019,64,11123000
2020,64,11167000
2008,65,407340
2009,65,421258
2010,65,392052
2011,65,421812
2012,65,470526
2013,65,364493
2014,65,436191
2015,65,378053
2016,65,456712
2017,65,473289
2018,65,466493
2019,65,545693
2020,65,424287
2008,66,
2009,66,
2010,66,
2011,66,211780
2012,66,206016
2013,66,146856
2014,66,137302
2015,66,431975
2016,66,166107
2017,66,177222
2018,66,198194
2019,66,160453
2020,66,154512
2008,67,39454
2009,67,40639
2010,67,40173
2011,67,39380
2012,67,35389
2013,67,34211
2014,67,33232
2015,67,35004
2016,67,68199
2017,67,77372
2018,67,67871
2019,67,83108
2020,67,90728
2008,68,76004
2009,68,86681
2010,68,41043
2011,68,19456
2012,68,19256
2013,68,13866
2014,68,16675
2015,68,21528
2016,68,22306
2017,68,22328
2018,68,19673
2019,68,19793
2020,68,19365
2008,69,902500
2009,69,765300
2010,69,728000
2011,69,723800
2012,69,873100
2013,69,748800
2014,69,860200
2015,69,1072800
2016,69,1385700
2017,69,1282500
2018,69,
2019,69,
2020,69,
2008,70,13040
2009,70,13203
2010,70,15155
2011,70,20248
2012,70,25327
2013,70,31240
2014,70,26762
2015,70,22417
2016,70,19673
2017,70,21157
2018,70,16995
2019,70,18076
2020,70,22293
2008,71,9892
2009,71,10888
2010,71,13002
2011,71,13079
2012,71,14939
2013,71,15171
2014,71,16080
2015,71,14659
2016,71,15794
2017,71,18423
2018,71,18844
2019,71,20210
2020,71,16687
2008,72,211923
2009,72,177174
2010,72,154667
2011,72,213325
2012,72,236568
2013,72,214831
2014,72,233548
2015,72,224783
2016,72,199668
2017,72,215893
2018,72,256924
2019,72,285141
2020,72,313502
2008,73,4729
2009,73,5250
2010,73,2498
2011,73,5418
2012,73,7054
2013,73,6204
2014,73,4185
2015,73,4871
2016,73,20604
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,12720
2015,75,16242
2016,75,17790
2017,75,19585
2018,75,17871
2019,75,17368
2020,75,13401
2008,76,1630000
2009,76,3816000
2010,76,4738000
2011,76,6145000
2012,76,2384000
2013,76,4378000
2014,76,3898000
2015,76,4597000
2016,76,3648000
2017,76,4206000
2018,76,5510000
2019,76,6064000
2020,76,7706000
2008,77,1635413
2009,77,1433281
2010,77,2315591
2011,77,2548589
2012,77,2240271
2013,77,2317450
2014,77,1871109
2015,77,1353632
2016,77,1687951
2017,77,1390126
2018,77,1758522
2019,77,1775023
2020,77,1759511
2008,78,1910187
2009,78,1526575
2010,78,1581580
2011,78,1768353
2012,78,1895917
2013,78,2069499
2014,78,2300105
2015,78,2238000
2016,78,2175200
2017,78,2528800
2018,78,2911200
2019,78,2989900
2020,78,3331800
2008,79,116480
2009,79,163106
2010,79,175776
2011,79,209137
2012,79,178159
2013,79,181316
2014,79,125786
2015,79,140678
2016,79,113503
2017,79,113174
2018,79,183350
2019,79,249788
2020,79,216872
2008,80,327692
2009,80,275227
2010,80,326098
2011,80,497955
2012,80,452986
2013,80,319232
2014,80,347679
2015,80,268370
2016,80,206045
2017,80,237382
2018,80,291305
2019,80,236417
2020,80,265570
2008,81,3330000
2009,81,3305000
2010,81,4216000
2011,81,4221000
2012,81,4708000
2013,81,4017000
2014,81,5202000
2015,81,4159000
2016,81,3878000
2017,81,2464000
2018,81,2556000
2019,81,2781000
2020,81,2145000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,298418
2013,82,357611
2014,82,406711
2015,82,538830
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,106924
2009,83,131393
2010,83,158130
2011,83,166786
2012,83,176661
2013,83,177842
2014,83,161872
2015,83,155348
2016,83,163646
2017,83,133079
2018,83,178489
2019,83,210122
2020,83,184796
2008,84,1946420
2009,84,1422511
2010,84,2043611
2011,84,2263634
2012,84,2553668
2013,84,3660633
2014,84,858226
2015,84,875769
2016,84,940758
2017,84,1057209
2018,84,1069224
2019,84,798080
2020,84,805649
2008,85,239918
2009,85,186951
2010,85,199171
2011,85,183765
2012,85,188682
2013,85,165836
2014,85,143698
2015,85,114664
2016,85,142066
2017,85,149100
2018,85,184941
2019,85,195935
2020,85,179782
2008,86,1946420
2009,86,1422511
2010,86,2043611
2011,86,2263634
2012,86,2553668
2013,86,3660633
2014,86,858226
2015,86,875769
2016,86,940758
2017,86,1057209
2018,86,1069224
2019,86,798080
2020,86,805649
2008,87,45215
2009,87,42989
2010,87,46358
2011,87,52081
2012,87,53345
2013,87,51387
2014,87,47947
2015,87,56662
2016,87,18270
2017,87,19197
2018,87,17797
2019,87,18612
2020,87,
2008,88,12210
2009,88,10420
2010,88,9004
2011,88,9926
2012,88,8665
2013,88,7933
2014,88,5179
2015,88,5259
2016,88,15734
2017,88,13669
2018,88,14240
2019,88,
2020,88,
2008,89,88387
2009,89,104675
2010,89,77167
2011,89,75786
2012,89,74379
2013,89,81214
2014,89,83928
2015,89,98744
2016,89,92005
2017,89,106295
2018,89,88895
2019,89,
2020,89,
2008,90,28971
2009,90,47558
2010,90,73829
2011,90,85548
2012,90,136445
2013,90,166300
2014,90,230255
2015,90,651480
2016,90,640978
2017,90,853193
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,3721
2013,91,5616
2014,91,8515
2015,91,7607
2016,91,7228
2017,91,7478
2018,91,8508
2019,91,13948
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,8986
2015,92,9518
2016,92,8058
2017,92,9868
2018,92,6932
2019,92,7306
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,248153
2009,95,269396
2010,95,281876
2011,95,258711
2012,95,333818
2013,95,224490
2014,95,244032
2015,95,264945
2016,95,282568
2017,95,575771
2018,95,472150
2019,95,722264
2020,95,671414
2008,96,293740
2009,96,328401
2010,96,322396
2011,96,268312
2012,96,272839
2013,96,202294
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,119035
2009,97,121303
2010,97,114842
2011,97,93028
2012,97,31950
2013,97,26743
2014,97,18946
2015,97,27128
2016,97,14114
2017,97,15911
2018,97,15458
2019,97,18785
2020,97,24105
2008,98,56435
2009,98,65842
2010,98,82693
2011,98,80504
2012,98,123806
2013,98,77633
2014,98,82117
2015,98,82440
2016,98,131883
2017,98,141120
2018,98,138452
2019,98,122479
2020,98,160213
