Date,Id,ar
2008,34,1156122
2009,34,1044476
2010,34,888738
2011,34,983133
2012,34,771217
2013,34,912456
2014,34,875088
2015,34,587655
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,181555
2009,35,162944
2010,35,171062
2011,35,202883
2012,35,205948
2013,35,191852
2014,35,180351
2015,35,176138
2016,35,244331
2017,35,181617
2018,35,189922
2019,35,177780
2020,35,177078
2008,36,625449
2009,36,551109
2010,36,579634
2011,36,582005
2012,36,541420
2013,36,506620
2014,36,437329
2015,36,441843
2016,36,505818
2017,36,510372
2018,36,474973
2019,36,470323
2020,36,458196
2008,37,1651660
2009,37,1412198
2010,37,1253952
2011,37,1345359
2012,37,1207954
2013,37,1048071
2014,37,977838
2015,37,132904
2016,37,134554
2017,37,98922
2018,37,121494
2019,37,125831
2020,37,111158
2008,38,1389338
2009,38,1324840
2010,38,1197857
2011,38,1272142
2012,38,1324250
2013,38,1440077
2014,38,2232991
2015,38,2069431
2016,38,2952563
2017,38,2475127
2018,38,3959726
2019,38,4350842
2020,38,5467612
2008,39,30286
2009,39,46943
2010,39,54580
2011,39,55526
2012,39,53034
2013,39,42106
2014,39,24780
2015,39,20827
2016,39,21459
2017,39,26971
2018,39,36087
2019,39,35744
2020,39,42748
2008,40,214153
2009,40,191008
2010,40,119419
2011,40,157605
2012,40,165588
2013,40,165178
2014,40,153223
2015,40,145874
2016,40,127190
2017,40,130064
2018,40,138386
2019,40,143361
2020,40,131467
2008,41,10634
2009,41,21230
2010,41,17243
2011,41,9393
2012,41,4877
2013,41,4923
2014,41,6023
2015,41,6549
2016,41,5132
2017,41,42155
2018,41,62219
2019,41,43576
2020,41,67665
2008,42,16848000
2009,42,18987000
2010,42,25661000
2011,42,21884000
2012,42,22119000
2013,42,15567000
2014,42,15925000
2015,42,15938000
2016,42,17095000
2017,42,17434000
2018,42,16918000
2019,42,16299000
2020,42,15767000
2008,43,1785200
2009,43,1214900
2010,43,1532900
2011,43,1715100
2012,43,1951200
2013,43,1804500
2014,43,1625300
2015,43,1528700
2016,43,1517200
2017,43,1388300
2018,43,1266900
2019,43,1338100
2020,43,1344100
2008,44,
2009,44,5080
2010,44,6027
2011,44,2666
2012,44,2788
2013,44,8514
2014,44,7323
2015,44,4575
2016,44,4098
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1436031
2009,46,1449882
2010,46,1250464
2011,46,1747149
2012,46,1689697
2013,46,1726321
2014,46,1486546
2015,46,1291716
2016,46,1293596
2017,46,1219117
2018,46,1171282
2019,46,1240747
2020,46,1228963
2008,47,1960000
2009,47,1864000
2010,47,2159000
2011,47,2298000
2012,47,2268000
2013,47,2103000
2014,47,1791000
2015,47,1612000
2016,47,1943000
2017,47,1833000
2018,47,1886000
2019,47,1998000
2020,47,2271000
2008,48,381000
2009,48,609000
2010,48,786000
2011,48,793000
2012,48,949000
2013,48,760000
2014,48,965000
2015,48,1062000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,385
2011,49,737
2012,49,1009
2013,49,2189
2014,49,3604
2015,49,3750
2016,49,2001
2017,49,1270
2018,49,2052
2019,49,2015
2020,49,2757
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,8541
2013,50,4241
2014,50,3933
2015,50,4976
2016,50,7875
2017,50,6809
2018,50,6413
2019,50,5700
2020,50,4490
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,8324
2015,52,6045
2016,52,20376
2017,52,15359
2018,52,23115
2019,52,19032
2020,52,17106
2008,53,25675
2009,53,23937
2010,53,27024
2011,53,25134
2012,53,21131
2013,53,22421
2014,53,28304
2015,53,32241
2016,53,47216
2017,53,37448
2018,53,22772
2019,53,24955
2020,53,23461
2008,54,57509
2009,54,48378
2010,54,58408
2011,54,61623
2012,54,47202
2013,54,53123
2014,54,62980
2015,54,76415
2016,54,76222
2017,54,103326
2018,54,104161
2019,54,118167
2020,54,118197
2008,55,97696
2009,55,80917
2010,55,84132
2011,55,88823
2012,55,106022
2013,55,94047
2014,55,98663
2015,55,95045
2016,55,107005
2017,55,111250
2018,55,128974
2019,55,123469
2020,55,91593
2008,56,83278
2009,56,69207
2010,56,76264
2011,56,96329
2012,56,77493
2013,56,85949
2014,56,95092
2015,56,96753
2016,56,95974
2017,56,126447
2018,56,123081
2019,56,95241
2020,56,84532
2008,57,66571
2009,57,65505
2010,57,72331
2011,57,86347
2012,57,80012
2013,57,72511
2014,57,69832
2015,57,66535
2016,57,64865
2017,57,65455
2018,57,79269
2019,57,
2020,57,
2008,58,1030000
2009,58,978000
2010,58,1158000
2011,58,1706000
2012,58,1733000
2013,58,1749000
2014,58,1699000
2015,58,1770000
2016,58,1856000
2017,58,1486000
2018,58,2277000
2019,58,2274000
2020,58,1843000
2008,59,25558
2009,59,23118
2010,59,28527
2011,59,25577
2012,59,28850
2013,59,26806
2014,59,26770
2015,59,27457
2016,59,26012
2017,59,31100
2018,59,28766
2019,59,24067
2020,59,27206
2008,60,40385
2009,60,51899
2010,60,54150
2011,60,41410
2012,60,73170
2013,60,64915
2014,60,58474
2015,60,58548
2016,60,65341
2017,60,61574
2018,60,47262
2019,60,37314
2020,60,41508
2008,61,39628
2009,61,28465
2010,61,46941
2011,61,53617
2012,61,45391
2013,61,39840
2014,61,44464
2015,61,35774
2016,61,33075
2017,61,33041
2018,61,33306
2019,61,36555
2020,61,33757
2008,62,75662
2009,62,71938
2010,62,121372
2011,62,93995
2012,62,78291
2013,62,69542
2014,62,75297
2015,62,69640
2016,62,80259
2017,62,91941
2018,62,74108
2019,62,65898
2020,62,75787
2008,63,13553
2009,63,14248
2010,63,12711
2011,63,14748
2012,63,16626
2013,63,14321
2014,63,15366
2015,63,22210
2016,63,20795
2017,63,32921
2018,63,34923
2019,63,35984
2020,63,62190
2008,64,7671000
2009,64,7074000
2010,64,7401000
2011,64,7446000
2012,64,6563000
2013,64,4960000
2014,64,5079000
2015,64,4655000
2016,64,4795000
2017,64,4187000
2018,64,4068000
2019,64,4260000
2020,64,3631000
2008,65,311020
2009,65,346551
2010,65,356009
2011,65,371430
2012,65,437198
2013,65,448622
2014,65,419024
2015,65,422595
2016,65,423831
2017,65,430068
2018,65,433518
2019,65,429845
2020,65,334865
2008,66,
2009,66,
2010,66,0
2011,66,41176
2012,66,58720
2013,66,54621
2014,66,41482
2015,66,42996
2016,66,43948
2017,66,47955
2018,66,49582
2019,66,62399
2020,66,52602
2008,67,28229
2009,67,26623
2010,67,31034
2011,67,32746
2012,67,26896
2013,67,24443
2014,67,22859
2015,67,24712
2016,67,42295
2017,67,42920
2018,67,43158
2019,67,32355
2020,67,28811
2008,68,35199
2009,68,39223
2010,68,9676
2011,68,10140
2012,68,14749
2013,68,13005
2014,68,12237
2015,68,12048
2016,68,12107
2017,68,11364
2018,68,10122
2019,68,6938
2020,68,4425
2008,69,695900
2009,69,656900
2010,69,689900
2011,69,715900
2012,69,757300
2013,69,600800
2014,69,593700
2015,69,691700
2016,69,830000
2017,69,782200
2018,69,
2019,69,
2020,69,
2008,70,14106
2009,70,15223
2010,70,18319
2011,70,18959
2012,70,22408
2013,70,18705
2014,70,20317
2015,70,14406
2016,70,16217
2017,70,16773
2018,70,12307
2019,70,10231
2020,70,8193
2008,71,11362
2009,71,11484
2010,71,14373
2011,71,14093
2012,71,15580
2013,71,11570
2014,71,12699
2015,71,12759
2016,71,10328
2017,71,11816
2018,71,12866
2019,71,14938
2020,71,10477
2008,72,121067
2009,72,89068
2010,72,93278
2011,72,103944
2012,72,94621
2013,72,93889
2014,72,106039
2015,72,113315
2016,72,113231
2017,72,113296
2018,72,120407
2019,72,115577
2020,72,128133
2008,73,3281
2009,73,2071
2010,73,3088
2011,73,3358
2012,73,2322
2013,73,1912
2014,73,2260
2015,73,3162
2016,73,8067
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,10228
2015,75,10529
2016,75,10575
2017,75,9532
2018,75,7995
2019,75,4797
2020,75,2067
2008,76,452000
2009,76,914000
2010,76,938000
2011,76,1527000
2012,76,2226000
2013,76,2570000
2014,76,2221000
2015,76,2124000
2016,76,1381000
2017,76,1691000
2018,76,1364000
2019,76,1396000
2020,76,1754000
2008,77,1004734
2009,77,853491
2010,77,1312092
2011,77,1472987
2012,77,1458302
2013,77,1489985
2014,77,1665493
2015,77,993559
2016,77,1154577
2017,77,1157421
2018,77,1167741
2019,77,1139292
2020,77,1098991
2008,78,1289064
2009,78,1309787
2010,78,1288472
2011,78,1445478
2012,78,1519846
2013,78,1436228
2014,78,1553353
2015,78,1608000
2016,78,1728000
2017,78,1840700
2018,78,1915200
2019,78,2200300
2020,78,2078200
2008,79,76123
2009,79,110608
2010,79,138746
2011,79,152945
2012,79,138622
2013,79,128808
2014,79,118809
2015,79,107285
2016,79,104185
2017,79,112237
2018,79,162520
2019,79,195596
2020,79,184979
2008,80,277474
2009,80,206916
2010,80,252070
2011,80,370011
2012,80,354995
2013,80,268311
2014,80,225792
2015,80,219172
2016,80,196018
2017,80,216959
2018,80,212888
2019,80,90530
2020,80,112811
2008,81,2744000
2009,81,2373000
2010,81,3002000
2011,81,3851000
2012,81,3972000
2013,81,3819000
2014,81,4482000
2015,81,4113000
2016,81,3245000
2017,81,2481000
2018,81,1697000
2019,81,1158000
2020,81,1069000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,301328
2013,82,364645
2014,82,459976
2015,82,483384
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,64397
2009,83,56313
2010,83,60321
2011,83,66275
2012,83,71394
2013,83,72048
2014,83,57935
2015,83,64830
2016,83,68357
2017,83,84757
2018,83,84587
2019,83,95651
2020,83,89728
2008,84,1601147
2009,84,1246495
2010,84,1318588
2011,84,1466951
2012,84,1792691
2013,84,1404089
2014,84,533889
2015,84,543998
2016,84,537292
2017,84,616807
2018,84,526025
2019,84,325926
2020,84,274772
2008,85,122284
2009,85,114915
2010,85,125069
2011,85,100196
2012,85,92408
2013,85,81766
2014,85,68262
2015,85,66452
2016,85,79751
2017,85,81332
2018,85,91254
2019,85,90633
2020,85,77405
2008,86,1601147
2009,86,1246495
2010,86,1318588
2011,86,1466951
2012,86,1792691
2013,86,1404089
2014,86,533889
2015,86,543998
2016,86,537292
2017,86,616807
2018,86,526025
2019,86,325926
2020,86,274772
2008,87,24380
2009,87,23519
2010,87,18848
2011,87,24831
2012,87,16364
2013,87,13663
2014,87,14635
2015,87,13770
2016,87,10439
2017,87,13564
2018,87,11791
2019,87,11001
2020,87,
2008,88,11419
2009,88,10353
2010,88,7722
2011,88,7327
2012,88,2886
2013,88,2665
2014,88,3034
2015,88,2342
2016,88,9670
2017,88,9428
2018,88,10910
2019,88,
2020,88,
2008,89,75239
2009,89,65230
2010,89,54185
2011,89,41233
2012,89,37191
2013,89,26499
2014,89,31022
2015,89,37736
2016,89,37207
2017,89,36488
2018,89,47000
2019,89,
2020,89,
2008,90,7706
2009,90,9389
2010,90,15172
2011,90,11542
2012,90,13068
2013,90,13460
2014,90,17690
2015,90,42591
2016,90,50388
2017,90,64098
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,1233
2013,91,967
2014,91,828
2015,91,293
2016,91,1158
2017,91,1352
2018,91,2632
2019,91,6425
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,5515
2015,92,6477
2016,92,5666
2017,92,5735
2018,92,3572
2019,92,2989
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,127380
2009,95,129726
2010,95,117958
2011,95,119648
2012,95,138434
2013,95,132958
2014,95,131563
2015,95,134078
2016,95,156611
2017,95,167058
2018,95,222706
2019,95,257959
2020,95,208664
2008,96,113008
2009,96,121793
2010,96,127096
2011,96,100536
2012,96,61069
2013,96,59385
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,89324
2009,97,79250
2010,97,62380
2011,97,32518
2012,97,18452
2013,97,13980
2014,97,11622
2015,97,7055
2016,97,7147
2017,97,7192
2018,97,6557
2019,97,5949
2020,97,6132
2008,98,62708
2009,98,76572
2010,98,107739
2011,98,119071
2012,98,113788
2013,98,117442
2014,98,109521
2015,98,105609
2016,98,120261
2017,98,128822
2018,98,131092
2019,98,132513
2020,98,165678
2008,99,86088
2009,99,106459
2010,99,116535
2011,99,122269
2012,99,134270
2013,99,127484
2014,99,121815
2015,99,119947
2016,99,102230
2017,99,90986
2018,99,
2019,99,
2020,99,
2008,100,400890
2009,100,378699
2010,100,410203
2011,100,463858
2012,100,421641
2013,100,402076
2014,100,442692
2015,100,413874
2016,100,413776
2017,100,445535
2018,100,516380
2019,100,566535
2020,100,665259
2008,101,24903
2009,101,24500
2010,101,23255
2011,101,17423
2012,101,19963
2013,101,19415
2014,101,16331
2015,101,22022
2016,101,22915
2017,101,19727
2018,101,17559
2019,101,14028
2020,101,23301
2008,102,104899
2009,102,97775
2010,102,99328
2011,102,92455
2012,102,86501
2013,102,82244
2014,102,70786
2015,102,76329
2016,102,78543
2017,102,90229
2018,102,68467
2019,102,69988
2020,102,105870
2008,103,82729
2009,103,71929
2010,103,72370
2011,103,59571
2012,103,64660
2013,103,61133
2014,103,68667
2015,103,61615
2016,103,52738
2017,103,50861
2018,103,28213
2019,103,
2020,103,
2008,104,17723
2009,104,19910
2010,104,20512
2011,104,21418
2012,104,23827
2013,104,23639
2014,104,22323
2015,104,25349
2016,104,25557
2017,104,30503
2018,104,29579
2019,104,40490
2020,104,34442
2008,105,7678
2009,105,5899
2010,105,5805
2011,105,6695
2012,105,7572
2013,105,5574
2014,105,8288
2015,105,8197
2016,105,8253
2017,105,11160
2018,105,10114
2019,105,11233
2020,105,12329
2008,106,75823
2009,106,60461
2010,106,59586
2011,106,106905
2012,106,107953
2013,106,102161
2014,106,99125
2015,106,101359
2016,106,100599
2017,106,113252
2018,106,112624
2019,106,107746
2020,106,116834
2008,107,102063
2009,107,87260
2010,107,80420
2011,107,63255
2012,107,55384
2013,107,49766
2014,107,31971
2015,107,24688
2016,107,23802
2017,107,26040
2018,107,23388
2019,107,25769
2020,107,23331
2008,108,
2009,108,
2010,108,
2011,108,
2012,108,
2013,108,155
2014,108,298
2015,108,81831
2016,108,116178
2017,108,138148
2018,108,158279
2019,108,147513
2020,108,121927
2008,109,
2009,109,8247
2010,109,10600
2011,109,12206
2012,109,17778
2013,109,20122
2014,109,26355
2015,109,26217
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,960
2009,110,1431
2010,110,2172
2011,110,4191
2012,110,9903
2013,110,460
2014,110,328
2015,110,271
2016,110,258
2017,110,0
2018,110,227
2019,110,259
2020,110,612
2008,111,48122
2009,111,49012
2010,111,18759
2011,111,13093
2012,111,4788
2013,111,4740
2014,111,5900
2015,111,4250
2016,111,11105
2017,111,351
2018,111,961
2019,111,27019
2020,111,21026
2008,112,122188
2009,112,108558
2010,112,130278
2011,112,159754
2012,112,144865
2013,112,167578
2014,112,160675
2015,112,277532
2016,112,339352
2017,112,371298
2018,112,424073
2019,112,462647
2020,112,
2008,113,109284
2009,113,81335
2010,113,100646
2011,113,118235
2012,113,110348
2013,113,76802
2014,113,81262
2015,113,106196
2016,113,129492
2017,113,143808
2018,113,161790
2019,113,139863
2020,113,117648
2008,114,18806
2009,114,11490
2010,114,10564
2011,114,12857
2012,114,12996
2013,114,10335
2014,114,12315
2015,114,10247
2016,114,15730
2017,114,14809
2018,114,19447
2019,114,9780
2020,114,
2008,115,28764
2009,115,20881
2010,115,22694
2011,115,26520
2012,115,26210
2013,115,26274
2014,115,27723
2015,115,29062
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,47292
2009,116,43652
2010,116,45611
2011,116,45801
2012,116,42355
2013,116,39841
2014,116,43913
2015,116,44191
2016,116,41256
2017,116,46230
2018,116,52521
2019,116,52462
2020,116,67990
2008,117,30443
2009,117,34536
2010,117,34051
2011,117,48054
2012,117,49094
2013,117,52984
2014,117,48338
2015,117,63152
2016,117,60129
2017,117,53175
2018,117,74517
2019,117,88228
2020,117,81317
2008,118,199366
2009,118,117009
2010,118,184021
2011,118,202645
2012,118,136132
2013,118,135184
2014,118,114856
2015,118,96414
2016,118,78787
2017,118,111224
2018,118,119670
2019,118,95699
2020,118,96483
2008,119,94865
2009,119,84070
2010,119,95091
2011,119,105553
2012,119,105687
2013,119,121813
2014,119,148712
2015,119,195512
2016,119,213641
2017,119,255121
2018,119,299400
2019,119,312048
2020,119,288571
2008,120,
2009,120,
2010,120,
2011,120,555996
2012,120,458904
2013,120,657090
2014,120,1165517
2015,120,1018899
2016,120,1452765
2017,120,1232780
2018,120,1131255
2019,120,1096674
2020,120,1080355
2008,121,
2009,121,
2010,121,
2011,121,16193000
2012,121,16975000
2013,121,18397000
2014,121,19942278
2015,121,19189956
2016,121,19714608
2017,121,18323814
2018,121,18483784
