Date,Id,dividend yield
2015,33,0
2016,33,0
2017,33,0
2018,33,0
2019,33,0
2020,33,0
2008,34,4.01
2009,34,1.88
2010,34,1.9
2011,34,2.63
2012,34,2.83
2013,34,0.96
2014,34,1.21
2015,34,0.88
2016,34,0
2017,34,0
2018,34,0
2019,34,0
2020,34,0
2008,35,4.84
2009,35,2.37
2010,35,2.84
2011,35,3.77
2012,35,2.44
2013,35,0.96
2014,35,1.6
2015,35,1.69
2016,35,2.38
2017,35,1.32
2018,35,1.94
2019,35,2.08
2020,35,2.11
2008,36,3.63
2009,36,3.19
2010,36,2.11
2011,36,0
2012,36,0
2013,36,0.38
2014,36,0.48
2015,36,0.3
2016,36,0.22
2017,36,0.44
2018,36,0.8
2019,36,0.56
2020,36,0.77
2008,37,5.62
2009,37,0
2010,37,3.41
2011,37,3.65
2012,37,0
2013,37,0
2014,37,0.8
2015,37,0.59
2016,37,0.9
2017,37,2.1
2018,37,2.99
2019,37,2.28
2020,37,2.05
2008,38,0
2009,38,3.21
2010,38,0
2011,38,2.51
2012,38,2.55
2013,38,0
2014,38,0
2015,38,1
2016,38,1.33
2017,38,1.65
2018,38,3.74
2019,38,0
2020,38,2.54
2008,39,0
2009,39,0
2010,39,0
2011,39,0
2012,39,3.29
2013,39,3.66
2014,39,2.81
2015,39,1.87
2016,39,1.51
2017,39,1.51
2018,39,1.56
2019,39,1.1
2020,39,1.89
2008,40,4.92
2009,40,4.17
2010,40,3.9
2011,40,1.41
2012,40,2.92
2013,40,2.19
2014,40,3.44
2015,40,5.61
2016,40,4.87
2017,40,2.26
2018,40,2.69
2019,40,1.32
2020,40,1.02
2008,41,0
2009,41,0
2010,41,0
2011,41,0
2012,41,0
2013,41,0
2014,41,0
2015,41,0
2016,41,0
2017,41,0
2018,41,0
2019,41,0
2020,41,0
2008,42,10.83
2009,42,8.4
2010,42,6.68
2011,42,8.91
2012,42,8.29
2013,42,4.73
2014,42,3.52
2015,42,3.6
2016,42,4.06
2017,42,4.62
2018,42,5.55
2019,42,4.64
2020,42,4.33
2008,43,6.6
2009,43,5.63
2010,43,6.33
2011,43,8.06
2012,43,6.94
2013,43,5.51
2014,43,5.32
2015,43,4.21
2016,43,4.64
2017,43,4.3
2018,43,4.53
2019,43,4.01
2020,43,3.99
2008,44,0
2009,44,0
2010,44,0
2011,44,0
2012,44,0
2013,44,0
2014,44,0
2015,44,0
2016,44,0
2017,44,0
2018,44,0
2019,44,0
2020,44,0
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,6.43
2009,46,8.78
2010,46,7.64
2011,46,5.73
2012,46,7.69
2013,46,4.11
2014,46,4.7
2015,46,3.17
2016,46,4.33
2017,46,4.03
2018,46,5.25
2019,46,3.85
2020,46,4.55
2008,47,7.63
2009,47,6.62
2010,47,6.8
2011,47,13.21
2012,47,21.95
2013,47,3.06
2014,47,3.94
2015,47,2.89
2016,47,4
2017,47,3.75
2018,47,4.45
2019,47,4.64
2020,47,5.94
2008,48,
2009,48,
2010,48,0
2011,48,1.69
2012,48,1.77
2013,48,1.41
2014,48,1.85
2015,48,1.7
2016,48,1.69
2017,48,1.69
2018,48,1.69
2019,48,1.69
2020,48,1.69
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,0
2013,49,0
2014,49,0
2015,49,0
2016,49,1.76
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,0
2015,50,4.59
2016,50,3.48
2017,50,3
2018,50,3.16
2019,50,3.94
2020,50,3.97
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0
2016,52,2.49
2017,52,2.53
2018,52,4.3
2019,52,2.96
2020,52,0
2008,53,16.72
2009,53,16.54
2010,53,0
2011,53,3.01
2012,53,5.78
2013,53,5.73
2014,53,2.46
2015,53,0.93
2016,53,3.19
2017,53,2.31
2018,53,3.85
2019,53,2.31
2020,53,2.17
2008,54,7.94
2009,54,2.51
2010,54,0
2011,54,2
2012,54,1.29
2013,54,3.18
2014,54,1.88
2015,54,2.49
2016,54,1.28
2017,54,1.54
2018,54,3.16
2019,54,1.21
2020,54,0
2008,55,1.47
2009,55,0.86
