Date,Id,cash
2011,35,664
2012,35,84251
2013,35,110726
2014,35,93856
2015,35,136768
2016,35,244025
2017,35,214528
2018,35,232614
2019,35,330948
2020,35,413565
2008,36,419144
2009,36,519394
2010,36,252183
2011,36,463008
2012,36,556193
2013,36,554745
2014,36,412590
2015,36,503454
2016,36,603333
2017,36,810630
2018,36,440499
2019,36,837403
2020,36,1218279
2008,37,8967
2009,37,5764
2010,37,4257
2011,37,3966
2012,37,3856
2013,37,745639
2014,37,863537
2015,37,118173
2016,37,285505
2017,37,217870
2018,37,121930
2019,37,248112
2020,37,123066
2008,38,944880
2009,38,814651
2010,38,878817
2011,38,678389
2012,38,1243086
2013,38,813290
2014,38,1030925
2015,38,1410775
2016,38,1602721
2017,38,1320192
2018,38,1107340
2019,38,1020858
2020,38,2455125
2008,39,48
2009,39,29
2010,39,119
2011,39,53
2012,39,38
2013,39,53020
2014,39,47935
2015,39,28158
2016,39,34994
2017,39,43299
2018,39,63933
2019,39,238348
2020,39,147706
2008,40,21021
2009,40,20709
2010,40,92789
2011,40,96890
2012,40,139160
2013,40,126968
2014,40,207586
2015,40,128854
2016,40,256596
2017,40,261499
2018,40,218188
2019,40,131232
2020,40,239230
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,3225
2013,41,6006
2014,41,1303
2015,41,4775
2016,41,1707
2017,41,4013
2018,41,14946
2019,41,4395
2020,41,7830
2008,42,10000
2009,42,6000
2010,42,6000
2011,42,1068000
2012,42,1027000
2013,42,6965000
2014,42,13088000
2015,42,10639000
2016,42,8075000
2017,42,6829000
2018,42,5859000
2019,42,7997000
2020,42,5741000
2008,43,779700
2009,43,100
2010,43,150100
2011,43,1114900
2012,43,2510100
2013,43,1617100
2014,43,1217300
2015,43,431600
2016,43,1135700
2017,43,1989200
2018,43,1328900
2019,43,1057400
2020,43,2689000
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,4051
2014,44,3040
2015,44,3435
2016,44,1819
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
