Date,Id,ppe gross
2018,30,828193
2019,30,577651
2020,30,483014
2008,31,
2009,31,454
2010,31,334
2011,31,274
2012,31,
2013,31,
2014,31,
2015,31,
2016,31,
2017,31,
2018,31,
2019,31,
2020,31,
2008,32,59241
2009,32,59444
2010,32,60869
2011,32,60377
2012,32,60722
2013,32,61417
2014,32,61451
2015,32,
2016,32,
2017,32,
2018,32,
2019,32,35535
2020,32,35786
2008,33,498992
2009,33,501643
2010,33,470901
2011,33,416295
2012,33,404764
2013,33,398978
2014,33,
2015,33,
2016,33,
2017,33,
2018,33,
2019,33,
2020,33,
2008,34,10120049
2009,34,10243836
2010,34,11325632
2011,34,11523702
2012,34,11297197
2013,34,11223408
2014,34,12030114
2015,34,12280732
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,1720721
2009,35,1798918
2010,35,1857078
2011,35,1821108
2012,35,1932420
2013,35,1839205
2014,35,1931225
2015,35,1927838
2016,35,2822948
2017,35,2195138
2018,35,2268334
2019,35,2393148
2020,35,1874814
2008,36,6650232
2009,36,6956723
2010,36,7316476
2011,36,7388004
2012,36,7405135
2013,36,7257676
2014,36,7069668
2015,36,7828354
2016,36,8147302
2017,36,8170583
2018,36,8264526
2019,36,8710165
2020,36,8435534
2008,37,10357533
2009,37,10828850
2010,37,11575824
2011,37,11765207
2012,37,11543635
2013,37,11478961
2014,37,12290189
2015,37,332364
2016,37,341865
2017,37,342676
2018,37,406225
2019,37,436126
2020,37,355463
2008,38,665892
2009,38,853178
2010,38,460409
2011,38,596555
2012,38,580692
2013,38,507987
2014,38,1245963
2015,38,1441368
2016,38,1745150
2017,38,1634736
2018,38,1359696
2019,38,1429549
2020,38,1761962
2008,39,271614
2009,39,351860
2010,39,369866
2011,39,425182
2012,39,415335
2013,39,384323
2014,39,309714
2015,39,342595
2016,39,342582
2017,39,343109
2018,39,444501
2019,39,673020
2020,39,840334
2008,40,298213
2009,40,304210
2010,40,1098241
2011,40,1295786
2012,40,1307248
2013,40,1345633
2014,40,1317048
2015,40,1396495
2016,40,1420061
2017,40,1542244
2018,40,1625110
2019,40,1964844
2020,40,2087819
2008,41,30435
2009,41,42231
2010,41,38558
2011,41,55221
2012,41,55102
2013,41,71413
2014,41,73808
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,126276
2020,41,141244
2008,42,111371000
2009,42,132945000
2010,42,161419000
2011,42,166648000
2012,42,173382000
2013,42,173144000
2014,42,163743000
2015,42,166016000
2016,42,173092000
2017,42,173745000
2018,42,178315000
2019,42,184301000
2020,42,184654000
2008,43,10580000
2009,43,12283400
2010,43,13216300
2011,43,14321900
2012,43,15358600
2013,43,16459700
2014,43,17512800
2015,43,19239800
2016,43,19936000
2017,43,20728600
2018,43,21670800
2019,43,22741200
2020,43,23993400
2008,44,
2009,44,72871
2010,44,81511
2011,44,95512
2012,44,96936
2013,44,94298
2014,44,87312
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,
2009,46,3192647
2010,46,
2011,46,2021364
2012,46,2066439
2013,46,
2014,46,
2015,46,3854774
2016,46,4108568
2017,46,4299114
2018,46,4539248
2019,46,5076325
2020,46,5448610
2008,47,5539000
2009,47,6556000
2010,47,7540000
2011,47,7658000
2012,47,9737000
2013,47,5930000
2014,47,5625000
2015,47,
2016,47,
2017,47,
2018,47,
2019,47,
2020,47,
2008,48,10156000
2009,48,10995000
2010,48,12777000
2011,48,14992000
2012,48,16178000
2013,48,17598000
2014,48,19693000
2015,48,22635000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,2010
2011,49,3654
2012,49,4873
2013,49,
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,26920
2019,49,27043
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,71890
2013,50,73439
2014,50,76036
2015,50,86934
2016,50,91771
2017,50,
2018,50,
2019,50,
2020,50,
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,15271
2015,52,17262
2016,52,23349
2017,52,20217
2018,52,29050
2019,52,38319
2020,52,
2008,53,193518
2009,53,204315
2010,53,190143
2011,53,185922
2012,53,179013
2013,53,171369
2014,53,167900
2015,53,174411
2016,53,189303
2017,53,187286
2018,53,183738
2019,53,210600
2020,53,216832
2008,54,46150
2009,54,54677
2010,54,59388
