Date,Id,sg&a
2010,34,1089441
2011,34,1164147
2012,34,2062488
2013,34,1898218
2014,34,1867652
2015,34,1951461
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,261275
2009,35,165191
2010,35,176424
2011,35,186083
2012,35,15758
2013,35,19104
2014,35,199911
2015,35,206712
2016,35,232672
2017,35,272434
2018,35,294836
2019,35,276869
2020,35,257805
2008,36,789991
2009,36,683291
2010,36,697390
2011,36,728518
2012,36,1152649
2013,36,1135434
2014,36,1074519
2015,36,1109529
2016,36,1109610
2017,36,1159171
2018,36,1209997
2019,36,1284682
2020,36,1242690
2008,37,1405401
2009,37,1182547
2010,37,1146235
2011,37,1221809
2012,37,1191577
2013,37,2015143
2014,37,1975167
2015,37,187126
2016,37,224002
2017,37,208322
2018,37,176224
2019,37,193155
2020,37,209702
2008,38,348462
2009,38,450907
2010,38,346151
2011,38,325074
2012,38,325930
2013,38,426330
2014,38,1545935
2015,38,2018524
2016,38,2428355
2017,38,2500465
2018,38,2131777
2019,38,2059689
2020,38,2012377
2008,39,211
2009,39,257
2010,39,335
2011,39,347
2012,39,429
2013,39,4936
2014,39,4870
2015,39,17837
2016,39,2785
2017,39,2621
2018,39,2431
2019,39,2216
2020,39,2443
2008,40,13525
2009,40,15219
2010,40,18389
2011,40,39674
2012,40,32398
2013,40,33198
2014,40,35241
2015,40,33204
2016,40,33139
2017,40,39357
2018,40,48077
2019,40,54153
2020,40,56307
2008,41,5586
2009,41,8544
2010,41,7017
2011,41,6736
2012,41,1811
2013,41,1640
2014,41,1590
2015,41,3942
2016,41,4169
2017,41,23781
2018,41,44038
2019,41,56113
2020,41,53110
2008,42,6638000
2009,42,10004000
2010,42,13628000
2011,42,14959000
2012,42,16326000
2013,42,20147000
2014,42,22790000
2015,42,22473000
2016,42,22648000
2017,42,23276000
2018,42,24547000
2019,42,24358000
2020,42,24376000
2008,43,133100
2009,43,142100
2010,43,152200
2011,43,149100
2012,43,15000
2013,43,19100
2014,43,163300
2015,43,164400
2016,43,195400
2017,43,186400
2018,43,194100
2019,43,188300
2020,43,192900
2008,44,32987
2009,44,21113
2010,44,18511
2011,44,11476
2012,44,9110
2013,44,2459
2014,44,2288
2015,44,1291
2016,44,1346
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,361647
2009,46,378432
2010,46,399183
2011,46,476270
2012,46,517463
2013,46,708865
2014,46,601667
2015,46,528366
2016,46,512465
2017,46,594422
2018,46,598736
2019,46,697462
2020,46,762261
2008,47,574000
2009,47,746000
2010,47,789000
2011,47,811000
2012,47,801000
2013,47,692000
2014,47,737000
2015,47,703000
2016,47,747000
2017,47,746000
2018,47,752000
2019,47,758000
2020,47,804000
2008,48,261000
2009,48,275000
2010,48,331000
2011,48,352000
2012,48,325000
2013,48,345000
2014,48,351000
2015,48,472000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,76
2011,49,300
2012,49,563
2013,49,723
2014,49,
2015,49,343
2016,49,329
2017,49,299
2018,49,433
2019,49,456
2020,49,328
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,947
2013,50,1088
2014,50,1349
2015,50,1338
2016,50,1500
2017,50,1592
2018,50,1600
2019,50,1717
2020,50,2074
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,1829
2015,52,2545
2016,52,3416
2017,52,5021
2018,52,5813
2019,52,7277
2020,52,9068
2008,53,49208
2009,53,54436
2010,53,53411
2011,53,50906
2012,53,50185
2013,53,46492
2014,53,45319
2015,53,51552
2016,53,58228
2017,53,63624
2018,53,55910
2019,53,53365
2020,53,53243
2008,54,60268
2009,54,44114
2010,54,46848
2011,54,52508
2012,54,61112
2013,54,61621
2014,54,64599
2015,54,71030
2016,54,78210
2017,54,91797
2018,54,101870
2019,54,109318
2020,54,101734
2008,55,145874
2009,55,128094
2010,55,141275
2011,55,148741
2012,55,197487
2013,55,161251
2014,55,168078
2015,55,188894
2016,55,190165
2017,55,200002
2018,55,217672
2019,55,224210
2020,55,200578
2008,56,84689
2009,56,55985
2010,56,44455
2011,56,50559
2012,56,98726
2013,56,98955
2014,56,104459
2015,56,110890
2016,56,112064
2017,56,67682
2018,56,83701
2019,56,79834
2020,56,70721
2008,57,41295
2009,57,39512
2010,57,45238
2011,57,59758
2012,57,60888
2013,57,59452
2014,57,59914
2015,57,63849
2016,57,68706
2017,57,72880
2018,57,86434
2019,57,
2020,57,
2008,58,533000
2009,58,444000
2010,58,515000
2011,58,771000
2012,58,1043000
2013,58,1019000
2014,58,961000
2015,58,1029000
2016,58,1134000
2017,58,1370000
2018,58,1593000
2019,58,1780000
2020,58,1613000
2008,59,12813
2009,59,10220
2010,59,11532
2011,59,13600
2012,59,32668
2013,59,46000
2014,59,48103
2015,59,51065
2016,59,52473
2017,59,56217
2018,59,61054
2019,59,62219
2020,59,58577
2008,60,43681
2009,60,40682
2010,60,21001
2011,60,43030
2012,60,83416
2013,60,73111
2014,60,67404
2015,60,74161
2016,60,81024
2017,60,79947
2018,60,83710
2019,60,70277
2020,60,62217
2008,61,22807
2009,61,16945
2010,61,22493
2011,61,25833
2012,61,70739
2013,61,74019
2014,61,68909
2015,61,71094
2016,61,63887
2017,61,65906
2018,61,69224
2019,61,73301
2020,61,65688
2008,62,40596
2009,62,27248
2010,62,36541
2011,62,38727
2012,62,36681
2013,62,29561
2014,62,32279
2015,62,65503
2016,62,62527
2017,62,64282
2018,62,60231
2019,62,57721
2020,62,52447
2008,63,19228
2009,63,19446
2010,63,18323
2011,63,19002
2012,63,25643
2013,63,27555
2014,63,28794
2015,63,30683
2016,63,33969
2017,63,38285
2018,63,37359
2019,63,44054
2020,63,35697
2008,64,11182000
2009,64,10496000
2010,64,10537000
2011,64,10968000
2012,64,11354000
2013,64,8917000
2014,64,7604000
2015,64,8480000
2016,64,7749000
2017,64,8089000
2018,64,8020000
2019,64,7134000
2020,64,7061000
2008,65,170846
2009,65,181666
2010,65,194941
2011,65,198449
2012,65,196856
2013,65,224329
2014,65,226021
2015,65,225378
2016,65,228546
