Date,Id,International_Sales
2011,35,796250
2012,35,892986
2013,35,778598
2014,35,754861
2015,35,746135
2016,35,693064
2017,35,1123939
2018,35,1150211
2019,35,1166135
2020,35,1224696
2008,36,2669628
2009,36,1977188
2010,36,2041607
2011,36,2225020
2012,36,2336246
2013,36,2320616
2014,36,2116877
2015,36,2282395
2016,36,2295624
2017,36,2418200
2018,36,2448900
2019,36,2753000
2020,36,2726144
2008,37,2456158
2009,37,2318011
2010,37,2458966
2011,37,2127071
2012,37,2151171
2013,37,2368000
2014,37,2161665
2015,37,93698
2016,37,128200
2017,37,128400
2018,37,203100
2019,37,
2020,37,
2008,38,1916800
2009,38,1762900
2010,38,1611500
2011,38,1650400
2012,38,1758400
2013,38,1653200
2014,38,
2015,38,3956617
2016,38,
2017,38,0
2018,38,0
2019,38,0
2020,38,0
2008,39,
2009,39,
2010,39,0
2011,39,0
2012,39,0
2013,39,0
2014,39,0
2015,39,0
2016,39,0
2017,39,0
2018,39,0
2019,39,0
2020,39,0
2008,40,
2009,40,
2010,40,4921
2011,40,
2012,40,92286
2013,40,96059
2014,40,101839
2015,40,128848
2016,40,99870
2017,40,167259
2018,40,41900
2019,40,174291
2020,40,181323
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,0
2013,41,0
2014,41,0
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,81437
2020,41,63423
2008,42,23343000
2009,42,31432000
2010,42,41176000
2011,42,46895000
2012,42,79309000
2013,42,44702000
2014,42,44761000
2015,42,44371000
2016,42,41088000
2017,42,44729000
2018,42,45642000
2019,42,50946000
2020,42,38655000
2008,43,257600
2009,43,0
2010,43,0
2011,43,0
2012,43,0
2013,43,0
2014,43,0
2015,43,0
2016,43,0
2017,43,0
2018,43,0
2019,43,0
2020,43,0
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,0
2014,44,0
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,0
2009,46,0
2010,46,0
2011,46,0
2012,46,0
2013,46,0
2014,46,0
2015,46,0
2016,46,0
2017,46,0
2018,46,0
2019,46,0
2020,46,0
2008,47,0
2009,47,0
2010,47,0
2011,47,0
2012,47,0
2013,47,0
2014,47,0
2015,47,0
2016,47,0
2017,47,0
2018,47,0
2019,47,0
2020,47,0
2008,48,503000
2009,48,529000
2010,48,1059000
2011,48,
