Date,Id,auditor fees
2017,37,1192
2018,37,1093
2019,37,632
2020,37,1165
2008,38,
2009,38,6712
2010,38,6699
2011,38,6374
2012,38,5749
2013,38,2438
2014,38,2890
2015,38,3766
2016,38,3884
2017,38,3545
2018,38,3352
2019,38,3933
2020,38,3496
2008,39,355
2009,39,409
2010,39,456
2011,39,280
2012,39,313
2013,39,268
2014,39,638
2015,39,337
2016,39,361
2017,39,358
2018,39,500
2019,39,329
2020,39,504
2008,40,343
2009,40,349
2010,40,2420
2011,40,622
2012,40,470
2013,40,595
2014,40,769
2015,40,684
2016,40,722
2017,40,828
2018,40,1036
2019,40,1116
2020,40,1344
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,312
2013,41,236
2014,41,225
2015,41,
2016,41,
2017,41,
2018,41,
2019,41,174
2020,41,245
2008,42,
2009,42,20500
2010,42,
2011,42,
2012,42,
2013,42,13800
2014,42,15900
2015,42,23100
2016,42,20900
2017,42,21200
2018,42,18400
2019,42,
2020,42,
2008,43,837
2009,43,953
2010,43,843
2011,43,588
2012,43,504
2013,43,491
2014,43,356
2015,43,689
2016,43,748
2017,43,782
2018,43,958
2019,43,1017
2020,43,222
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,280
2014,44,
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,446
2009,46,446
2010,46,1213
2011,46,1001
2012,46,939
2013,46,1916
2014,46,1746
2015,46,2271
2016,46,2294
2017,46,2372
2018,46,2030
2019,46,2086
2020,46,1719
2008,47,
2009,47,1000
2010,47,5000
2011,47,
2012,47,
2013,47,
2014,47,
2015,47,
2016,47,
2017,47,
2018,47,
2019,47,
2020,47,
2008,48,
2009,48,
2010,48,3400
2011,48,1800
2012,48,
2013,48,2000
2014,48,2000
2015,48,4800
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,18
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,25
2019,49,25
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,29
2015,50,
2016,50,
2017,50,
2018,50,
2019,50,
2020,50,
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,
2016,52,
2017,52,
2018,52,
2019,52,26
2020,52,
2008,53,
2009,53,
2010,53,588
2011,53,442
2012,53,463
2013,53,411
2014,53,404
2015,53,434
2016,53,427
2017,53,556
2018,53,539
2019,53,601
2020,53,597
2008,54,570
2009,54,595
2010,54,715
2011,54,944
2012,54,157
2013,54,206
2014,54,193
2015,54,208
2016,54,217
2017,54,238
2018,54,248
2019,54,259
2020,54,271
2008,55,1382
2009,55,1178
2010,55,774
2011,55,1201
2012,55,2104
2013,55,795
2014,55,985
2015,55,828
2016,55,911
2017,55,930
2018,55,879
2019,55,632
2020,55,659
2008,56,110
2009,56,138
2010,56,130
2011,56,105
2012,56,
2013,56,316
2014,56,323
2015,56,361
2016,56,
2017,56,242
2018,56,575
2019,56,391
2020,56,
2008,57,535
2009,57,414
2010,57,212
2011,57,230
2012,57,
2013,57,308
2014,57,237
2015,57,143
2016,57,
2017,57,242
2018,57,230
2019,57,
2020,57,
2008,58,5052
2009,58,5178
2010,58,6318
2011,58,6775
2012,58,6246
2013,58,6077
2014,58,6528
2015,58,5397
2016,58,2634
2017,58,2833
2018,58,4450
2019,58,5593
2020,58,5223
2008,59,169
2009,59,202
2010,59,168
2011,59,172
2012,59,184
