Date,Id,funds from operations
2018,33,6988
2019,33,
2020,33,
2008,34,788828
2009,34,721812
2010,34,614284
2011,34,695391
2012,34,390658
2013,34,396021
2014,34,369061
2015,34,312724
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,185331
2009,35,119759
2010,35,84120
2011,35,88409
2012,35,107736
2013,35,114715
2014,35,138410
2015,35,136993
2016,35,131899
2017,35,137962
2018,35,160886
2019,35,202691
2020,35,195856
2008,36,674316
2009,36,269324
2010,36,241520
2011,36,294703
2012,36,280428
2013,36,282567
2014,36,277725
2015,36,343269
2016,36,432094
2017,36,508602
2018,36,494321
2019,36,713798
2020,36,817113
2008,37,707910
2009,37,783418
2010,37,628998
2011,37,442169
2012,37,387342
2013,37,381385
2014,37,378817
2015,37,439248
2016,37,-3855
2017,37,-22530
2018,37,30288
2019,37,91734
2020,37,74927
2008,38,267185
2009,38,184462
2010,38,144314
2011,38,244905
2012,38,1054590
2013,38,669730
2014,38,470924
2015,38,353721
2016,38,418792
2017,38,349289
2018,38,270862
2019,38,389180
2020,38,-6329
2008,39,-10228
2009,39,5342
2010,39,11363
2011,39,36805
2012,39,32199
2013,39,15868
2014,39,7258
2015,39,13517
2016,39,19619
2017,39,23391
2018,39,20144
2019,39,33170
2020,39,53851
2008,40,42076
2009,40,26565
2010,40,26106
2011,40,83368
2012,40,77115
2013,40,74100
2014,40,69372
2015,40,94739
2016,40,66413
2017,40,98487
2018,40,130397
2019,40,142412
2020,40,118858
2008,41,-11035
2009,41,-6009
2010,41,274
2011,41,5307
2012,41,-8898
2013,41,25239
2014,41,8938
2015,41,13416
2016,41,2544
2017,41,8345
2018,41,21759
2019,41,19550
2020,41,-4679
2008,42,8047000
2009,42,9111000
2010,42,10896000
2011,42,10574000
2012,42,10451000
2013,42,10521000
2014,42,10862000
2015,42,10616000
2016,42,9966000
2017,42,12186000
2018,42,11699000
2019,42,12847000
2020,42,13443000
2008,43,577600
2009,43,1183400
2010,43,966600
2011,43,860900
2012,43,856100
2013,43,879800
2014,43,918900
2015,43,1070300
2016,43,1499400
2017,43,1439300
2018,43,1156600
2019,43,1225900
2020,43,1277200
2008,44,-10392
2009,44,-7906
2010,44,-4828
2011,44,6576
2012,44,9159
2013,44,3794
2014,44,5168
2015,44,3826
2016,44,2158
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,466673
2009,46,255247
2010,46,511466
2011,46,206416
2012,46,475804
2013,46,521784
2014,46,503468
2015,46,498603
2016,46,628710
2017,46,596293
2018,46,659963
2019,46,803905
2020,46,961258
2008,47,688000
2009,47,439000
2010,47,719000
2011,47,238000
2012,47,260000
2013,47,468000
2014,47,379000
2015,47,520000
2016,47,629000
2017,47,672000
2018,47,902000
2019,47,691000
2020,47,1015000
2008,48,426000
2009,48,1097000
2010,48,937000
2011,48,985000
2012,48,1126000
2013,48,1196000
2014,48,1226000
2015,48,1100000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,35
2011,49,209
2012,49,370
2013,49,425
2014,49,2128
