Date,Id,accounting standards
2012,29,IFRS
2013,29,IFRS
2014,29,IFRS
2015,29,IFRS
2016,29,IFRS
2017,29,IFRS
2018,29,
2019,29,
2020,29,
2008,30,IFRS
2009,30,IFRS
2010,30,IFRS
2011,30,IFRS
2012,30,IFRS
2013,30,IFRS
2014,30,IFRS
2015,30,IFRS
2016,30,IFRS
2017,30,IFRS
2018,30,IFRS
2019,30,IFRS
2020,30,IFRS
2008,31,IFRS
2009,31,IFRS
2010,31,IFRS
2011,31,IFRS
2012,31,IFRS
2013,31,IFRS
2014,31,IFRS
2015,31,Local standards
2016,31,Local standards
2017,31,Local standards
2018,31,Local standards
2019,31,Local standards
2020,31,
2008,32,IFRS
2009,32,IFRS
2010,32,IFRS
2011,32,IFRS
2012,32,IFRS
2013,32,IFRS
2014,32,IFRS
2015,32,IFRS
2016,32,IFRS
2017,32,IFRS
2018,32,IFRS
2019,32,IFRS
2020,32,IFRS
2008,33,IFRS
2009,33,IFRS
2010,33,IFRS
2011,33,IFRS
2012,33,IFRS
2013,33,IFRS
2014,33,IFRS
2015,33,IFRS
2016,33,IFRS
2017,33,IFRS
2018,33,IFRS
2019,33,
2020,33,
2008,34,IFRS
2009,34,IFRS
2010,34,IFRS
2011,34,IFRS
2012,34,IFRS
2013,34,IFRS
2014,34,IFRS
2015,34,IFRS
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,IFRS
2009,35,IFRS
2010,35,IFRS
2011,35,IFRS
2012,35,IFRS
2013,35,IFRS
2014,35,IFRS
2015,35,IFRS
2016,35,IFRS
2017,35,IFRS
2018,35,IFRS
2019,35,IFRS
2020,35,IFRS
2008,36,IFRS
2009,36,IFRS
2010,36,IFRS
2011,36,IFRS
2012,36,IFRS
2013,36,IFRS
2014,36,IFRS
2015,36,IFRS
2016,36,IFRS
2017,36,IFRS
2018,36,IFRS
2019,36,IFRS
2020,36,IFRS
2008,37,IFRS
2009,37,IFRS
2010,37,IFRS
2011,37,IFRS
2012,37,IFRS
2013,37,IFRS
2014,37,IFRS
2015,37,IFRS
2016,37,IFRS
2017,37,IFRS
2018,37,IFRS
2019,37,IFRS
2020,37,IFRS
2008,38,IFRS
2009,38,IFRS
2010,38,IFRS
2011,38,IFRS
2012,38,IFRS
2013,38,IFRS
2014,38,IFRS
2015,38,IFRS
2016,38,IFRS
2017,38,IFRS
2018,38,IFRS
2019,38,IFRS
2020,38,IFRS
2008,39,IFRS
2009,39,IFRS
2010,39,IFRS
2011,39,IFRS
2012,39,IFRS
2013,39,IFRS
2014,39,IFRS
2015,39,IFRS
2016,39,IFRS
2017,39,IFRS
2018,39,IFRS
2019,39,IFRS
2020,39,IFRS
2008,40,IFRS
2009,40,IFRS
2010,40,IFRS
2011,40,IFRS
2012,40,IFRS
2013,40,IFRS
2014,40,IFRS
2015,40,IFRS
2016,40,IFRS
2017,40,IFRS
2018,40,IFRS
2019,40,IFRS
2020,40,IFRS
2008,41,IFRS
2009,41,IFRS
2010,41,IFRS
2011,41,IFRS
2012,41,IFRS
2013,41,IFRS
2014,41,IFRS
2015,41,IFRS
2016,41,IFRS
2017,41,IFRS
2018,41,IFRS
2019,41,IFRS
2020,41,IFRS
2008,42,IFRS
2009,42,IFRS
2010,42,IFRS
2011,42,IFRS
2012,42,IFRS
2013,42,IFRS
2014,42,IFRS
2015,42,IFRS
2016,42,IFRS
2017,42,IFRS
2018,42,IFRS
2019,42,IFRS
2020,42,IFRS
2008,43,IFRS
2009,43,IFRS
2010,43,IFRS
2011,43,IFRS
2012,43,IFRS
2013,43,IFRS
2014,43,IFRS
2015,43,IFRS
2016,43,IFRS
2017,43,IFRS
2018,43,IFRS
2019,43,IFRS
2020,43,IFRS
2008,44,IFRS
2009,44,IFRS
2010,44,IFRS
2011,44,IFRS
2012,44,IFRS
2013,44,IFRS
2014,44,IFRS
2015,44,IFRS
2016,44,IFRS
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,IFRS
2009,46,IFRS
2010,46,IFRS
2011,46,IFRS
2012,46,IFRS
2013,46,IFRS
2014,46,IFRS
2015,46,IFRS
2016,46,IFRS
2017,46,IFRS
2018,46,IFRS
2019,46,IFRS
2020,46,IFRS
2008,47,IFRS
2009,47,IFRS
2010,47,IFRS
2011,47,IFRS
2012,47,IFRS
2013,47,IFRS
2014,47,IFRS
2015,47,IFRS
2016,47,IFRS
2017,47,IFRS
2018,47,IFRS
2019,47,IFRS
2020,47,IFRS
2008,48,IFRS
2009,48,IFRS
2010,48,IFRS
2011,48,IFRS
2012,48,IFRS
2013,48,IFRS
2014,48,IFRS
2015,48,IFRS
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,IFRS
2011,49,IFRS
2012,49,IFRS
2013,49,IFRS
2014,49,IFRS
2015,49,IFRS
2016,49,IFRS
2017,49,IFRS
2018,49,IFRS
2019,49,IFRS
2020,49,IFRS
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,Local standards
2013,50,Local standards
2014,50,Local standards
2015,50,Local standards
2016,50,Local standards
2017,50,Local standards
2018,50,Local standards
2019,50,Local standards
2020,50,Local standards
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,Local standards
2015,52,Local standards
2016,52,Local standards
2017,52,IFRS
2018,52,IFRS
2019,52,IFRS
2020,52,IFRS
2008,53,IFRS
2009,53,IFRS
2010,53,IFRS
2011,53,IFRS
2012,53,IFRS
2013,53,IFRS
2014,53,IFRS
2015,53,IFRS
2016,53,IFRS
2017,53,IFRS
2018,53,IFRS
2019,53,IFRS
2020,53,IFRS
2008,54,IFRS
2009,54,IFRS
2010,54,IFRS
2011,54,IFRS
2012,54,IFRS
2013,54,IFRS
2014,54,IFRS
2015,54,IFRS
2016,54,IFRS
2017,54,IFRS
2018,54,IFRS
2019,54,IFRS
