Date,Id,salaries
2015,34,877510
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,172019
2009,35,147918
2010,35,145267
2011,35,154459
2012,35,157303
2013,35,156481
2014,35,147624
2015,35,149714
2016,35,166986
2017,35,174748
2018,35,176326
2019,35,184897
2020,35,188430
2008,36,426361
2009,36,419153
2010,36,433858
2011,36,430088
2012,36,445937
2013,36,456530
2014,36,423188
2015,36,450823
2016,36,455772
2017,36,468121
2018,36,476762
2019,36,514369
2020,36,506198
2008,37,1022143
2009,37,1000097
2010,37,1002107
2011,37,1033649
2012,37,1003244
2013,37,938315
2014,37,917856
2015,37,133102
2016,37,150844
2017,37,139587
2018,37,98791
2019,37,104110
2020,37,111722
2008,38,331114
2009,38,324968
2010,38,304525
2011,38,349370
2012,38,397785
2013,38,368229
2014,38,479121
2015,38,534746
2016,38,885680
2017,38,989332
2018,38,796742
2019,38,790569
2020,38,842872
2008,39,4876
2009,39,6587
2010,39,6345
2011,39,7460
2012,39,5180
2013,39,4555
2014,39,4018
2015,39,4382
2016,39,2785
2017,39,2621
2018,39,2431
2019,39,2230
2020,39,2492
2008,40,10119
2009,40,10151
2010,40,13013
2011,40,21083
2012,40,20897
2013,40,21801
2014,40,22409
2015,40,25270
2016,40,26960
2017,40,28973
2018,40,34504
2019,40,41222
2020,40,46123
2008,41,1227
2009,41,2936
2010,41,1499
2011,41,1676
2012,41,1268
2013,41,1223
2014,41,1274
2015,41,1117
2016,41,1078
2017,41,10260
2018,41,20823
2019,41,26832
2020,41,25755
2008,42,4049000
2009,42,4908000
2010,42,4907000
2011,42,4296000
2012,42,4860000
2013,42,4596000
2014,42,4864000
2015,42,5188000
2016,42,4532000
2017,42,4400000
2018,42,4581000
2019,42,4634000
2020,42,4793000
2008,43,263600
2009,43,247165
2010,43,280295
2011,43,278600
2012,43,196700
2013,43,206300
2014,43,265000
2015,43,231800
2016,43,268000
2017,43,254800
2018,43,241900
2019,43,254800
2020,43,287000
2008,44,11004
2009,44,8610
2010,44,5101
2011,44,3669
2012,44,2788
2013,44,1829
2014,44,1815
2015,44,1291
2016,44,1346
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,301900
2009,46,336389
2010,46,322052
2011,46,345302
2012,46,354320
2013,46,279516
2014,46,229543
2015,46,211157
2016,46,199206
2017,46,215231
2018,46,219624
2019,46,248871
2020,46,284997
2008,47,453000
2009,47,487000
2010,47,554000
2011,47,558000
2012,47,602000
2013,47,639000
2014,47,624000
2015,47,604000
2016,47,615000
2017,47,606000
2018,47,634000
2019,47,669000
2020,47,674000
2008,48,149000
2009,48,172000
2010,48,187000
2011,48,188000
2012,48,242000
2013,48,247000
2014,48,256000
2015,48,339000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,525
2013,50,559
2014,50,659
2015,50,650
2016,50,659
2017,50,731
2018,50,721
2019,50,753
2020,50,841
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,1213
2015,52,2227
2016,52,2897
2017,52,4323
2018,52,5380
2019,52,6634
2020,52,6374
2008,53,53749
2009,53,59477
2010,53,54588
2011,53,53759
2012,53,57802
2013,53,
2014,53,51599
2015,53,62262
2016,53,70877
2017,53,78966
2018,53,72348
2019,53,77638
2020,53,76352
2008,54,46651
2009,54,42438
2010,54,44825
2011,54,50364
2012,54,33685
2013,54,35161
2014,54,38228
2015,54,42136
2016,54,46116
2017,54,54091
2018,54,61267
2019,54,68548
2020,54,69471
2008,55,103999
2009,55,104128
2010,55,114135
2011,55,121861
2012,55,128425
2013,55,
2014,55,
2015,55,
2016,55,
2017,55,
2018,55,
2019,55,
2020,55,155787
2008,56,89204
2009,56,77950
2010,56,75407
2011,56,81620
2012,56,89387
2013,56,89484
2014,56,93831
2015,56,99589
2016,56,102699
2017,56,
2018,56,
2019,56,
2020,56,
2008,57,27733
2009,57,27295
2010,57,28072
2011,57,40797
2012,57,53021
2013,57,51283
2014,57,51871
2015,57,55648
2016,57,59902
2017,57,64515
2018,57,77454
2019,57,
2020,57,
2008,58,540000
2009,58,505100
2010,58,541335
2011,58,877000
2012,58,976000
2013,58,931000
2014,58,896000
2015,58,963000
2016,58,1025000
2017,58,1062000
2018,58,1203000
2019,58,1470000
2020,58,1385000
2008,59,25979
2009,59,23550
2010,59,26145
2011,59,29104
2012,59,30329
2013,59,30759
2014,59,32108
2015,59,34410
2016,59,35484
2017,59,37251
2018,59,39989
2019,59,41693
