Date,Id,number of shares
2019,33,81835
2020,33,81835
2008,34,177117
2009,34,177117
2010,34,177117
2011,34,177117
2012,34,177117
2013,34,177117
2014,34,349271
2015,34,349271
2016,34,349271
2017,34,349271
2018,34,349271
2019,34,349271
2020,34,349271
2008,35,159120
2009,35,159120
2010,35,159120
2011,35,159120
2012,35,159120
2013,35,159120
2014,35,159120
2015,35,159120
2016,35,159120
2017,35,159120
2018,35,159120
2019,35,159120
2020,35,159120
2008,36,165349
2009,36,165349
2010,36,165349
2011,36,165349
2012,36,165349
2013,36,165349
2014,36,165349
2015,36,165349
2016,36,165349
2017,36,165349
2018,36,165349
2019,36,165349
2020,36,165349
2008,37,22183
2009,37,22183
2010,37,22183
2011,37,22183
2012,37,22183
2013,37,22183
2014,37,22183
2015,37,22183
2016,37,23817
2017,37,47634
2018,37,47634
2019,37,42500
2020,37,42500
2008,38,402458
2009,38,401475
2010,38,402458
2011,38,402458
2012,38,402458
2013,38,402458
2014,38,492173
2015,38,492173
2016,38,492173
2017,38,492173
2018,38,492173
2019,38,892173
2020,38,892173
2008,39,400113
2009,39,440113
2010,39,440113
2011,39,44011
2012,39,43579
2013,39,43579
2014,39,43579
2015,39,43579
2016,39,43579
2017,39,43579
2018,39,51210
2019,39,51210
2020,39,54229
2008,40,67680
2009,40,67680
2010,40,67680
2011,40,291414
2012,40,291414
2013,40,291414
2014,40,291414
2015,40,291414
2016,40,291414
2017,40,291414
2018,40,291414
2019,40,291414
2020,40,291414
2008,41,879612
2009,41,936534
2010,41,967575
2011,41,3162419
2012,41,31624
2013,41,33104
2014,41,33104
2015,41,33104
2016,41,33104
2017,41,33104
2018,41,47287
2019,41,47296
2020,41,47296
2008,42,6186416
2009,42,9403356
2010,42,9403356
2011,42,9403356
2012,42,9403356
2013,42,9403356
2014,42,9403356
2015,42,9403356
2016,42,10166680
2017,42,10166680
2018,42,10166680
2019,42,10166680
2020,42,10166680
2008,43,2000908
2009,43,2000908
2010,43,2004294
2011,43,2009992
2012,43,2009992
2013,43,2009992
2014,43,2009992
2015,43,2009992
2016,43,2009992
2017,43,2009992
2018,43,2009992
2019,43,2009992
2020,43,2009992
2008,44,73371
2009,44,73372
2010,44,94833
2011,44,94838
2012,44,94840
2013,44,167020
2014,44,167020
2015,44,167020
2016,44,167020
2017,44,167020
2018,44,167020
2019,44,167020
2020,44,167020
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,212965
2009,46,212965
2010,46,212965
2011,46,212965
2012,46,212965
2013,46,212965
2014,46,212965
2015,46,212965
2016,46,212965
2017,46,212965
2018,46,212965
2019,46,212965
2020,46,212965
2008,47,3132904
2009,47,3132904
2010,47,3132904
2011,47,3132904
2012,47,3132904
2013,47,3132904
2014,47,3132904
2015,47,3132904
2016,47,3132904
2017,47,3132904
2018,47,3132904
2019,47,3132904
2020,47,3132904
2008,48,
2009,48,
2010,48,5000000
2011,48,5000000
2012,48,5000000
2013,48,5000000
2014,48,5000000
2015,48,5000000
2016,48,5000000
2017,48,5000000
2018,48,5000000
2019,48,5000000
2020,48,5000000
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,16900
2013,49,25350
2014,49,39686
2015,49,47623
2016,49,58979
2017,49,59317
2018,49,59317
2019,49,59317
2020,49,59317
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,3878
2015,50,3878
2016,50,3878
2017,50,3878
2018,50,3878
2019,50,3878
2020,50,5204
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,3710
2016,52,3736
2017,52,3837
2018,52,3839
2019,52,3842
2020,52,3842
2008,53,15271
2009,53,15271
2010,53,14671
2011,53,14671
2012,53,14671
2013,53,14671
2014,53,14671
2015,53,14671
2016,53,14671
2017,53,14671
2018,53,14671
2019,53,14671
2020,53,14671
2008,54,4824
2009,54,4824
2010,54,4824
2011,54,4824
2012,54,4824
2013,54,4824
2014,54,4824
2015,54,4824
2016,54,19297
2017,54,19297
2018,54,19297
2019,54,19512
2020,54,19607
2008,55,58446
2009,55,58446
2010,55,58446
2011,55,58446
2012,55,58446
2013,55,58446
2014,55,58446
2015,55,58446
2016,55,58446
2017,55,58446
2018,55,58446
2019,55,58446
2020,55,58446
2008,56,6400
2009,56,8640
2010,56,8640
2011,56,8641
2012,56,8642
2013,56,8787
2014,56,10483
2015,56,10483
2016,56,10483
2017,56,10483
2018,56,10483
2019,56,10483
2020,56,10483
2008,57,116000
2009,57,116000
2010,57,116000
2011,57,116000
2012,57,116000
2013,57,116000
2014,57,116000
2015,57,116000
2016,57,116000
2017,57,116000
2018,57,116000
2019,57,116000
2020,57,116000
2008,58,180546
2009,58,181235
2010,58,182029
2011,58,214393
2012,58,214509
2013,58,214592
2014,58,216712
2015,58,216721
2016,58,216721
2017,58,217483
2018,58,268144
2019,58,268144
2020,58,268144
2008,59,17000
2009,59,17000
2010,59,17000
2011,59,17000
2012,59,17000
2013,59,17000
2014,59,17000
2015,59,17000
2016,59,17000
2017,59,17000
2018,59,17000
2019,59,17000
2020,59,17000
2008,60,200000
2009,60,200000
2010,60,200000
2011,60,200000
2012,60,200000
2013,60,200000
2014,60,200000
2015,60,200000
2016,60,200000
2017,60,200000
2018,60,200000
2019,60,200000
2020,60,200000
2008,61,14400
2009,61,14400
2010,61,14400
2011,61,14688
2012,61,14400
2013,61,14400
2014,61,14400
2015,61,14400
2016,61,14400
2017,61,14400
2018,61,14400
2019,61,14400
2020,61,14400
2008,62,28128
2009,62,28128
2010,62,28128
2011,62,28128
2012,62,28128
2013,62,28128
2014,62,28128
2015,62,28128
2016,62,28128
2017,62,28128
2018,62,28128
2019,62,28128
2020,62,28128
2008,63,159499
2009,63,159513
2010,63,159525
2011,63,159690
2012,63,159695
2013,63,164265
2014,63,164265
2015,63,164265
2016,63,164265
2017,63,164265
2018,63,164265
2019,63,164265
2020,63,164265
2008,64,13380790
2009,64,13380790
2010,64,13407960
2011,64,13416840
2012,64,13416840
2013,64,13417040
2014,64,13470950
2015,64,13499910
2016,64,15203120
2017,64,15203120
2018,64,15203120
2019,64,15203120
2020,64,15329470
2008,65,66525
2009,65,66525
2010,65,66525
2011,65,66525
2012,65,66525
2013,65,66525
2014,65,66525
2015,65,66525
2016,65,66525
2017,65,66525
2018,65,66525
2019,65,66525
2020,65,66525
2008,66,
2009,66,
2010,66,
2011,66,15000
2012,66,38952
2013,66,38952
2014,66,38952
2015,66,38952
2016,66,38952
2017,66,38952
2018,66,38952
2019,66,38952
2020,66,38952
2008,67,10000
2009,67,10000
2010,67,10000
2011,67,10000
2012,67,10000
2013,67,10000
2014,67,10000
2015,67,10000
2016,67,14000
2017,67,14000
2018,67,14000
2019,67,14000
2020,67,14000
2008,68,8938
2009,68,8938
2010,68,8938
2011,68,36000
2012,68,36000
2013,68,36000
2014,68,36000
2015,68,36000
2016,68,36000
2017,68,40553
2018,68,48165
2019,68,5691
2020,68,11413
2008,69,1687396
2009,69,1712558
2010,69,1732914
2011,69,1755400
2012,69,1761186
2013,69,1823398
2014,69,1831068
2015,69,1841128
2016,69,1855132
2017,69,1855148
2018,69,1855148
2019,69,1855148
2020,69,1855148
2008,70,10456
2009,70,10456
2010,70,10456
2011,70,10456
2012,70,10456
2013,70,10456
2014,70,10456
2015,70,10456
2016,70,10615
2017,70,10615
2018,70,10615
2019,70,10658
2020,70,10680
2008,71,17800
2009,71,17800
2010,71,17800
2011,71,17800
2012,71,17800
2013,71,17800
2014,71,17800
2015,71,17800
2016,71,17800
2017,71,17800
2018,71,17800
2019,71,17800
2020,71,17800
2008,72,31000
2009,72,31000
2010,72,31000
2011,72,31000
2012,72,31000
2013,72,31000
2014,72,31000
2015,72,31000
2016,72,31000
2017,72,31000
2018,72,31000
2019,72,31000
2020,72,31000
2008,73,5625
2009,73,5625
2010,73,5625
2011,73,5625
2012,73,5625
2013,73,5625
2014,73,5625
2015,73,7875
2016,73,7875
2017,73,7875
2018,73,7875
2019,73,7875
2020,73,7875
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,5515
2014,75,5565
2015,75,5589
2016,75,5589
2017,75,5589
2018,75,5841
2019,75,5841
2020,75,7595
2008,76,1956444
2009,76,3570767
2010,76,3570831
2011,76,3571184
2012,76,3381637
2013,76,3381637
2014,76,3500638
2015,76,3500638
2016,76,3500636
2017,76,3500633
2018,76,3469038
2019,76,3394839
2020,76,3360857
2008,77,737542
2009,77,737541
2010,77,1181724
2011,77,1181724
2012,77,1181724
2013,77,1181724
2014,77,1181724
2015,77,1181724
2016,77,1181724
2017,77,1195726
2018,77,1300930
2019,77,1300930
2020,77,1300930
2008,78,1032738
2009,78,1115012
2010,78,1115012
2011,78,1115012
2012,78,1115012
2013,78,1421342
2014,78,1489538
2015,78,1489538
2016,78,1489538
2017,78,1489538
2018,78,1489538
2019,78,1489538
2020,78,1489538
2008,79,46871
2009,79,76619
2010,79,76619
2011,79,76619
2012,79,76619
2013,79,76619
2014,79,76619
2015,79,76619
2016,79,76619
2017,79,76619
2018,79,197344
2019,79,197344
2020,79,197344
2008,80,234412
2009,80,234412
2010,80,234412
2011,80,234412
2012,80,234412
2013,80,234412
2014,80,234412
2015,80,234412
2016,80,234412
2017,80,234412
2018,80,234412
2019,80,234412
2020,80,234412
2008,81,110592
2009,81,110592
2010,81,110592
2011,81,110592
2012,81,110155
2013,81,110155
2014,81,110155
2015,81,110155
2016,81,110155
2017,81,110155
2018,81,110155
2019,81,109776
2020,81,109610
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,15990
2015,82,16366
2016,82,16366
2017,82,16366
2018,82,16366
2019,82,16366
2020,82,16366
2008,83,80000
2009,83,80000
2010,83,80000
2011,83,80000
2012,83,88000
2013,83,88000
2014,83,88000
2015,83,88000
2016,83,88000
2017,83,88000
2018,83,88000
2019,83,88000
2020,83,88000
2008,84,719210
2009,84,719210
2010,84,719210
2011,84,719210
2012,84,719210
2013,84,719210
2014,84,719210
2015,84,719210
2016,84,719210
2017,84,719210
2018,84,719210
2019,84,719210
2020,84,1277206
2008,85,377360
2009,85,377401
2010,85,377456
2011,85,377471
2012,85,377474
2013,85,377506
2014,85,377510
2015,85,377527
2016,85,377530
2017,85,377532
2018,85,377543
2019,85,377546
2020,85,377552
2008,86,719210
2009,86,719210
