Date,Id,Market_Cap_Fis_Period_End
2010,30,689920
2011,30,345075
2012,30,283066
2013,30,440714
2014,30,465610
2015,30,301180
2016,30,161452
2017,30,51694
2018,30,49538
2019,30,26218
2020,30,178889
2008,31,
2009,31,
2010,31,7345
2011,31,5182
2012,31,4116
2013,31,2335
2014,31,14249
2015,31,6540
2016,31,1813
2017,31,4783
2018,31,920
2019,31,1860
2020,31,
2008,32,46061
2009,32,41846
2010,32,38565
2011,32,37933
2012,32,30105
2013,32,36397
2014,32,35524
2015,32,36397
2016,32,33869
2017,32,37180
2018,32,34170
2019,32,34019
2020,32,31611
2008,33,52511
2009,33,26089
2010,33,21017
2011,33,13294
2012,33,13976
2013,33,14307
2014,33,17350
2015,33,18776
2016,33,13386
2017,33,22133
2018,33,16856
2019,33,
2020,33,
2008,34,2503674
2009,34,2668078
2010,34,1762462
2011,34,1270089
2012,34,1181478
2013,34,1733207
2014,34,1706321
2015,34,3540443
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,394618
2009,35,537826
2010,35,336539
2011,35,253001
2012,35,260479
2013,35,662257
2014,35,797987
2015,35,939604
2016,35,668622
2017,35,1201356
2018,35,819468
2019,35,1069923
2020,35,1058148
2008,36,2376860
2009,36,2315828
2010,36,1753755
2011,36,1388646
2012,36,2166305
2013,36,2694522
2014,36,2160139
2015,36,3411828
2016,36,4626521
2017,36,4634591
2018,36,2989702
2019,36,4625414
2020,36,4007658
2008,37,1071960
2009,37,1164520
2010,37,944408
2011,37,547832
2012,37,481611
2013,37,923714
2014,37,707366
2015,37,1584812
2016,37,1024400
2017,37,1000339
2018,37,771003
2019,37,1014009
2020,37,1236944
2008,38,812188
2009,38,1006143
2010,38,855625
2011,38,965735
2012,38,1427995
2013,38,1974303
2014,38,1479902
2015,38,1967642
2016,38,1473033
2017,38,1579020
2018,38,697320
2019,38,1432394
2020,38,1054885
2008,39,177365
2009,39,227098
2010,39,233260
2011,39,180628
2012,39,158490
2013,39,141404
2014,39,122606
2015,39,104044
2016,39,127540
2017,39,127711
2018,39,145141
2019,39,155125
2020,39,562925
2008,40,206424
2009,40,243648
2010,40,352528
2011,40,247556
2012,40,283516
2013,40,377076
2014,40,270442
2015,40,321795
2016,40,268696
2017,40,629091
2018,40,678183
2019,40,1376611
2020,40,1905854
2008,41,225620
2009,41,141323
2010,41,67053
2011,41,60086
2012,41,26438
2013,41,64222
2014,41,28503
2015,41,22213
2016,41,17942
2017,41,20276
2018,41,94102
2019,41,77565
2020,41,201955
2008,42,27978083
2009,42,38060091
2010,42,35168558
2011,42,29564157
2012,42,29507737
2013,42,29846258
2014,42,34754810
2015,42,36597869
2016,42,42578056
2017,42,52155068
2018,42,51280734
2019,42,71887805
2020,42,84112388
2008,43,4672122
2009,43,6002726
2010,43,6333890
2011,43,5234019
2012,43,6078216
2013,43,7300291
2014,43,7557570
2015,43,9559522
2016,43,8747485
2017,43,9736401
2018,43,9955490
2019,43,11967492
2020,43,12552913
2008,44,27881
2009,44,35182
2010,44,45567
2011,44,25739
2012,44,12529
2013,44,29062
2014,44,15099
2015,44,13111
2016,44,9620
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2047899
2009,46,1589858
2010,46,1827912
2011,46,1038934
2012,46,967943
2013,46,1758834
2014,46,1900178
2015,46,3018180
2016,46,2454928
2017,46,3273238
2018,46,2552700
2019,46,3919383
2020,46,3645197
2008,47,3921633
2009,47,4553378
2010,47,3196061
2011,47,2256500
2012,47,1358248
2013,47,2641643
2014,47,2601265
2015,47,3894909
2016,47,3824296
2017,47,4794362
2018,47,4889192
2019,47,5198555
2020,47,4055930
2008,48,0
2009,48,0
2010,48,7905000
2011,48,8070000
2012,48,7025000
2013,48,9155000
2014,48,8670000
2015,48,9415000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,32600
2013,49,56194
2014,49,43536
2015,49,27215
2016,49,13284
2017,49,20114
2018,49,19337
2019,49,17795
2020,49,17914
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,89112
2015,50,75966
2016,50,72360
2017,50,77556
2018,50,73678
2019,50,63984
2020,50,84821
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,16064
2016,52,19538
2017,52,37947
2018,52,35383
