Date,Id,Oancf
2018,33,20543
2019,33,
2020,33,
2008,34,634908
2009,34,1101913
2010,34,747911
2011,34,674586
2012,34,502608
2013,34,429502
2014,34,390749
2015,34,449648
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,170888
2009,35,155036
2010,35,106995
2011,35,70073
2012,35,99309
2013,35,126674
2014,35,130227
2015,35,131266
2016,35,158207
2017,35,158519
2018,35,157202
2019,35,215071
2020,35,234216
2008,36,534982
2009,36,264913
2010,36,253230
2011,36,271403
2012,36,281434
2013,36,282887
2014,36,294944
2015,36,350293
2016,36,385226
2017,36,465810
2018,36,426850
2019,36,673254
2020,36,797401
2008,37,515028
2009,37,1178578
2010,37,762558
2011,37,404344
2012,37,497382
2013,37,431979
2014,37,386767
2015,37,455732
2016,37,13399
2017,37,-4810
2018,37,16545
2019,37,105174
2020,37,88800
2008,38,149043
2009,38,-30924
2010,38,-21322
2011,38,-9756
2012,38,1017643
2013,38,432001
2014,38,222679
2015,38,431484
2016,38,313523
2017,38,18430
2018,38,-294551
2019,38,100672
2020,38,208729
2008,39,-8145
2009,39,-28800
2010,39,5490
2011,39,42482
2012,39,25399
2013,39,30819
2014,39,18794
2015,39,18859
2016,39,18278
2017,39,18733
2018,39,17695
2019,39,52288
2020,39,49901
2008,40,32919
2009,40,22036
2010,40,46307
2011,40,2060
2012,40,92768
2013,40,107942
2014,40,67746
2015,40,92303
2016,40,141411
2017,40,74310
2018,40,140883
2019,40,153716
2020,40,117682
2008,41,2495
2009,41,-13481
2010,41,5292
2011,41,-6511
2012,41,-13763
2013,41,27188
2014,41,5117
2015,41,10652
2016,41,5691
2017,41,-27339
2018,41,16949
2019,41,31338
2020,41,796
2008,42,10510000
2009,42,8926000
2010,42,11725000
2011,42,11713000
2012,42,10415000
2013,42,7241000
2014,42,10058000
2015,42,9572000
2016,42,9847000
2017,42,10125000
2018,42,11075000
2019,42,11251000
2020,42,11508000
2008,43,567800
2009,43,1279300
2010,43,767200
2011,43,849100
2012,43,611900
2013,43,763800
2014,43,1191200
2015,43,1143800
2016,43,1560000
2017,43,1691700
2018,43,1306600
2019,43,1295400
2020,43,941400
2008,44,-9688
2009,44,-463
2010,44,-10291
2011,44,1793
2012,44,3722
2013,44,2624
2014,44,4565
2015,44,4448
2016,44,3557
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,433555
2009,46,135129
2010,46,369589
2011,46,238007
