Date,Id,retained earnings
2014,33,16524
2015,33,-4568
2016,33,-14552
2017,33,-26970
2018,33,-47153
2019,33,
2020,33,
2008,34,2742126
2009,34,2767874
2010,34,2781467
2011,34,2795189
2012,34,2398750
2013,34,2225882
2014,34,2108450
2015,34,1954180
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,65273
2009,35,29842
2010,35,9344
2011,35,3025
2012,35,840090
2013,35,759595
2014,35,848240
2015,35,1152530
2016,35,1204573
2017,35,1261827
2018,35,1372552
2019,35,1436489
2020,35,1510986
2008,36,2095286
2009,36,2158220
2010,36,2076111
2011,36,2123511
2012,36,1850597
2013,36,2007520
2014,36,2075653
2015,36,2189124
2016,36,2303362
2017,36,2689794
2018,36,3042983
2019,36,3349355
2020,36,3702809
2008,37,1798682
2009,37,1921602
2010,37,1941268
2011,37,1831328
2012,37,1563458
2013,37,1405945
2014,37,1550142
2015,37,1581991
2016,37,1082165
2017,37,1230548
2018,37,1059762
2019,37,1215109
2020,37,1181210
2008,38,117103
2009,38,157104
2010,38,360612
2011,38,505545
2012,38,1068886
2013,38,665117
2014,38,432250
2015,38,475014
2016,38,492379
2017,38,361397
2018,38,276085
2019,38,282063
2020,38,419767
2008,39,5859
2009,39,1206
2010,39,-7920
2011,39,-6015
2012,39,-9482
2013,39,-17683
2014,39,-49672
2015,39,-60872
2016,39,-61983
2017,39,-58906
2018,39,-58049
2019,39,8438
2020,39,29085
2008,40,34412
2009,40,27358
2010,40,2499
2011,40,18863
2012,40,-137975
2013,40,-127842
2014,40,-22580
2015,40,-35141
2016,40,-54575
2017,40,101197
2018,40,148558
2019,40,179915
2020,40,230704
2008,41,-15646
2009,41,-51230
2010,41,-41636
2011,41,-7350
2012,41,-12755
2013,41,-6998
2014,41,-8943
2015,41,-13689
2016,41,-21521
2017,41,12369
2018,41,20057
2019,41,22990
2020,41,18191
2008,42,10883000
2009,42,15214000
2010,42,17667000
2011,42,19039000
2012,42,18259000
2013,42,24364000
2014,42,20504000
2015,42,21399000
2016,42,20200000
2017,42,21964000
2018,42,20098000
2019,42,19326000
2020,42,21086000
2008,43,868500
2009,43,1302600
2010,43,1512600
2011,43,1541900
2012,43,2352100
2013,43,2498400
2014,43,2650700
2015,43,2878600
2016,43,3091400
2017,43,3353800
2018,43,3603600
2019,43,3880000
2020,43,4134000
2008,44,-4779
2009,44,-10439
2010,44,-19840
2011,44,-4398
2012,44,-1804
2013,44,-7583
2014,44,-12549
2015,44,-14532
2016,44,-15834
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,358627
2009,46,251551
2010,46,368152
2011,46,399967
2012,46,424351
2013,46,223734
2014,46,331667
2015,46,425026
2016,46,572237
2017,46,618727
2018,46,630739
2019,46,755873
2020,46,865930
2008,47,744000
2009,47,854000
2010,47,941000
2011,47,210000
2012,47,919000
2013,47,1244000
2014,47,1062000
2015,47,1103000
2016,47,1144000
2017,47,1323000
2018,47,1567000
2019,47,1744000
2020,47,1968000
2008,48,810000
2009,48,418000
2010,48,452000
2011,48,408000
2012,48,6141000
2013,48,6510000
2014,48,6718000
2015,48,6751000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,569
2011,49,62
2012,49,208
2013,49,268
2014,49,
2015,49,724
2016,49,-76
2017,49,-446
2018,49,-4578
2019,49,-1448
2020,49,-1296
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,5682
2013,50,8531
2014,50,9661
2015,50,10253
2016,50,9328
2017,50,8021
2018,50,7209
2019,50,9197
2020,50,11558
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,3542
2015,52,4405
2016,52,5507
2017,52,6812
2018,52,6424
2019,52,3361
2020,52,2845
2008,53,20332
2009,53,-26297
2010,53,3135
2011,53,15584
2012,53,3340
2013,53,46964
2014,53,59345
2015,53,73145
2016,53,81491
2017,53,68801
2018,53,287880
2019,53,307968
2020,53,293600
2008,54,30788
2009,54,19294
2010,54,20716
2011,54,20008
2012,54,72010
2013,54,87695
2014,54,101854
2015,54,129364
2016,54,140733
2017,54,149219
2018,54,159558
2019,54,178459
2020,54,180314
2008,55,11007
2009,55,-3289
2010,55,13978
2011,55,31159
2012,55,32155
2013,55,74939
2014,55,90184
2015,55,121387
2016,55,153039
2017,55,200086
2018,55,247799
2019,55,371926
2020,55,337813
2008,56,20770
2009,56,3443
2010,56,32
2011,56,-1458
2012,56,62867
2013,56,80906
2014,56,91709
2015,56,97542
2016,56,104683
2017,56,120099
2018,56,137524
2019,56,141770
2020,56,134637
2008,57,102629
2009,57,123687
2010,57,145457
2011,57,168161
2012,57,189061
2013,57,185795
2014,57,196662
2015,57,206272
2016,57,211670
2017,57,222994
2018,57,228814
2019,57,
2020,57,
2008,58,237000
2009,58,248000
2010,58,148000
2011,58,-136000
2012,58,1091000
2013,58,1126000
2014,58,1129000
2015,58,1434000
2016,58,1595000
2017,58,1756000
2018,58,2558000
2019,58,2651000
2020,58,2782000
2008,59,21947
2009,59,19860
2010,59,26552
2011,59,28744
2012,59,93216
2013,59,100652
2014,59,111055
2015,59,108937
2016,59,118032
2017,59,129477
2018,59,139378
2019,59,145663
2020,59,149961
2008,60,24338
2009,60,32309
2010,60,37705
2011,60,43552
2012,60,49370
2013,60,33305
2014,60,36122
2015,60,37174
2016,60,40999
2017,60,45495
2018,60,34778
2019,60,33110
2020,60,24173
2008,61,23492
2009,61,11188
2010,61,12005
2011,61,30243
2012,61,58153
2013,61,48659
2014,61,51580
2015,61,48584
2016,61,47497
2017,61,52197
2018,61,55283
2019,61,57495
2020,61,61658
2008,62,20607
2009,62,-100
2010,62,24857
2011,62,27323
2012,62,15935
2013,62,90514
2014,62,94042
2015,62,96188
2016,62,95442
2017,62,97707
2018,62,100924
2019,62,101537
2020,62,81933
2008,63,-17962
2009,63,-26320
2010,63,-32730
2011,63,-36172
2012,63,-37212
2013,63,-38072
2014,63,-46108
2015,63,-42636
2016,63,-39837
2017,63,2414
2018,63,23268
2019,63,18574
2020,63,41345
2008,64,13189000
2009,64,13193000
2010,64,15412000
2011,64,9472000
2012,64,6752000
2013,64,5691000
2014,64,6794000
2015,64,6992000
2016,64,8517000
2017,64,9475000
2018,64,7810000
2019,64,8561000
2020,64,15481000
2008,65,39150
2009,65,43486
2010,65,53540
2011,65,57475
2012,65,195948
2013,65,209752
2014,65,159320
2015,65,176322
2016,65,190842
2017,65,209842
2018,65,229226
2019,65,243762
2020,65,241354
2008,66,
2009,66,
2010,66,-56
2011,66,-17200
2012,66,-37168
2013,66,-22538
2014,66,-28750
2015,66,-53878
2016,66,-39482
2017,66,-22051
2018,66,-6304
2019,66,9815
2020,66,-5736
2008,67,459
2009,67,2645
2010,67,2846
2011,67,824
2012,67,4246
2013,67,5602
2014,67,5343
2015,67,5689
2016,67,19945
