Date,Id,capex
2018,34,
2019,34,
2020,34,
2008,35,164633
2009,35,82615
2010,35,35461
2011,35,57641
2012,35,75094
2013,35,79762
2014,35,66391
2015,35,60043
2016,35,62584
2017,35,72270
2018,35,62654
2019,35,57705
2020,35,51609
2008,36,517732
2009,36,380991
2010,36,269346
2011,36,147797
2012,36,144868
2013,36,158848
2014,36,174044
2015,36,300241
2016,36,232731
2017,36,178989
2018,36,211747
2019,36,250017
2020,36,222900
2008,37,718734
2009,37,690519
2010,37,508001
2011,37,384300
2012,37,362156
2013,37,329277
2014,37,513352
2015,37,15768
2016,37,17748
2017,37,22070
2018,37,13631
2019,37,15676
2020,37,28791
2008,38,97737
2009,38,194764
2010,38,156801
2011,38,134287
2012,38,71777
2013,38,35274
2014,38,270236
2015,38,215386
2016,38,257632
2017,38,170391
2018,38,118972
2019,38,85280
2020,38,165527
2008,39,157129
2009,39,80714
2010,39,84752
2011,39,37894
2012,39,20898
2013,39,1006
2014,39,6
2015,39,0
2016,39,468
2017,39,531
2018,39,58177
2019,39,19559
2020,39,2147
2008,40,16125
2009,40,11705
2010,40,77456
2011,40,177527
2012,40,58062
2013,40,57363
2014,40,46387
2015,40,59609
2016,40,91293
2017,40,18065
2018,40,48347
2019,40,117498
2020,40,77795
2008,41,114625
2009,41,
2010,41,
2011,41,18905
2012,41,
2013,41,19734
2014,41,3866
2015,41,4339
2016,41,9621
2017,41,86939
2018,41,39463
2019,41,36325
2020,41,19313
2008,42,7059000
2009,42,6591000
2010,42,6468000
2011,42,6957000
2012,42,6522000
2013,42,5350000
2014,42,6021000
2015,42,7000000
2016,42,7927000
2017,42,7226000
2018,42,6908000
2019,42,8236000
2020,42,8330000
2008,43,829300
2009,43,1946300
2010,43,1135600
2011,43,1166000
2012,43,1156300
2013,43,1163600
2014,43,1031200
2015,43,1032100
2016,43,756300
2017,43,864900
2018,43,1010100
2019,43,1121000
2020,43,1190900
2008,44,24360
2009,44,46932
2010,44,13470
2011,44,14699
2012,44,1410
2013,44,523
2014,44,857
2015,44,206
2016,44,817
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,358937
2009,46,471289
2010,46,192414
2011,46,86311
2012,46,303859
2013,46,113018
2014,46,134556
2015,46,189252
2016,46,248949
2017,46,183395
2018,46,241607
2019,46,431036
2020,46,572313
2008,47,437000
2009,47,379000
2010,47,247000
2011,47,183000
2012,47,275000
2013,47,227000
2014,47,237000
2015,47,253000
2016,47,259000
2017,47,306000
2018,47,305000
2019,47,380000
2020,47,451000
2008,48,882000
2009,48,674000
2010,48,1039000
2011,48,1536000
2012,48,1226000
2013,48,1206000
2014,48,1570000
2015,48,2431000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1600
2011,49,1618
2012,49,1219
2013,49,2002
2014,49,
2015,49,1357
2016,49,2793
2017,49,2722
2018,49,0
2019,49,123
2020,49,66
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,6440
2014,50,5614
2015,50,12432
2016,50,4838
2017,50,3852
2018,50,3556
2019,50,792
2020,50,15574
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,1991
2016,52,4189
2017,52,7270
2018,52,6929
2019,52,7876
2020,52,
2008,53,11050
2009,53,7241
2010,53,5850
2011,53,6069
2012,53,5585
2013,53,6470
2014,53,4310
2015,53,5017
2016,53,8663
2017,53,7273
2018,53,14410
2019,53,23706
2020,53,12865
2008,54,11155
2009,54,9184
2010,54,5213
2011,54,4270
2012,54,2096
2013,54,2995
2014,54,7610
2015,54,8567
2016,54,10300
2017,54,3124
2018,54,25857
2019,54,20559
2020,54,10156
2008,55,9200
2009,55,7145
2010,55,6531
2011,55,6624
2012,55,9107
2013,55,7746
2014,55,11206
2015,55,17579
2016,55,12899
2017,55,11270
2018,55,18902
2019,55,22859
2020,55,21508
2008,56,6639
2009,56,1143
2010,56,1649
2011,56,3934
2012,56,2829
2013,56,2839
2014,56,5291
2015,56,4559
2016,56,3176
2017,56,5449
2018,56,7207
2019,56,7727
2020,56,4329
2008,57,3030
2009,57,3863
2010,57,4151
2011,57,4066
2012,57,6456
2013,57,6113
2014,57,7264
2015,57,10307
2016,57,19866
2017,57,12978
2018,57,12112
2019,57,
2020,57,
2008,58,103000
2009,58,91000
2010,58,83000
2011,58,135000
2012,58,132000
2013,58,103000
2014,58,143000
2015,58,204000
2016,58,222000
2017,58,237000
2018,58,267000
2019,58,240000
2020,58,240000
2008,59,4064
2009,59,4815
2010,59,169
2011,59,418
2012,59,12591
2013,59,6802
2014,59,8759
2015,59,6534
2016,59,7059
2017,59,11732
2018,59,17775
2019,59,10609
2020,59,7181
2008,60,4208
2009,60,4412
2010,60,7862
2011,60,6629
2012,60,7696
2013,60,1868
2014,60,1545
2015,60,999
2016,60,2959
2017,60,
2018,60,
2019,60,1211
2020,60,369
2008,61,16488
2009,61,3224
2010,61,2217
2011,61,7424
2012,61,7413
2013,61,7159
2014,61,5462
2015,61,4733
2016,61,2965
2017,61,5641
2018,61,9411
2019,61,15644
2020,61,6003
2008,62,7942
2009,62,9547
2010,62,15113
2011,62,9347
2012,62,6505
2013,62,4945
2014,62,2614
2015,62,4037
2016,62,6003
2017,62,9341
2018,62,6372
2019,62,5885
2020,62,2133
2008,63,6001
2009,63,7176
2010,63,6746
2011,63,4879
2012,63,5844
2013,63,5625
2014,63,15891
2015,63,26575
2016,63,29755
2017,63,13898
2018,63,18995
2019,63,14714
2020,63,15304
2008,64,2851000
2009,64,2526000
2010,64,2802000
2011,64,3029000
2012,64,3314000
2013,64,2505000
2014,64,2562000
2015,64,4761000
2016,64,3467000
2017,64,3477000
2018,64,2831000
2019,64,3860000
2020,64,3500000
2008,65,6833
2009,65,2315
2010,65,3394
2011,65,4045
2012,65,3215
