Date,Id,dividend payout
2017,35,21.83
2018,35,21.83
2019,35,21.83
2020,35,21.83
2008,36,9.18
2009,36,9.18
2010,36,9.18
2011,36,9.18
2012,36,9.18
2013,36,9.18
2014,36,9.18
2015,36,9.18
2016,36,9.18
2017,36,9.18
2018,36,9.18
2019,36,9.18
2020,36,9.18
2008,37,40.15
2009,37,40.15
2010,37,40.15
2011,37,40.15
2012,37,40.15
2013,37,40.15
2014,37,40.15
2015,37,40.15
2016,37,40.15
2017,37,40.15
2018,37,40.15
2019,37,40.15
2020,37,40.15
2008,38,33.39
2009,38,33.39
2010,38,33.39
2011,38,33.39
2012,38,33.39
2013,38,33.39
2014,38,33.39
2015,38,33.39
2016,38,33.39
2017,38,33.39
2018,38,33.39
2019,38,33.39
2020,38,33.39
2008,39,46.45
2009,39,46.45
2010,39,46.45
2011,39,46.45
2012,39,46.45
2013,39,46.45
2014,39,46.45
2015,39,46.45
2016,39,46.45
2017,39,46.45
2018,39,46.45
2019,39,46.45
2020,39,46.45
2008,40,42.49
2009,40,42.49
2010,40,42.49
2011,40,42.49
2012,40,42.49
2013,40,42.49
2014,40,42.49
2015,40,42.49
2016,40,42.49
2017,40,42.49
2018,40,42.49
2019,40,42.49
2020,40,42.49
2008,41,0
2009,41,0
2010,41,0
2011,41,0
2012,41,0
2013,41,0
2014,41,0
2015,41,0
2016,41,0
2017,41,0
2018,41,0
2019,41,0
2020,41,0
2008,42,
2009,42,
2010,42,
2011,42,
2012,42,
2013,42,
2014,42,
2015,42,
2016,42,
2017,42,
2018,42,
2019,42,
2020,42,
2008,43,68.6
2009,43,68.6
2010,43,68.6
2011,43,68.6
2012,43,68.6
2013,43,68.6
2014,43,68.6
2015,43,68.6
2016,43,68.6
2017,43,68.6
2018,43,68.6
2019,43,68.6
2020,43,68.6
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,
2014,44,
2015,44,
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,57.23
2009,46,57.23
2010,46,57.23
2011,46,57.23
2012,46,57.23
2013,46,57.23
2014,46,57.23
2015,46,57.23
2016,46,57.23
2017,46,57.23
2018,46,57.23
2019,46,57.23
2020,46,57.23
2008,47,64.11
2009,47,64.11
2010,47,64.11
2011,47,64.11
2012,47,64.11
2013,47,64.11
2014,47,64.11
2015,47,64.11
2016,47,64.11
2017,47,64.11
2018,47,64.11
2019,47,64.11
2020,47,64.11
2008,48,
2009,48,
2010,48,
2011,48,
2012,48,
2013,48,
2014,48,
2015,48,
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,0
2009,49,0
2010,49,0
2011,49,0
2012,49,0
2013,49,0
2014,49,0
2015,49,0
2016,49,0
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,77.46
2009,50,77.46
2010,50,77.46
2011,50,77.46
2012,50,77.46
2013,50,77.46
2014,50,77.46
2015,50,77.46
2016,50,77.46
2017,50,77.46
2018,50,77.46
2019,50,77.46
2020,50,77.46
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,0
2009,52,0
2010,52,0
2011,52,0
2012,52,0
2013,52,0
2014,52,0
2015,52,0
2016,52,0
2017,52,0
2018,52,0
2019,52,0
2020,52,0
2008,53,64.58
2009,53,64.58
2010,53,64.58
2011,53,64.58
2012,53,64.58
2013,53,64.58
2014,53,64.58
2015,53,64.58
2016,53,64.58
2017,53,64.58
2018,53,64.58
2019,53,64.58
2020,53,64.58
2008,54,38.67
2009,54,38.67
2010,54,38.67
2011,54,38.67
2012,54,38.67
2013,54,38.67
2014,54,38.67
2015,54,38.67
2016,54,38.67
2017,54,38.67
2018,54,38.67
2019,54,38.67
2020,54,38.67
2008,55,37.12
2009,55,37.12
2010,55,37.12
2011,55,37.12
2012,55,37.12
2013,55,37.12
2014,55,37.12
2015,55,37.12
2016,55,37.12
2017,55,37.12
2018,55,37.12
2019,55,37.12
2020,55,37.12
2008,56,0
2009,56,0
2010,56,0
2011,56,0
2012,56,0
2013,56,0
2014,56,0
2015,56,0
2016,56,0
2017,56,0
2018,56,0
2019,56,0
2020,56,0
2008,57,
2009,57,
2010,57,
2011,57,
2012,57,
2013,57,
2014,57,
2015,57,
2016,57,
2017,57,
2018,57,
2019,57,
2020,57,
2008,58,57
2009,58,57
2010,58,57
2011,58,57
2012,58,57
2013,58,57
2014,58,57
2015,58,57
2016,58,57
2017,58,57
2018,58,57
2019,58,57
2020,58,57
2008,59,77.37
2009,59,77.37
2010,59,77.37
2011,59,77.37
2012,59,77.37
2013,59,77.37
2014,59,77.37
2015,59,77.37
2016,59,77.37
2017,59,77.37
2018,59,77.37
2019,59,77.37
2020,59,77.37
2008,60,0
2009,60,0
2010,60,0
2011,60,0
2012,60,0
2013,60,0
2014,60,0
2015,60,0
2016,60,0
2017,60,0
2018,60,0
2019,60,0
2020,60,0
2008,61,47.23
2009,61,47.23
2010,61,47.23
2011,61,47.23
2012,61,47.23
2013,61,47.23
2014,61,47.23
2015,61,47.23
2016,61,47.23
2017,61,47.23
2018,61,47.23
2019,61,47.23
2020,61,47.23
2008,62,11.51
2009,62,11.51
2010,62,11.51
2011,62,11.51
2012,62,11.51
2013,62,11.51
2014,62,11.51
2015,62,11.51
2016,62,11.51
2017,62,11.51
2018,62,11.51
2019,62,11.51
2020,62,11.51
2008,63,36.9
2009,63,36.9
2010,63,36.9
2011,63,36.9
2012,63,36.9
2013,63,36.9
2014,63,36.9
2015,63,36.9
2016,63,36.9
2017,63,36.9
2018,63,36.9
2019,63,36.9
2020,63,36.9
2008,64,3.27
2009,64,3.27
2010,64,3.27
2011,64,3.27
2012,64,3.27
2013,64,3.27
2014,64,3.27
2015,64,3.27
2016,64,3.27
2017,64,3.27
2018,64,3.27
2019,64,3.27
2020,64,3.27
2008,65,0
2009,65,0
2010,65,0
2011,65,0
2012,65,0
2013,65,0
2014,65,0
2015,65,0
2016,65,0
2017,65,0
2018,65,0
2019,65,0
2020,65,0
2008,66,0
2009,66,0
2010,66,0
2011,66,0
2012,66,0
2013,66,0
2014,66,0
2015,66,0
2016,66,0
2017,66,0
2018,66,0
2019,66,0
2020,66,0
2008,67,0
2009,67,0
2010,67,0
2011,67,0
2012,67,0
2013,67,0
2014,67,0
2015,67,0
2016,67,0
2017,67,0
2018,67,0
2019,67,0
2020,67,0
2008,68,0
2009,68,0
2010,68,0
2011,68,0
2012,68,0
2013,68,0
2014,68,0
2015,68,0
2016,68,0
2017,68,0
2018,68,0
2019,68,0
2020,68,0
2008,69,
2009,69,
2010,69,
2011,69,
2012,69,
2013,69,
2014,69,
2015,69,
2016,69,
2017,69,
2018,69,
2019,69,
2020,69,
2008,70,51.61
2009,70,51.61
2010,70,51.61
2011,70,51.61
2012,70,51.61
2013,70,51.61
2014,70,51.61
2015,70,51.61
2016,70,51.61
2017,70,51.61
2018,70,51.61
2019,70,51.61
2020,70,51.61
2008,71,0
2009,71,0
2010,71,0
2011,71,0
2012,71,0
2013,71,0
2014,71,0
2015,71,0
2016,71,0
2017,71,0
2018,71,0
2019,71,0
2020,71,0
2008,72,29.75
2009,72,29.75
2010,72,29.75
2011,72,29.75
2012,72,29.75
2013,72,29.75
2014,72,29.75
2015,72,29.75
2016,72,29.75
2017,72,29.75
2018,72,29.75
2019,72,29.75
2020,72,29.75
2008,73,
2009,73,
2010,73,
2011,73,
2012,73,
2013,73,
2014,73,
2015,73,
2016,73,
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,0
2009,75,0
2010,75,0
2011,75,0
2012,75,0
2013,75,0
2014,75,0
2015,75,0
2016,75,0
2017,75,0
2018,75,0
2019,75,0
2020,75,0
2008,76,71.88
2009,76,71.88
2010,76,71.88
2011,76,71.88
2012,76,71.88
2013,76,71.88
2014,76,71.88
2015,76,71.88
2016,76,71.88
2017,76,71.88
2018,76,71.88
2019,76,71.88
2020,76,71.88
2008,77,44.43
2009,77,44.43
2010,77,44.43
2011,77,44.43
2012,77,44.43
2013,77,44.43
2014,77,44.43
2015,77,44.43
2016,77,44.43
2017,77,44.43
2018,77,44.43
2019,77,44.43
2020,77,44.43
2008,78,51.72
2009,78,51.72
2010,78,51.72
2011,78,51.72
2012,78,51.72
2013,78,51.72
2014,78,51.72
2015,78,51.72
2016,78,51.72
2017,78,51.72
2018,78,51.72
2019,78,51.72
2020,78,51.72
2008,79,87.96
2009,79,87.96
2010,79,87.96
2011,79,87.96
2012,79,87.96
2013,79,87.96
2014,79,87.96
2015,79,87.96
2016,79,87.96
2017,79,87.96
2018,79,87.96
2019,79,87.96
2020,79,87.96
2008,80,56.51
2009,80,56.51
2010,80,56.51
2011,80,56.51
2012,80,56.51
2013,80,56.51
2014,80,56.51
2015,80,56.51
2016,80,56.51
2017,80,56.51
2018,80,56.51
2019,80,56.51
2020,80,56.51
2008,81,0
2009,81,0
2010,81,0
2011,81,0
2012,81,0
2013,81,0
2014,81,0
2015,81,0
2016,81,0
2017,81,0
2018,81,0
2019,81,0
2020,81,0
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,
2013,82,
2014,82,
2015,82,
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,64.58
2009,83,64.58
2010,83,64.58
2011,83,64.58
2012,83,64.58
2013,83,64.58
2014,83,64.58
2015,83,64.58
2016,83,64.58
2017,83,64.58
2018,83,64.58
2019,83,64.58
2020,83,64.58
2008,84,0
2009,84,0
2010,84,0
2011,84,0
2012,84,0
2013,84,0
2014,84,0
2015,84,0
2016,84,0
2017,84,0
2018,84,0
2019,84,0
2020,84,0
2008,85,18.23
2009,85,18.23
2010,85,18.23
2011,85,18.23
2012,85,18.23
2013,85,18.23
2014,85,18.23
2015,85,18.23
2016,85,18.23
2017,85,18.23
2018,85,18.23
2019,85,18.23
2020,85,18.23
2008,86,0
2009,86,0
2010,86,0
2011,86,0
2012,86,0
2013,86,0
2014,86,0
2015,86,0
2016,86,0
2017,86,0
2018,86,0
2019,86,0
2020,86,0
2008,87,0
2009,87,0
2010,87,0
2011,87,0
2012,87,0
2013,87,0
2014,87,0
2015,87,0
2016,87,0
2017,87,0
2018,87,0
2019,87,0
2020,87,0
2008,88,0
2009,88,0
2010,88,0
2011,88,0
2012,88,0
2013,88,0
2014,88,0
2015,88,0
2016,88,0
2017,88,0
2018,88,0
2019,88,0
2020,88,0
2008,89,
2009,89,
2010,89,
2011,89,
2012,89,
2013,89,
2014,89,
2015,89,
2016,89,
2017,89,
2018,89,
2019,89,
2020,89,
2008,90,
2009,90,
2010,90,
2011,90,
2012,90,
2013,90,
2014,90,
2015,90,
2016,90,
2017,90,
2018,90,
2019,90,
2020,90,
2008,91,0
2009,91,0
2010,91,0
2011,91,0
2012,91,0
2013,91,0
2014,91,0
2015,91,0
2016,91,0
2017,91,0
2018,91,0
2019,91,0
2020,91,0
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,
2015,92,
2016,92,
2017,92,
2018,92,
2019,92,
2020,92,
2008,93,
2009,93,
2010,93,
2011,93,
2012,93,
2013,93,
2014,93,
2015,93,
2016,93,
2017,93,
2018,93,
2019,93,
2020,93,
2008,94,
2009,94,
2010,94,
2011,94,
2012,94,
2013,94,
2014,94,
2015,94,
2016,94,
2017,94,
2018,94,
2019,94,
2020,94,
2008,95,41.54
2009,95,41.54
2010,95,41.54
2011,95,41.54
2012,95,41.54
2013,95,41.54
2014,95,41.54
2015,95,41.54
2016,95,41.54
2017,95,41.54
2018,95,41.54
2019,95,41.54
2020,95,41.54
2008,96,
2009,96,
2010,96,
2011,96,
2012,96,
2013,96,
2014,96,
2015,96,
2016,96,
2017,96,
2018,96,
2019,96,
2020,96,
2008,97,0
2009,97,0
2010,97,0
2011,97,0
2012,97,0
2013,97,0
2014,97,0
2015,97,0
2016,97,0
2017,97,0
2018,97,0
2019,97,0
2020,97,0
2008,98,22.05
2009,98,22.05
2010,98,22.05
2011,98,22.05
2012,98,22.05
2013,98,22.05
2014,98,22.05
2015,98,22.05
2016,98,22.05
2017,98,22.05
2018,98,22.05
2019,98,22.05
2020,98,22.05
2008,99,
2009,99,
2010,99,
2011,99,
2012,99,
2013,99,
2014,99,
2015,99,
2016,99,
2017,99,
2018,99,
2019,99,
2020,99,
2008,100,29.92
2009,100,29.92
2010,100,29.92
2011,100,29.92
2012,100,29.92
2013,100,29.92
2014,100,29.92
2015,100,29.92
2016,100,29.92
2017,100,29.92
2018,100,29.92
2019,100,29.92
2020,100,29.92
2008,101,0
2009,101,0
2010,101,0
2011,101,0
2012,101,0
2013,101,0
2014,101,0
2015,101,0
2016,101,0
2017,101,0
2018,101,0
2019,101,0
2020,101,0
2008,102,0
2009,102,0
2010,102,0
2011,102,0
2012,102,0
2013,102,0
2014,102,0
2015,102,0
2016,102,0
2017,102,0
2018,102,0
2019,102,0
2020,102,0
2008,103,0
2009,103,0
2010,103,0
2011,103,0
2012,103,0
2013,103,0
2014,103,0
2015,103,0
2016,103,0
2017,103,0
2018,103,0
2019,103,0
2020,103,0
2008,104,0
2009,104,0
2010,104,0
2011,104,0
2012,104,0
2013,104,0
2014,104,0
2015,104,0
2016,104,0
2017,104,0
2018,104,0
2019,104,0
2020,104,0
2008,105,0
2009,105,0
2010,105,0
2011,105,0
2012,105,0
2013,105,0
2014,105,0
2015,105,0
2016,105,0
2017,105,0
2018,105,0
2019,105,0
2020,105,0
2008,106,24.06
2009,106,24.06
2010,106,24.06
2011,106,24.06
2012,106,24.06
2013,106,24.06
2014,106,24.06
2015,106,24.06
2016,106,24.06
2017,106,24.06
2018,106,24.06
2019,106,24.06
2020,106,24.06
2008,107,0
2009,107,0
2010,107,0
2011,107,0
2012,107,0
2013,107,0
2014,107,0
2015,107,0
2016,107,0
2017,107,0
2018,107,0
2019,107,0
2020,107,0
2008,108,29.56
2009,108,29.56
2010,108,29.56
2011,108,29.56
2012,108,29.56
2013,108,29.56
2014,108,29.56
2015,108,29.56
2016,108,29.56
2017,108,29.56
2018,108,29.56
2019,108,29.56
2020,108,29.56
2008,109,
2009,109,
2010,109,
2011,109,
2012,109,
2013,109,
2014,109,
2015,109,
2016,109,
2017,109,
2018,109,
2019,109,
2020,109,
2008,110,0
2009,110,0
2010,110,0
2011,110,0
2012,110,0
2013,110,0
2014,110,0
2015,110,0
2016,110,0
2017,110,0
2018,110,0
2019,110,0
2020,110,0
2008,111,15.15
2009,111,15.15
2010,111,15.15
2011,111,15.15
2012,111,15.15
2013,111,15.15
2014,111,15.15
2015,111,15.15
2016,111,15.15
2017,111,15.15
2018,111,15.15
2019,111,15.15
2020,111,15.15
2008,112,
2009,112,
2010,112,
2011,112,
2012,112,
2013,112,
2014,112,
2015,112,
2016,112,
2017,112,
2018,112,
2019,112,
2020,112,
2008,113,0
2009,113,0
2010,113,0
2011,113,0
2012,113,0
2013,113,0
2014,113,0
2015,113,0
2016,113,0
2017,113,0
2018,113,0
2019,113,0
2020,113,0
2008,114,0
2009,114,0
2010,114,0
2011,114,0
2012,114,0
2013,114,0
2014,114,0
2015,114,0
2016,114,0
2017,114,0
2018,114,0
2019,114,0
2020,114,0
2008,115,
2009,115,
2010,115,
2011,115,
2012,115,
2013,115,
2014,115,
2015,115,
2016,115,
2017,115,
2018,115,
2019,115,
2020,115,
2008,116,29.42
2009,116,29.42
2010,116,29.42
2011,116,29.42
2012,116,29.42
2013,116,29.42
2014,116,29.42
2015,116,29.42
2016,116,29.42
2017,116,29.42
2018,116,29.42
2019,116,29.42
2020,116,29.42
2008,117,0
2009,117,0
2010,117,0
2011,117,0
