Date,Id,current assets
2017,33,123500
2018,33,121330
2019,33,
2020,33,
2008,34,2985384
2009,34,2683886
2010,34,2665753
2011,34,2572293
2012,34,2390280
2013,34,2127223
2014,34,2261113
2015,34,2343692
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,377465
2009,35,366003
2010,35,421357
2011,35,444969
2012,35,458588
2013,35,456554
2014,35,446776
2015,35,485092
2016,35,713198
2017,35,528522
2018,35,615896
2019,35,689370
2020,35,750731
2008,36,1614291
2009,36,1646590
2010,36,1382124
2011,36,1595197
2012,36,1638522
2013,36,1481378
2014,36,1241669
2015,36,1344209
2016,36,1522145
2017,36,1739581
2018,36,1389842
2019,36,1811684
2020,36,2159065
2008,37,4121424
2009,37,3948281
2010,37,3830140
2011,37,3765759
2012,37,3431122
2013,37,2947357
2014,37,2905566
2015,37,461816
2016,37,762687
2017,37,681601
2018,37,554681
2019,37,805152
2020,37,608775
2008,38,3338579
2009,38,2941307
2010,38,3037226
2011,38,2946030
2012,38,3721476
2013,38,3439982
2014,38,5265608
2015,38,6103298
2016,38,7796990
2017,38,7139157
2018,38,5777567
2019,38,6193983
2020,38,8988719
2008,39,
2009,39,
2010,39,
2011,39,
2012,39,
2013,39,100240
2014,39,72898
2015,39,50706
2016,39,57004
2017,39,70315
2018,39,100566
2019,39,274640
2020,39,191457
2008,40,243729
2009,40,218218
2010,40,218270
2011,40,264170
2012,40,313044
2013,40,300118
2014,40,369624
2015,40,282538
2016,40,388945
2017,40,397034
2018,40,364826
2019,40,305821
2020,40,403110
2008,41,24268
2009,41,29435
2010,41,28920
2011,41,17258
2012,41,8713
2013,41,12735
2014,41,9680
2015,41,12439
2016,41,7954
2017,41,82577
2018,41,114203
2019,41,129660
2020,41,127540
2008,42,27652000
2009,42,28890000
2010,42,36157000
2011,42,35585000
2012,42,38222000
2013,42,35323000
2014,42,42181000
2015,42,37328000
2016,42,35281000
2017,42,34467000
2018,42,35887000
2019,42,36703000
2020,42,33137000
2008,43,2589500
2009,43,1727900
2010,43,1694900
2011,43,3001800
2012,43,4500300
2013,43,3543500
2014,43,2952000
2015,43,2077000
2016,43,2702600
2017,43,3446100
2018,43,3043600
2019,43,2986200
2020,43,4777100
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,16318
2014,44,14062
2015,44,14397
2016,44,11703
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,1948559
2009,46,1975874
2010,46,1925750
2011,46,2316514
2012,46,2316450
2013,46,2482087
2014,46,2640556
2015,46,2240030
2016,46,2132981
2017,46,2191309
2018,46,2421364
2019,46,2452987
2020,46,2362610
2008,47,2339000
2009,47,2454000
2010,47,2861000
2011,47,3045000
2012,47,3235000
2013,47,3109000
2014,47,2885000
2015,47,2730000
2016,47,3058000
2017,47,2840000
2018,47,2970000
2019,47,3110000
2020,47,3953000
2008,48,850000
2009,48,1052000
2010,48,1456000
2011,48,1421000
2012,48,1803000
2013,48,1504000
2014,48,1978000
2015,48,1744000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,860
2011,49,1545
2012,49,4021
2013,49,9981
2014,49,10054
2015,49,9648
2016,49,11243
2017,49,8301
2018,49,5054
2019,49,4745
2020,49,5396
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,21689
2013,50,17795
2014,50,10191
2015,50,9409
