Date,Id,free fcash flow
2019,30,-1.245
2020,30,0.853
2008,31,492.324
2009,31,2757.989
2010,31,-1110.069
2011,31,235.43
2012,31,-262.949
2013,31,-1238.749
2014,31,-59.454
2015,31,-175.215
2016,31,
2017,31,-61.45
2018,31,-4.076
2019,31,-16.618
2020,31,
2008,32,0.012
2009,32,0.08
2010,32,0
2011,32,0.028
2012,32,-0.006
2013,32,-0.044
2014,32,0.006
2015,32,0.005
2016,32,0.027
2017,32,0.08
2018,32,-0.141
2019,32,-0.032
2020,32,0.016
2008,33,0.179
2009,33,0.06
2010,33,-0.156
2011,33,-0.118
2012,33,-0.176
2013,33,-0.154
2014,33,-0.213
2015,33,-0.11
2016,33,-0.132
2017,33,-0.066
2018,33,0.011
2019,33,
2020,33,
2008,34,-0.04
2009,34,-0.036
2010,34,0.251
2011,34,0.904
2012,34,-0.008
2013,34,-0.034
2014,34,-0.733
2015,34,-0.416
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,-0.004
2009,35,0.144
2010,35,0.233
2011,35,0.121
2012,35,0.138
2013,35,0.169
2014,35,0.361
2015,35,0.373
2016,35,0.327
2017,35,0.305
2018,35,0.486
2019,35,0.74
2020,35,0.713
2008,36,0.338
2009,36,-0.909
2010,36,-0.32
2011,36,0.709
2012,36,0.61
2013,36,0.541
2014,36,0.454
2015,36,0.159
2016,36,0.895
2017,36,1.502
2018,36,1.243
2019,36,2.135
2020,36,2.734
2008,37,-2.715
2009,37,-0.16
2010,37,-0.389
2011,37,-1.197
2012,37,-1.057
2013,37,-0.293
2014,37,-2.887
2015,37,5.47
2016,37,-3.808
2017,37,-1.674
2018,37,-0.135
2019,37,1.187
2020,37,-0.897
2008,38,0.419
2009,38,-0.108
2010,38,-0.032
2011,38,0.21
2012,38,2.34
2013,38,0.08
2014,38,0.427
2015,38,0.235
2016,38,0.239
2017,38,0.243
2018,38,0.198
2019,38,0.544
2020,38,-0.226
2008,39,-4.072
2009,39,-1.696
2010,39,-1.75
2011,39,-0.134
2012,39,0.139
2013,39,0.222
2014,39,0.088
2015,39,0.266
2016,39,0.4
2017,39,0.489
2018,39,-0.847
2019,39,0.236
2020,39,0.798
2008,40,0.168
2009,40,0.043
2010,40,-0.56
2011,40,-0.368
2012,40,0.035
2013,40,0.057
2014,40,0.02
2015,40,0.045
2016,40,-0.138
2017,40,0.202
2018,40,0.201
2019,40,-0.026
2020,40,0.037
2008,41,-302.655
2009,41,
2010,41,
2011,41,-10.033
2012,41,
2013,41,1.251
2014,41,1.144
2015,41,2.047
2016,41,-1.596
2017,41,-24.939
2018,41,-0.394
2019,41,-0.355
2020,41,-0.507
2008,42,-0.336
2009,42,-0.065
2010,42,0.136
2011,42,0.011
2012,42,0.181
2013,42,0.333
2014,42,0.241
2015,42,0.14
2016,42,-0.047
2017,42,0.205
2018,42,0.132
2019,42,0.064
2020,42,0.036
2008,43,-0.289
2009,43,-0.55
2010,43,-0.284
2011,43,-0.362
2012,43,-0.349
2013,43,-0.341
2014,43,-0.256
2015,43,-0.181
2016,43,0.168
2017,43,0.078
2018,43,-0.152
2019,43,-0.184
2020,43,-0.219
2008,44,
2009,44,-0.631
2010,44,-0.195
2011,44,-0.075
2012,44,
2013,44,0.026
2014,44,0.026
2015,44,0.022
2016,44,0.008
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,-0.121
2009,46,-1.678
2010,46,1.485
2011,46,-0.185
2012,46,0.583
2013,46,1.556
2014,46,1.526
2015,46,0.978
2016,46,1.263
2017,46,1.3
2018,46,1.319
2019,46,1.404
2020,46,1.389
2008,47,-0.016
2009,47,-0.078
2010,47,0.082
2011,47,-0.078
2012,47,-0.018
2013,47,0.05
2014,47,0.012
