Date,Id,historic volatility
2012,29,0.1527
2013,29,0.1326
2014,29,0.1364
2015,29,0.1665
2016,29,0.2401
2017,29,0.2477
2018,29,0.2341
2019,29,0.2202
2020,29,0.1924
2008,30,0.4781
2009,30,0.5252
2010,30,0.4475
2011,30,0.4505
2012,30,0.4844
2013,30,0.4556
2014,30,0.413
2015,30,0.4798
2016,30,0.5186
2017,30,0.5368
2018,30,0.5642
2019,30,0.5802
2020,30,0.7109
2008,31,
2009,31,
2010,31,0.9294
2011,31,0.6187
2012,31,0.6075
2013,31,0.5463
2014,31,0.5233
2015,31,0.4389
2016,31,0.5878
2017,31,0.7763
2018,31,0.8937
2019,31,0.9079
2020,31,0.8952
2008,32,0.2306
2009,32,0.2261
2010,32,0.2226
2011,32,0.2275
2012,32,0.2305
2013,32,0.1781
2014,32,0.2079
2015,32,0.2286
2016,32,0.2227
2017,32,0.2216
2018,32,0.2119
2019,32,0.1699
2020,32,0.1439
2008,33,0.2747
2009,33,0.3113
2010,33,0.3142
2011,33,0.3193
2012,33,0.3105
2013,33,0.3192
2014,33,0.3703
2015,33,0.3596
2016,33,0.3588
2017,33,0.3559
2018,33,0.3488
2019,33,0.2444
2020,33,0.2062
2008,34,0.2348
2009,34,0.2859
2010,34,0.3236
2011,34,0.3337
2012,34,0.378
2013,34,0.3855
2014,34,0.3787
2015,34,0.4318
2016,34,0.4042
2017,34,0.3454
2018,34,0.3136
2019,34,0.2693
2020,34,0.0078
2008,35,0.3459
2009,35,0.3893
2010,35,0.4347
2011,35,0.4396
2012,35,0.426
2013,35,0.405
2014,35,0.3937
2015,35,0.3511
2016,35,0.3874
2017,35,0.3989
2018,35,0.3801
2019,35,0.3465
2020,35,0.3533
2008,36,0.3049
2009,36,0.3704
2010,36,0.4073
2011,36,0.4061
2012,36,0.4224
2013,36,0.3866
2014,36,0.3342
2015,36,0.2959
2016,36,0.2965
2017,36,0.2725
2018,36,0.2759
2019,36,0.2668
2020,36,0.2602
2008,37,0.318
2009,37,0.4083
2010,37,0.4386
2011,37,0.4469
2012,37,0.481
2013,37,0.449
2014,37,0.3988
2015,37,0.4181
2016,37,0.4185
2017,37,0.3575
2018,37,0.3421
2019,37,0.2986
2020,37,0.2442
2008,38,0.4425
2009,38,0.4466
2010,38,0.4349
2011,38,0.4197
2012,38,0.3907
2013,38,0.3307
2014,38,0.3774
2015,38,0.3758
2016,38,0.3973
2017,38,0.3958
2018,38,0.3837
2019,38,0.3518
2020,38,0.3881
2008,39,0.2759
2009,39,0.3369
2010,39,0.3472
2011,39,0.3793
2012,39,0.3611
2013,39,0.3246
2014,39,0.2673
2015,39,0.2738
2016,39,0.3162
2017,39,0.3136
2018,39,0.3184
2019,39,0.3043
2020,39,0.3906
2008,40,0.4625
2009,40,0.474
2010,40,0.343
2011,40,0.3731
2012,40,0.3796
2013,40,0.3438
2014,40,0.3355
2015,40,0.3347
2016,40,0.2786
2017,40,0.3289
2018,40,0.3383
2019,40,0.3502
2020,40,0.3934
2008,41,0.4554
2009,41,0.3775
2010,41,0.4746
2011,41,0.4738
2012,41,0.5336
2013,41,0.5897
2014,41,0.5804
2015,41,0.505
2016,41,0.5165
2017,41,0.4858
2018,41,0.404
2019,41,0.4207
2020,41,0.5249
2008,42,0.1648
2009,42,0.1844
2010,42,0.2018
2011,42,0.2276
2012,42,0.2499
2013,42,0.2715
2014,42,0.2605
2015,42,0.2573
2016,42,0.2353
2017,42,0.2188
2018,42,0.1807
2019,42,0.1723
2020,42,0.2143
2008,43,0.1299
2009,43,0.1385
2010,43,0.1455
2011,43,0.1817
2012,43,0.1833
2013,43,0.1848
2014,43,0.1734
2015,43,0.1736
2016,43,0.1424
2017,43,0.1489
2018,43,0.1481
2019,43,0.153
2020,43,0.152
2008,44,1.0273
2009,44,0.8614
2010,44,0.858
2011,44,0.7559
2012,44,0.7616
2013,44,0.7367
2014,44,0.6799
2015,44,0.5747
2016,44,0.5905
2017,44,0.5177
2018,44,0.3443
2019,44,0.3113
2020,44,0.2866
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,0.2332
2009,46,0.2276
2010,46,0.222
2011,46,0.2196
2012,46,0.2425
2013,46,0.2631
2014,46,0.266
2015,46,0.2806
2016,46,0.2959
2017,46,0.2858
2018,46,0.2723
2019,46,0.2622
2020,46,0.29
2008,47,0.2453
2009,47,0.2674
2010,47,0.2787
2011,47,0.2911
2012,47,0.3423
2013,47,0.3686
2014,47,0.3602
2015,47,0.3581
2016,47,0.3502
2017,47,0.2703
2018,47,0.2171
2019,47,0.2075
2020,47,0.2645
2008,48,
2009,48,
2010,48,0
2011,48,0.2054
2012,48,0.2574
2013,48,0.2426
2014,48,0.2237
2015,48,0.2274
2016,48,0.2094
2017,48,0.1586
2018,48,0.129
2019,48,0.1103
2020,48,0.0313
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,0.3237
2013,49,0.3846
2014,49,0.3627
2015,49,0.3381
2016,49,0.3253
2017,49,0.3123
2018,49,0.2761
2019,49,0.2647
2020,49,0.2699
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,0.1506
2015,50,0.1708
2016,50,0.2208
2017,50,0.1979
2018,50,0.1888
2019,50,0.1784
2020,50,0.2099
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0.1443
2016,52,0.2894
2017,52,0.2832
2018,52,0.2624
2019,52,0.2437
2020,52,0.3263
2008,53,0.3361
2009,53,0.3616
2010,53,0.3702
2011,53,0.3814
2012,53,0.3778
2013,53,0.3013
2014,53,0.2761
2015,53,0.3197
2016,53,0.3156
2017,53,0.3729
2018,53,0.3948
2019,53,0.389
2020,53,0.3988
2008,54,0.2849
2009,54,0.3103
2010,54,0.2712
2011,54,0.2858
2012,54,0.324
2013,54,0.2937
2014,54,0.2947
2015,54,0.3376
2016,54,0.3376
2017,54,0.3239
2018,54,0.3965
2019,54,0.4235
2020,54,0.4735
2008,55,0.2121
2009,55,0.2226
2010,55,0.2522
2011,55,0.2389
2012,55,0.2698
2013,55,0.2628
2014,55,0.2595
2015,55,0.2291
2016,55,0.2626
2017,55,0.2599
2018,55,0.2974
2019,55,0.3541
2020,55,0.4088
2008,56,0.4296
2009,56,0.4619
2010,56,0.4479
2011,56,0.4571
2012,56,0.4478
2013,56,0.3444
2014,56,0.3278
2015,56,0.3425
2016,56,0.3497
2017,56,0.4072
2018,56,0.4536
2019,56,0.472
