Date,Id,total liabilities
2011,33,195969
2012,33,197261
2013,33,190852
2014,33,197854
2015,33,190445
2016,33,187706
2017,33,188195
2018,33,180693
2019,33,
2020,33,
2008,34,5331911
2009,34,5078272
2010,34,4982201
2011,34,4759723
2012,34,4592391
2013,34,4376305
2014,34,4708264
2015,34,4723947
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,742380
2009,35,731652
2010,35,759976
2011,35,777549
2012,35,800943
2013,35,758279
2014,35,680317
2015,35,655440
2016,35,1301867
2017,35,1307893
2018,35,957067
2019,35,1034832
2020,35,1000647
2008,36,3204214
2009,36,3302092
2010,36,3011503
2011,36,3039600
2012,36,3133815
2013,36,2891109
2014,36,2746000
2015,36,2890712
2016,36,2963136
2017,36,2887195
2018,36,2496202
2019,36,2638920
2020,36,2701792
2008,37,6358846
2009,37,6139475
2010,37,6044199
2011,37,5793731
2012,37,5497843
2013,37,5036649
2014,37,5336571
2015,37,5171917
2016,37,405765
2017,37,292566
2018,37,432424
2019,37,423312
2020,37,402722
2008,38,3477808
2009,38,3226107
2010,38,3265516
2011,38,3195836
2012,38,2731851
2013,38,2474534
2014,38,5344825
2015,38,6021316
2016,38,7852763
2017,38,7523737
2018,38,6315146
2019,38,6461424
2020,38,9175273
2008,39,324457
2009,39,364089
2010,39,467487
2011,39,443245
2012,39,406529
2013,39,353393
2014,39,270559
2015,39,253322
2016,39,241721
2017,39,232113
2018,39,340732
2019,39,700189
2020,39,693452
2008,40,183303
2009,40,139456
2010,40,989583
2011,40,1052135
2012,40,1103779
2013,40,1028729
2014,40,969023
2015,40,887499
2016,40,990768
2017,40,1066779
2018,40,1034612
2019,40,1158400
2020,40,1234953
2008,41,80138
2009,41,97579
2010,41,76226
2011,41,59305
2012,41,56432
2013,41,48383
2014,41,40918
2015,41,39136
2016,41,47791
2017,41,115554
2018,41,109077
2019,41,166821
2020,41,180053
2008,42,101031000
2009,42,109866000
2010,42,108490000
2011,42,109354000
2012,42,112193000
2013,42,105070000
2014,42,108422000
2015,42,102042000
2016,42,96356000
2017,42,97126000
2018,42,109267000
2019,42,115376000
2020,42,112518000
2008,43,7104000
2009,43,6677700
2010,43,7874200
2011,43,9806600
2012,43,12354700
2013,43,11794500
2014,43,11966300
2015,43,12111300
2016,43,12486000
2017,43,13087800
2018,43,13073000
2019,43,13707800
2020,43,16102700
2008,44,31667
2009,44,77614
2010,44,84402
2011,44,101361
2012,44,99300
