Date,Id,other proceeds
2009,37,3024
2010,37,0
2011,37,0
2012,37,0
2013,37,0
2014,37,262031
2015,37,434
2016,37,0
2017,37,0
2018,37,0
2019,37,921
2020,37,5533
2008,38,2972
2009,38,0
2010,38,0
2011,38,0
2012,38,0
2013,38,0
2014,38,161640
2015,38,0
2016,38,0
2017,38,0
2018,38,0
2019,38,592982
2020,38,0
2008,39,36327
2009,39,0
2010,39,0
2011,39,0
2012,39,
2013,39,0
2014,39,0
2015,39,0
2016,39,0
2017,39,0
2018,39,0
2019,39,0
2020,39,0
2008,40,464
2009,40,
2010,40,0
2011,40,130382
2012,40,0
2013,40,0
2014,40,0
2015,40,0
2016,40,0
2017,40,604
2018,40,8004
2019,40,3811
2020,40,18835
2008,41,
2009,41,
2010,41,0
2011,41,0
2012,41,599
2013,41,477
2014,41,0
2015,41,0
2016,41,0
2017,41,83276
2018,41,16534
2019,41,0
2020,41,0
2008,42,7000
2009,42,3000
2010,42,2422000
2011,42,0
2012,42,
2013,42,0
2014,42,0
2015,42,0
2016,42,0
2017,42,0
2018,42,0
2019,42,0
2020,42,0
2008,43,100
2009,43,0
2010,43,800
2011,43,1200
2012,43,0
2013,43,0
2014,43,0
2015,43,0
2016,43,0
2017,43,0
2018,43,0
2019,43,0
2020,43,0
2008,44,46090
2009,44,1
2010,44,11039
2011,44,4
2012,44,
2013,44,9519
2014,44,0
2015,44,0
2016,44,0
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,0
2009,46,0
2010,46,0
2011,46,0
2012,46,0
2013,46,0
2014,46,0
2015,46,0
2016,46,0
2017,46,0
2018,46,0
2019,46,0
2020,46,0
2008,47,
2009,47,0
2010,47,0
2011,47,0
2012,47,0
2013,47,0
2014,47,0
2015,47,0
2016,47,0
2017,47,0
2018,47,0
2019,47,0
2020,47,0
2008,48,0
2009,48,0
2010,48,0
2011,48,0
2012,48,0
2013,48,0
2014,48,0
2015,48,0
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,0
2013,49,0
2014,49,
2015,49,0
2016,49,0
2017,49,370
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,0
2014,50,22634
2015,50,0
2016,50,0
