Date,Id,inventories
2014,34,723357
2015,34,704611
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,147934
2009,35,134381
2010,35,144167
2011,35,144667
2012,35,152610
2013,35,140337
2014,35,150016
2015,35,145085
2016,35,165593
2017,35,127793
2018,35,189205
2019,35,176061
2020,35,154168
2008,36,382623
2009,36,387061
2010,36,394760
2011,36,404480
2012,36,434252
2013,36,405900
2014,36,375746
2015,36,376483
2016,36,396457
2017,36,402544
2018,36,456863
2019,36,488274
2020,36,468855
2008,37,984189
2009,37,713441
2010,37,755015
2011,37,775622
2012,37,735519
2013,37,663210
2014,37,758253
2015,37,33459
2016,37,35753
2017,37,40594
2018,37,58170
2019,37,57202
2020,37,48057
2008,38,870902
2009,38,750462
2010,38,894374
2011,38,937526
2012,38,1095113
2013,38,959686
2014,38,1515509
2015,38,2043864
2016,38,2637842
2017,38,2909079
2018,38,192304
2019,38,156368
2020,38,198325
2008,39,16
2009,39,16
2010,39,51
2011,39,189
2012,39,25
2013,39,15
2014,39,0
2015,39,0
2016,39,0
2017,39,0
2018,39,0
2019,39,0
2020,39,0
2008,40,5730
2009,40,4541
2010,40,3728
2011,40,4263
2012,40,3258
2013,40,5387
2014,40,5313
2015,40,4868
2016,40,4518
2017,40,4932
2018,40,5828
2019,40,30128
2020,40,28361
2008,41,4814
2009,41,2577
2010,41,271
2011,41,652
2012,41,0
2013,41,0
2014,41,0
2015,41,0
2016,41,0
2017,41,36159
2018,41,36124
2019,41,55388
2020,41,48223
2008,42,2182000
2009,42,2500000
2010,42,2803000
2011,42,3148000
2012,42,3338000
2013,42,3586000
2014,42,3334000
2015,42,2904000
2016,42,2564000
2017,42,2722000
2018,42,2818000
2019,42,2531000
2020,42,2401000
2008,43,17700
2009,43,11700
2010,43,11400
2011,43,16300
2012,43,6600
2013,43,8000
2014,43,21600
2015,43,12400
2016,43,17900
2017,43,49900
2018,43,28600
2019,43,61100
2020,43,90700
2008,44,8151
2009,44,8009
2010,44,4379
2011,44,6052
2012,44,2807
2013,44,3513
2014,44,3699
2015,44,3068
2016,44,2595
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,78841
2009,46,69464
2010,46,61417
2011,46,66106
2012,46,41983
2013,46,37342
2014,46,29229
2015,46,26623
2016,46,31726
2017,46,40201
2018,46,48789
2019,46,57335
2020,46,91973
2008,47,224000
2009,47,191000
2010,47,239000
2011,47,311000
2012,47,343000
2013,47,284000
2014,47,284000
2015,47,184000
2016,47,159000
2017,47,147000
2018,47,187000
2019,47,184000
2020,47,139000
2008,48,103000
2009,48,56000
2010,48,216000
2011,48,78000
2012,48,64000
2013,48,93000
2014,48,184000
2015,48,163000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0
2011,49,0
2012,49,0
2013,49,0
2014,49,0
2015,49,0
2016,49,0
2017,49,0
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,8847
2013,50,8847
2014,50,0
2015,50,0
2016,50,0
2017,50,0
2018,50,0
2019,50,0
