Date,Id,short term debt
2013,34,331864
2014,34,420170
2015,34,598233
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,251485
2009,35,179051
2010,35,213763
2011,35,297909
2012,35,220976
2013,35,142120
2014,35,105893
2015,35,116764
2016,35,52815
2017,35,54093
2018,35,17225
2019,35,44691
2020,35,367970
2008,36,151619
2009,36,362444
2010,36,177916
2011,36,480973
2012,36,358831
2013,36,196617
2014,36,158156
2015,36,529434
2016,36,57070
2017,36,371038
2018,36,329610
2019,36,50412
2020,36,75471
2008,37,1245522
2009,37,1225183
2010,37,1328404
2011,37,1519453
2012,37,1344290
2013,37,706045
2014,37,697867
2015,37,219822
2016,37,55399
2017,37,54399
2018,37,72238
2019,37,58074
2020,37,57648
2008,38,656037
2009,38,621410
2010,38,508384
2011,38,678343
2012,38,371685
2013,38,250925
2014,38,474045
2015,38,598622
2016,38,472801
2017,38,662504
2018,38,555863
2019,38,306608
2020,38,1403776
2008,39,71355
2009,39,68694
2010,39,86825
2011,39,68279
2012,39,59806
2013,39,65898
2014,39,83331
2015,39,94042
2016,39,85742
2017,39,48768
2018,39,60380
2019,39,55875
2020,39,89751
2008,40,25892
2009,40,26464
2010,40,213172
2011,40,44185
2012,40,74367
2013,40,64382
2014,40,87976
2015,40,74153
2016,40,66525
2017,40,86996
2018,40,75104
2019,40,92502
2020,40,104893
2008,41,10360
2009,41,18410
2010,41,15486
2011,41,3987
2012,41,5642
2013,41,2820
2014,41,2863
2015,41,2573
2016,41,2856
2017,41,30997
2018,41,33136
2019,41,48392
2020,41,45491
2008,42,8577000
2009,42,10451000
2010,42,11208000
2011,42,14471000
2012,42,7336000
2013,42,7219000
2014,42,8377000
2015,42,7888000
2016,42,9756000
2017,42,8894000
2018,42,6983000
2019,42,7326000
2020,42,9513000
2008,43,273200
2009,43,125200
2010,43,157000
2011,43,99800
2012,43,69400
2013,43,697800
2014,43,764100
2015,43,539500
2016,43,924600
2017,43,1002300
2018,43,1255600
2019,43,151500
2020,43,2390200
2008,44,7837
2009,44,3761
2010,44,28573
2011,44,23512
2012,44,19099
2013,44,14297
2014,44,12772
2015,44,28641
2016,44,34559
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,381344
2009,46,802696
2010,46,250045
2011,46,540645
2012,46,891407
2013,46,698076
2014,46,189957
2015,46,259087
2016,46,151478
2017,46,633155
2018,46,408675
2019,46,674364
2020,46,419822
2008,47,449000
2009,47,542000
2010,47,448000
2011,47,675000
2012,47,653000
2013,47,415000
2014,47,125000
2015,47,692000
2016,47,359000
2017,47,437000
2018,47,694000
2019,47,304000
2020,47,588000
2008,48,4690000
2009,48,4528000
2010,48,1934000
2011,48,1123000
2012,48,1020000
2013,48,1059000
2014,48,1188000
2015,48,1183000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,286
2011,49,83
2012,49,87
2013,49,440
2014,49,2470
2015,49,1261
2016,49,903
2017,49,1116
2018,49,730
2019,49,453
2020,49,671
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,27593
2013,50,30737
2014,50,6685
2015,50,12759
2016,50,12866
2017,50,21315
2018,50,23999
2019,50,18857
2020,50,7145
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
