Date,Id,Net_income
2016,33,-9870
2017,33,-12105
2018,33,-34222
2019,33,
2020,33,
2008,34,138814
2009,34,71288
2010,34,45780
2011,34,-3147
2012,34,-395837
2013,34,-165049
2014,34,-107131
2015,34,-119981
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,65273
2009,35,29842
2010,35,9344
2011,35,3025
2012,35,16462
2013,35,40124
2014,35,71634
2015,35,67477
2016,35,67270
2017,35,71471
2018,35,127194
2019,35,83569
2020,35,102008
2008,36,395252
2009,36,139519
2010,36,-63463
2011,36,26408
2012,36,-28475
2013,36,-50678
2014,36,116588
2015,36,125330
2016,36,145866
2017,36,391622
2018,36,382133
2019,36,385671
2020,36,560246
2008,37,-106053
2009,37,97258
2010,37,21269
2011,37,-147707
2012,37,-270294
2013,37,-129735
2014,37,-44813
2015,37,6954
2016,37,56974
2017,37,114972
2018,37,27701
2019,37,63520
2020,37,68315
2008,38,166386
2009,38,77608
2010,38,128445
2011,38,177394
2012,38,602659
2013,38,187748
2014,38,93773
2015,38,60592
2016,38,59921
2017,38,-106918
2018,38,54197
2019,38,-22128
2020,38,146990
2008,39,-5445
2009,39,-4409
2010,39,-4612
2011,39,7952
2012,39,4143
2013,39,-849
2014,39,-26814
2015,39,-8593
2016,39,915
2017,39,4952
2018,39,3451
2019,39,21055
2020,39,30945
2008,40,17927
2009,40,4175
2010,40,2499
2011,40,18863
2012,40,-79207
2013,40,15089
2014,40,3352
2015,40,5275
2016,40,-3935
2017,40,20350
2018,40,44159
2019,40,48436
2020,40,45606
2008,41,-14178
2009,41,-45206
2010,41,-38466
2011,41,-20851
2012,41,-12559
2013,41,7295
2014,41,-408
2015,41,-3559
2016,41,-8418
2017,41,-802
2018,41,6972
2019,41,1539
2020,41,-4079
2008,42,5293000
2009,42,5395000
2010,42,4390000
2011,42,4148000
2012,42,865000
2013,42,3235000
2014,42,517000
2015,42,2196000
2016,42,2570000
2017,42,3779000
2018,42,4789000
2019,42,2174000
2020,42,2610000
2008,43,327500
2009,43,771000
2010,43,613600
2011,43,440000
2012,43,463600
2013,43,513600
2014,43,544500
2015,43,595500
2016,43,633100
2017,43,688300
2018,43,706600
2019,43,757300
2020,43,785500
2008,44,-4779
2009,44,-10439
2010,44,-19840
2011,44,-4398
2012,44,-1804
2013,44,-2322
2014,44,-2811
2015,44,-2687
2016,44,-1556
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,185687
2009,46,-52492
2010,46,92148
2011,46,85958
2012,46,77383
2013,46,141940
2014,46,162459
2015,46,174992
2016,46,262347
2017,46,180682
2018,46,270999
2019,46,283686
2020,46,284948
2008,47,314000
2009,47,80000
2010,47,308000
2011,47,-420000
2012,47,260000
2013,47,62000
2014,47,-37000
2015,47,73000
2016,47,224000
2017,47,294000
2018,47,344000
2019,47,393000
2020,47,364000
2008,48,810000
2009,48,418000
2010,48,452000
2011,48,408000
2012,48,413000
2013,48,528000
2014,48,359000
2015,48,166000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,-3
2011,49,41
2012,49,164
2013,49,137
2014,49,126
2015,49,182
2016,49,-704
2017,49,-968
2018,49,-4477
2019,49,4
2020,49,142
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,2087
2013,50,3941
2014,50,5130
2015,50,1455
2016,50,2214
2017,50,836
2018,50,1464
2019,50,3688
2020,50,4837
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,1557
2015,52,905
2016,52,943
2017,52,4451
2018,52,1304
2019,52,285
2020,52,-458
2008,53,20332
2009,53,-26297
2010,53,3135
2011,53,15584
2012,53,3340
2013,53,-562
2014,53,4836
2015,53,8820
2016,53,14082
2017,53,13860
2018,53,232333
2019,53,19837
2020,53,4787
2008,54,8329
2009,54,-5258
2010,54,1268
2011,54,-270
2012,54,23199
2013,54,6080
2014,54,16520
2015,54,14371
2016,54,40408
2017,54,15634
2018,54,16794
2019,54,26017
2020,54,20255
2008,55,17844
2009,55,-12164
2010,55,18028
2011,55,25915
2012,55,9938
2013,55,26906
2014,55,30857
2015,55,40547
2016,55,45846
2017,55,60080
2018,55,62210
2019,55,50069
2020,55,13411
2008,56,5476
2009,56,-8696
2010,56,-5965
2011,56,1933
2012,56,5307
