Date,Id,market value
2019,30,26.28
2020,30,178.91
2008,31,
2009,31,
2010,31,7.35
2011,31,5.18
2012,31,0.43
2013,31,2.33
2014,31,14.25
2015,31,6.3
2016,31,1.81
2017,31,4.73
2018,31,0.92
2019,31,1.86
2020,31,6.54
2008,32,46.06
2009,32,41.85
2010,32,38.56
2011,32,37.93
2012,32,30.11
2013,32,36.4
2014,32,35.52
2015,32,36.4
2016,32,33.87
2017,32,37.18
2018,32,34.17
2019,32,34.02
2020,32,31.61
2008,33,53.5
2009,33,26.51
2010,33,21.28
2011,33,13.67
2012,33,14.53
2013,33,15.25
2014,33,18.06
2015,33,19.54
2016,33,13.91
2017,33,23
2018,33,17.51
2019,33,17.51
2020,33,17.51
2008,34,1591.4
2009,34,1695.9
2010,34,1120.27
2011,34,807.3
2012,34,750.98
2013,34,1101.67
2014,34,1725.4
2015,34,3580.02
2016,34,3695.28
2017,34,3695.28
2018,34,3695.28
2019,34,3695.28
2020,34,3695.28
2008,35,394.62
2009,35,537.83
2010,35,336.54
2011,35,253
2012,35,260.48
2013,35,662.26
2014,35,797.99
2015,35,939.6
2016,35,668.62
2017,35,1201.36
2018,35,819.47
2019,35,1069.92
2020,35,1058.15
2008,36,1914.74
2009,36,1865.14
2010,36,1412.08
2011,36,1117.76
2012,36,1742.78
2013,36,2167.73
2014,36,1737.82
2015,36,2744.8
2016,36,3722.01
2017,36,3720.36
2018,36,2484.37
2019,36,3712.09
2020,36,3224.31
2008,37,631.99
2009,37,686.55
2010,37,556.78
2011,37,322.98
2012,37,283.94
2013,37,544.58
2014,37,417.03
2015,37,933.89
2016,37,1063.42
2017,37,1136.07
2018,37,875.51
2019,37,1026.37
2020,37,1245.25
2008,38,808.94
2009,38,999.67
2010,38,852.2
2011,38,961.87
2012,38,1422.29
2013,38,1966.41
2014,38,1484.39
2015,38,1973.61
2016,38,1477.5
2017,38,1583.81
2018,38,696.92
2019,38,1431.94
2020,38,1054.55
2008,39,161.25
2009,39,227.1
2010,39,233.26
2011,39,181.77
2012,39,158.98
2013,39,142.94
2014,39,122.72
2015,39,104.59
2016,39,129.87
2017,39,130.04
2018,39,147.48
2019,39,157.73
2020,39,574.83
2008,40,206.42
2009,40,243.65
2010,40,147.37
2011,40,247.56
2012,40,283.69
2013,40,377.67
2014,40,270.87
2015,40,322.3
2016,40,269.12
2017,40,632.37
2018,40,683.37
2019,40,1387.13
2020,40,1920.42
2008,41,225.62
2009,41,141.32
2010,41,67.05
2011,41,60.09
2012,41,26.44
2013,41,64.22
2014,41,28.5
2015,41,22.2
2016,41,17.94
2017,41,20.28
2018,41,94.1
2019,41,77.57
2020,41,201.95
2008,42,27978.06
2009,42,38060.08
2010,42,35168.55
2011,42,29564.14
2012,42,29507.72
2013,42,29846.25
2014,42,34754.8
2015,42,36597.86
2016,42,42578.04
2017,42,52155.02
2018,42,51280.69
2019,42,71898.69
2020,42,84139.38
2008,43,4672.12
2009,43,6002.72
2010,43,6333.57
2011,43,5234.02
2012,43,6078.21
2013,43,7300.29
2014,43,7557.57
2015,43,9559.52
2016,43,8747.49
2017,43,9736.4
2018,43,9955.49
