Date,Id,cogs
2019,33,
2020,33,
2008,34,3189477
2009,34,2827831
2010,34,2851157
2011,34,2891937
2012,34,1498894
2013,34,1604409
2014,34,1561248
2015,34,1708858
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,622668
2009,35,497716
2010,35,537881
2011,35,595102
2012,35,595289
2013,35,576222
2014,35,537870
2015,35,559070
2016,35,588403
2017,35,610942
2018,35,636581
2019,35,639049
2020,35,657644
2008,36,1827016
2009,36,1511921
2010,36,1610507
2011,36,1667819
2012,36,1189923
2013,36,1142441
2014,36,1039139
2015,36,1071851
2016,36,1007889
2017,36,1058435
2018,36,1087934
2019,36,1190424
2020,36,1171797
2008,37,3413208
2009,37,3024140
2010,37,3058372
2011,37,3105945
2012,37,2951493
2013,37,1791252
2014,37,1743433
2015,37,166678
2016,37,140295
2017,37,131511
2018,37,215800
2019,37,240741
2020,37,241662
2008,38,1071810
2009,38,810515
2010,38,527987
2011,38,617451
2012,38,737904
2013,38,940011
2014,38,2063189
2015,38,2034202
2016,38,2666473
2017,38,2801070
2018,38,2520261
2019,38,2345248
2020,38,2073410
2008,39,8300
2009,39,8709
2010,39,19473
2011,39,26281
2012,39,27032
2013,39,0
2014,39,0
2015,39,0
2016,39,0
2017,39,0
2018,39,0
2019,39,0
2020,39,0
2008,40,42234
2009,40,46159
2010,40,43834
2011,40,77289
2012,40,88395
2013,40,90809
2014,40,88288
2015,40,104396
2016,40,99261
2017,40,114045
2018,40,120785
2019,40,136148
2020,40,154558
2008,41,230
2009,41,9136
2010,41,7337
2011,41,6402
2012,41,2711
2013,41,621
2014,41,1992
2015,41,-13
2016,41,18
2017,41,30121
2018,41,61527
2019,41,73870
2020,41,69124
2008,42,38494000
2009,42,35953000
2010,42,39599000
2011,42,45486000
2012,42,49243000
2013,42,40188000
2014,42,35428000
2015,42,36200000
2016,42,30365000
2017,42,34178000
2018,42,33454000
2019,42,31387000
2020,42,22664000
2008,43,227600
2009,43,191800
2010,43,240400
2011,43,231700
2012,43,223300
2013,43,221000
2014,43,302600
2015,43,327500
2016,43,339000
2017,43,412900
2018,43,446300
2019,43,397600
2020,43,509600
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,2251
2014,44,1348
2015,44,0
2016,44,0
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2100193
2009,46,1963399
2010,46,1014540
2011,46,2088798
2012,46,2428673
2013,46,2139442
2014,46,1817251
2015,46,1675285
2016,46,1441440
2017,46,1444076
2018,46,1547167
2019,46,1488453
2020,46,1461902
2008,47,4171000
2009,47,3859000
2010,47,3894000
2011,47,4164000
2012,47,4377000
2013,47,3183000
2014,47,3053000
2015,47,2994000
2016,47,2983000
2017,47,3688000
2018,47,4342000
2019,47,5114000
2020,47,4595000
2008,48,309000
2009,48,353000
2010,48,542000
2011,48,524000
2012,48,484000
2013,48,508000
2014,48,586000
2015,48,546000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,-44
2011,49,-23
2012,49,-6
2013,49,0
2014,49,1268
2015,49,871
2016,49,931
2017,49,746
2018,49,627
2019,49,708
2020,49,713
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,1366
2013,50,1535
2014,50,1840
2015,50,1975
2016,50,2108
2017,50,2082
2018,50,2557
2019,50,2163
2020,50,2289
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,21743
2015,52,24157
2016,52,22920
2017,52,28512
2018,52,39036
2019,52,37115
2020,52,36231
2008,53,66974
2009,53,54293
2010,53,67876
2011,53,76611
2012,53,73787
2013,53,65550
2014,53,64631
2015,53,84612
2016,53,95386
2017,53,118627
2018,53,82444
2019,53,95558
2020,53,87861
2008,54,120432
2009,54,99923
2010,54,118305
2011,54,134335
2012,54,79862
2013,54,83409
2014,54,100540
2015,54,123679
2016,54,135041
2017,54,171824
2018,54,201268
2019,54,235099
2020,54,259456
2008,55,195445
2009,55,165007
2010,55,202206
2011,55,218804
2012,55,233862
2013,55,228597
2014,55,227563
2015,55,273952
2016,55,296964
2017,55,302865
2018,55,308892
2019,55,297463
2020,55,233950
2008,56,254920
2009,56,174426
2010,56,175692
2011,56,203577
2012,56,155160
2013,56,144676
2014,56,146104
2015,56,151844
2016,56,169942
2017,56,340096
2018,56,336451
2019,56,306734
2020,56,231832
2008,57,97189
2009,57,87002
2010,57,90010
2011,57,119756
2012,57,159860
2013,57,159616
2014,57,163884
2015,57,177621
2016,57,194906
2017,57,200260
2018,57,239106
2019,57,
2020,57,
2008,58,3718000
2009,58,2610000
2010,58,3424000
2011,58,5887000
2012,58,5090000
2013,58,4520000
2014,58,4275000
2015,58,4525000
2016,58,4435000
2017,58,4855000
2018,58,6627000
2019,58,7234000
2020,58,6395000
2008,59,61135
2009,59,51434
2010,59,61074
2011,59,67676
2012,59,50300
2013,59,37449
2014,59,39345
2015,59,40694
2016,59,39580
2017,59,42855
2018,59,46058
2019,59,46280
2020,59,40342
2008,60,116679
2009,60,95311
2010,60,136794
2011,60,106538
2012,60,63846
2013,60,72578
2014,60,67062
2015,60,76572
2016,60,80525
2017,60,77761
2018,60,71833
2019,60,73872
2020,60,57736
2008,61,88923
2009,61,76085
2010,61,84425
2011,61,94855
2012,61,52330
2013,61,50088
2014,61,47494
2015,61,37557
2016,61,40607
2017,61,43135
2018,61,45817
2019,61,47634
2020,61,45825
2008,62,304716
2009,62,194636
2010,62,320205
2011,62,368041
2012,62,341518
2013,62,286588
2014,62,276442
2015,62,275735
2016,62,226740
2017,62,273798
2018,62,279130
2019,62,246120
2020,62,231813
2008,63,4742
2009,63,4506
2010,63,4880
2011,63,5011
2012,63,1401
2013,63,127
2014,63,5867
2015,63,71
2016,63,317
2017,63,70
2018,63,3092
2019,63,4592
2020,63,72931
2008,64,6295000
2009,64,4244000
2010,64,4479000
2011,64,5194000
2012,64,4895000
2013,64,4317000
2014,64,4772000
2015,64,2936000
2016,64,2678000
2017,64,2967000
2018,64,2901000
2019,64,2192000
2020,64,1905000
2008,65,865836
2009,65,887252
2010,65,920240
2011,65,964293
2012,65,979002
2013,65,1055218
2014,65,1122413
2015,65,1159439
2016,65,1203971
