Date,Id,total assets
2011,29,130621
2012,29,114686
2013,29,121175
2014,29,119000
2015,29,110347
2016,29,98596
2017,29,96985
2018,29,
2019,29,
2020,29,
2008,30,1142927
2009,30,1216462
2010,30,1225217
2011,30,1532457
2012,30,1439625
2013,30,1555932
2014,30,1814616
2015,30,1842159
2016,30,1629110
2017,30,1155660
2018,30,1070421
2019,30,1008134
2020,30,661208
2008,31,7894
2009,31,8371
2010,31,7382
2011,31,6791
2012,31,4384
2013,31,4061
2014,31,10119
2015,31,7927
2016,31,7141
2017,31,7987
2018,31,7940
2019,31,9502
2020,31,
2008,32,118429
2009,32,123668
2010,32,111758
2011,32,105144
2012,32,109576
2013,32,112810
2014,32,115617
2015,32,118102
2016,32,468227
2017,32,429255
2018,32,418464
2019,32,299956
2020,32,288691
2008,33,436462
2009,33,426381
2010,33,387170
2011,33,364808
2012,33,351117
2013,33,323376
2014,33,313706
2015,33,287600
2016,33,273739
2017,33,263404
2018,33,234190
2019,33,
2020,33,
2008,34,9946884
2009,34,9770429
2010,34,9968134
2011,34,9654614
2012,34,8832238
2013,34,8152815
2014,34,8599245
2015,34,8523747
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,1781503
2009,35,1797903
2010,35,1916588
2011,35,1860430
2012,35,1915066
2013,35,1787688
2014,35,1803618
2015,35,1786545
2016,35,2362170
2017,35,2323551
2018,35,2085451
2019,35,2216399
2020,35,2183609
2008,36,5909670
2009,36,6014466
2010,36,5815182
2011,36,5884403
2012,36,5736438
2013,36,5265304
2014,36,5108132
2015,36,5470130
2016,36,5770011
2017,36,5739321
2018,36,5639807
2019,36,6329741
2020,36,6304799
2008,37,11840421
2009,37,11906599
2010,37,11976984
2011,37,11333295
2012,37,10296818
2013,37,9369429
2014,37,9622951
2015,37,9501392
2016,37,1739932
2017,37,1666223
2018,37,1734660
2019,37,1897508
2020,37,1926852
2008,38,4302642
2009,38,4128057
2010,38,4392512
2011,38,4458323
2012,38,4537656
2013,38,3873547
2014,38,6531241
2015,38,7238176
2016,38,9214094
2017,38,8609021
2018,38,7247209
2019,38,7965569
2020,38,11260155
2008,39,503704
2009,39,534964
2010,39,627749
2011,39,596120
2012,39,547014
2013,39,498407
2014,39,387537
2015,39,361533
2016,39,349971
2017,39,346469
2018,39,481943
