Date,Id,working capital
2013,33,40452
2014,33,14977
2015,33,-4844
2016,33,19580
2017,33,16661
2018,33,-26086
2019,33,
2020,33,
2008,34,1052119
2009,34,921974
2010,34,896750
2011,34,539240
2012,34,465235
2013,34,551145
2014,34,522279
2015,34,393583
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,-65729
2009,35,6732
2010,35,-11790
2011,35,-96467
2012,35,-39282
2013,35,53614
2014,35,81396
2015,35,117210
2016,35,305146
2017,35,197403
2018,35,283150
2019,35,333715
2020,35,66998
2008,36,872834
2009,36,736169
2010,36,716482
2011,36,652286
2012,36,829743
2013,36,854419
2014,36,708903
2015,36,414020
2016,36,1058308
2017,36,917048
2018,36,618981
2019,36,1317069
2020,36,1486660
2008,37,1480732
2009,37,1434130
2010,37,1129844
2011,37,847304
2012,37,747179
2013,37,753693
2014,37,606929
2015,37,109835
2016,37,565171
2017,37,525480
2018,37,356494
2019,37,627843
2020,37,425544
2008,38,376909
2009,38,421201
2010,38,718926
2011,38,485642
2012,38,1384385
2013,38,1306011
2014,38,1201490
2015,38,1537227
2016,38,1987138
2017,38,1321245
2018,38,1171230
2019,38,1628150
2020,38,2012074
2008,39,
2009,39,
2010,39,
2011,39,
2012,39,
2013,39,13211
2014,39,-39719
2015,39,-57010
2016,39,-41265
2017,39,9250
2018,39,-5950
2019,39,196711
2020,39,70731
2008,40,130040
2009,40,129925
2010,40,-142158
2011,40,114680
2012,40,142436
2013,40,120611
2014,40,189049
2015,40,122649
2016,40,222472
2017,40,229925
2018,40,185888
2019,40,100399
2020,40,195541
2008,41,-27399
2009,41,-25582
2010,41,-18377
2011,41,-9921
2012,41,-10943
2013,41,-1227
2014,41,-1434
2015,41,1836
2016,41,-12307
2017,41,4371
2018,41,31468
2019,41,850
2020,41,20433
2008,42,-3673000
2009,42,-4146000
2010,42,2165000
2011,42,-5063000
2012,42,2859000
2013,42,1318000
2014,42,1500000
2015,42,-2344000
2016,42,-5682000
2017,42,-4268000
2018,42,-4461000
2019,42,-3785000
2020,42,-7842000
2008,43,340100
2009,43,-18600
2010,43,-209600
2011,43,618100
2012,43,1805700
2013,43,424500
2014,43,-329600
2015,43,-1008300
2016,43,-843500
2017,43,-352800
2018,43,-1061300
2019,43,-35400
2020,43,-253600
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,-6734
2014,44,-7029
2015,44,-22525
2016,44,-30687
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,89947
2009,46,-185835
2010,46,411802
2011,46,42412
2012,46,-203289
2013,46,145274
2014,46,830034
