Date,Id,cash flows per share
2009,31,3890.748
2010,31,-24.671
2011,31,257.974
2012,31,-250.094
2013,31,-1142.885
2014,31,91.874
2015,31,-166.676
2016,31,-101.461
2017,31,-60.887
2018,31,-3.966
2019,31,-16.461
2020,31,
2008,32,0.078
2009,32,0.11
2010,32,0.055
2011,32,0.059
2012,32,0.026
2013,32,-0.001
2014,32,0.03
2015,32,0.031
2016,32,0.053
2017,32,0.131
2018,32,0.032
2019,32,0.043
2020,32,0.025
2008,33,0.213
2009,33,0.102
2010,33,-0.062
2011,33,-0.118
2012,33,-0.116
2013,33,-0.113
2014,33,-0.067
2015,33,-0.058
2016,33,0
2017,33,0.01
2018,33,0.089
2019,33,
2020,33,
2008,34,2.477
2009,34,2.267
2010,34,1.929
2011,34,2.184
2012,34,1.227
2013,34,1.244
2014,34,1.221
2015,34,0.905
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,1.165
2009,35,0.753
2010,35,0.529
2011,35,0.556
2012,35,0.677
2013,35,0.721
2014,35,0.87
2015,35,0.861
2016,35,0.829
2017,35,0.867
2018,35,1.011
2019,35,1.274
2020,35,1.231
2008,36,3.284
2009,36,1.312
2010,36,1.176
2011,36,1.435
2012,36,1.365
2013,36,1.375
2014,36,1.351
2015,36,1.67
2016,36,2.102
2017,36,2.471
2018,36,2.414
2019,36,3.485
2020,36,3.972
2008,37,9.414
2009,37,10.41
2010,37,8.358
2011,37,5.876
2012,37,5.147
2013,37,5.068
2014,37,5.039
2015,37,5.835
2016,37,-0.088
2017,37,-0.537
2018,37,0.636
2019,37,2.187
2020,37,1.776
2008,38,0.661
2009,38,0.457
2010,38,0.357
2011,38,0.606
2012,38,2.61
2013,38,1.657
2014,38,1.004
2015,38,0.721
2016,38,0.853
2017,38,0.712
2018,38,0.55
2019,38,0.711
2020,38,-0.007
2008,39,-0.249
2009,39,0.12
2010,39,0.256
2011,39,0.833
2012,39,0.734
2013,39,0.364
2014,39,0.167
2015,39,0.311
2016,39,0.456
2017,39,0.547
2018,39,0.423
2019,39,0.659
2020,39,1.049
2008,40,0.48
2009,40,0.303
2010,40,0.253
2011,40,0.309
2012,40,0.265
2013,40,0.255
2014,40,0.238
2015,40,0.326
2016,40,0.228
2017,40,0.34
2018,40,0.45
2019,40,0.492
2020,40,0.411
2008,41,-26.578
2009,41,-4.442
2010,41,0.191
2011,41,3.916
2012,41,-2.101
2013,41,5.733
2014,41,2.016
2015,41,3.026
2016,41,0.574
2017,41,2.648
2018,41,0.484
2019,41,0.413
2020,41,-0.099
2008,42,1.12
2009,42,0.969
2010,42,1.159
2011,42,1.124
2012,42,1.111
2013,42,1.119
2014,42,1.155
2015,42,1.129
2016,42,0.999
2017,42,1.199
2018,42,1.151
2019,42,1.264
2020,42,1.323
2008,43,0.289
2009,43,0.591
2010,43,0.482
2011,43,0.428
2012,43,0.426
2013,43,0.438
2014,43,0.457
2015,43,0.532
2016,43,0.746
2017,43,0.716
2018,43,0.575
2019,43,0.61
2020,43,0.636
2008,44,-0.148
2009,44,-0.091
2010,44,-0.051
2011,44,0.061
2012,44,0.098
2013,44,0.031
2014,44,0.031
2015,44,0.023
2016,44,0.013
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2.191
2009,46,1.199
2010,46,2.402
2011,46,0.969
2012,46,2.234
2013,46,2.45
2014,46,2.364
2015,46,2.341
2016,46,2.952
2017,46,2.8
2018,46,3.099
2019,46,3.775
2020,46,4.514
2008,47,0.223
2009,47,0.141
2010,47,0.231
2011,47,0.077
2012,47,0.084
2013,47,0.151
2014,47,0.122
2015,47,0.167
2016,47,0.203
2017,47,0.216
2018,47,0.29
2019,47,0.222
2020,47,0.326
2008,48,0.085
2009,48,0.219
2010,48,0.206
2011,48,0.197
2012,48,0.225
2013,48,0.239
2014,48,0.245
2015,48,0.22
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,0.006
2011,49,0.038
2012,49,0.008
2013,49,0.008
2014,49,0.037
2015,49,0.044
2016,49,0.033
2017,49,0.008
2018,49,0.013
2019,49,0.018
2020,49,0.022
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,342.911
2013,50,394.295
2014,50,3.135
2015,50,1.414
2016,50,1.82
2017,50,1.923
2018,50,2.252
2019,50,3.379
2020,50,1.993
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,0.886
2015,52,0.713
2016,52,0.96
2017,52,2.281
2018,52,1.582
2019,52,1.092
2020,52,1.05
2008,53,1.248
2009,53,0.098
2010,53,0.724
2011,53,0.876
2012,53,0.62
2013,53,0.277
2014,53,0.755
2015,53,0.996
2016,53,1.229
2017,53,1.796
2018,53,1.147
2019,53,1.336
2020,53,1.102
2008,54,0.81
2009,54,-0.108
2010,54,0.48
2011,54,0.551
2012,54,0.575
2013,54,0.348
2014,54,0.81
2015,54,0.962
2016,54,1.259
2017,54,1.394
2018,54,1.471
2019,54,1.88
2020,54,1.702
2008,55,0.55
2009,55,-0.08
2010,55,0.774
2011,55,0.661
2012,55,0.596
2013,55,0.748
2014,55,0.808
2015,55,0.846
2016,55,1.212
2017,55,1.376
2018,55,1.297
2019,55,1.267
2020,55,0.649
2008,56,2.206
2009,56,-0.038
2010,56,0.185
2011,56,0.907
2012,56,1.927
2013,56,2.13
2014,56,1.948
2015,56,1.814
2016,56,2.122
2017,56,2.898
2018,56,3.301
2019,56,2.674
2020,56,2.073
2008,57,0.345
2009,57,0.297
2010,57,0.316
2011,57,0.303
2012,57,0.293
2013,57,0.181
2014,57,0.184
2015,57,0.237
2016,57,0.13
2017,57,0.206
2018,57,0.142
2019,57,
2020,57,
2008,58,1.888
2009,58,1.348
2010,58,1.292
2011,58,1.136
2012,58,1.591
2013,58,1.383
2014,58,1.156
2015,58,1.6
2016,58,2.168
2017,58,2.051
2018,58,1.527
2019,58,2.333
2020,58,1.987
2008,59,0.809
2009,59,0.543
2010,59,0.822
2011,59,0.832
2012,59,0.871
2013,59,0.917
2014,59,1.172
2015,59,1.245
2016,59,1.333
2017,59,1.727
2018,59,1.965
2019,59,1.797
2020,59,1.882
2008,60,-0.041
2009,60,-0.018
2010,60,0.043
2011,60,0.12
2012,60,-0.03
2013,60,-0.038
2014,60,0.059
2015,60,0.029
2016,60,0.051
2017,60,0.07
2018,60,0.004
2019,60,0.01
2020,60,0.031
2008,61,0.664
2009,61,-0.237
2010,61,1.025
2011,61,1.051
2012,61,0.397
2013,61,-0.137
2014,61,0.292
2015,61,0.169
2016,61,0.641
2017,61,1.158
2018,61,1.268
2019,61,1.274
2020,61,1.291
2008,62,0.382
2009,62,-0.411
2010,62,0.915
2011,62,0.801
2012,62,0.335
2013,62,0.233
2014,62,0.448
2015,62,0.174
2016,62,0.308
2017,62,0.19
2018,62,0.396
2019,62,0.198
2020,62,0.374
2008,63,0.085
2009,63,0.058
2010,63,0.055
2011,63,0.065
2012,63,0.06
2013,63,0.054
2014,63,0.047
2015,63,0.081
2016,63,0.088
2017,63,0.142
2018,63,0.194
2019,63,0.209
2020,63,0.31
2008,64,0.388
2009,64,0.393
2010,64,0.425
2011,64,0.443
2012,64,0.43
2013,64,0.341
2014,64,0.255
2015,64,0.211
2016,64,0.289
2017,64,0.289
2018,64,0.251
2019,64,0.298
2020,64,0.208
2008,65,0.287
2009,65,0.525
2010,65,0.504
2011,65,0.538
2012,65,0.494
2013,65,0.625
2014,65,0.656
2015,65,0.666
2016,65,0.74
2017,65,0.847
2018,65,0.959
2019,65,1.064
2020,65,0.466
2008,66,
2009,66,
2010,66,-0.004
2011,66,5.953
2012,66,1.372
2013,66,0.907
2014,66,0.988
2015,66,1.429
2016,66,1.395
2017,66,1.567
2018,66,1.623
2019,66,2.056
2020,66,1.509
2008,67,0.369
2009,67,0.537
2010,67,0.551
2011,67,0.37
2012,67,0.499
2013,67,0.509
2014,67,0.438
2015,67,0.282
2016,67,-0.155
2017,67,0.418
2018,67,0.45
2019,67,0.166
2020,67,0.875
2008,68,180847.888
2009,68,135104.895
2010,68,52427.572
2011,68,0.292
2012,68,-0.039
2013,68,-0.539
2014,68,-0.351
2015,68,-0.227
2016,68,0.033
2017,68,-0.843
2018,68,-0.406
2019,68,-0.8
2020,68,-0.44
2008,69,0.163
2009,69,0.18
2010,69,0.179
2011,69,0.188
2012,69,0.264
2013,69,0.246
2014,69,0.261
2015,69,0.259
2016,69,0.244
2017,69,0.213
2018,69,
2019,69,
2020,69,
2008,70,0.461
2009,70,0.455
2010,70,0.495
2011,70,0.347
2012,70,1.271
2013,70,0.9
2014,70,1.377
2015,70,1.079
2016,70,0.841
2017,70,0.966
2018,70,1.01
2019,70,1.007
2020,70,1.191
2008,71,0.095
2009,71,0.115
2010,71,0.14
2011,71,0.147
2012,71,0.143
2013,71,0.179
2014,71,0.214
2015,71,0.023
2016,71,0.31
2017,71,0.27
2018,71,0.327
2019,71,0.248
2020,71,0.193
2008,72,0.81
2009,72,1.345
2010,72,0.741
2011,72,2.046
2012,72,0.768
2013,72,1.072
2014,72,1.517
2015,72,1.847
2016,72,1.246
2017,72,1.35
2018,72,1.298
2019,72,1.188
2020,72,1.871
2008,73,0.349
2009,73,0.052
2010,73,0.25
2011,73,0.52
2012,73,0.103
2013,73,0.289
2014,73,0.345
2015,73,0.224
2016,73,0.499
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
