Date,Id,R&D
2010,47,
2011,47,
2012,47,
2013,47,
2014,47,
2015,47,
2016,47,
2017,47,
2018,47,
2019,47,
2020,47,
2008,48,
2009,48,
2010,48,
2011,48,
2012,48,
2013,48,
2014,48,
2015,48,
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,10
2014,49,
2015,49,
2016,49,
2017,49,
2018,49,
2019,49,
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,
2015,50,
2016,50,
2017,50,
2018,50,
2019,50,
2020,50,
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,
2016,52,
2017,52,
2018,52,
2019,52,
2020,52,
2008,53,17657
2009,53,15642
2010,53,13892
2011,53,13881
2012,53,14459
2013,53,14740
2014,53,14375
2015,53,14620
2016,53,14799
2017,53,16102
2018,53,10988
2019,53,11052
2020,53,10421
2008,54,4
2009,54,11381
2010,54,12333
2011,54,15197
2012,54,7532
2013,54,7791
2014,54,8482
2015,54,9207
2016,54,10401
2017,54,12936
2018,54,16218
2019,54,15014
2020,54,16069
2008,55,25306
2009,55,24885
2010,55,26304
2011,55,26191
2012,55,32027
2013,55,35614
2014,55,43108
2015,55,48244
2016,55,50421
2017,55,55275
2018,55,61920
2019,55,59272
2020,55,52134
2008,56,5516
2009,56,13583
2010,56,14296
2011,56,14296
2012,56,17814
2013,56,
2014,56,
2015,56,
2016,56,
2017,56,15902
2018,56,26624
2019,56,25003
2020,56,28728
2008,57,
2009,57,
2010,57,
2011,57,
2012,57,
2013,57,
2014,57,
2015,57,
2016,57,
2017,57,
2018,57,
2019,57,
2020,57,
2008,58,45000
2009,58,43000
2010,58,46000
2011,58,68000
2012,58,
2013,58,
2014,58,
2015,58,73000
2016,58,84000
2017,58,73000
2018,58,98000
2019,58,96000
2020,58,90000
2008,59,
2009,59,
2010,59,
2011,59,
2012,59,
2013,59,
2014,59,
2015,59,
2016,59,
2017,59,
2018,59,
2019,59,
2020,59,
2008,60,1383
2009,60,1579
2010,60,2265
2011,60,3352
2012,60,
2013,60,
2014,60,
2015,60,
2016,60,
2017,60,
2018,60,
2019,60,
2020,60,
2008,61,
2009,61,
2010,61,
2011,61,
2012,61,
2013,61,
2014,61,
2015,61,
2016,61,
2017,61,
2018,61,
2019,61,
2020,61,
2008,62,
2009,62,
2010,62,
2011,62,
2012,62,
2013,62,
2014,62,
2015,62,
2016,62,
2017,62,
2018,62,
2019,62,
2020,62,
2008,63,
2009,63,
2010,63,
2011,63,
2012,63,
2013,63,
2014,63,
2015,63,
2016,63,
2017,63,
2018,63,
2019,63,
2020,63,
2008,64,704000
2009,64,842000
2010,64,698000
2011,64,611000
2012,64,602000
2013,64,977000
2014,64,1118000
2015,64,1720000
2016,64,1748000
2017,64,1992000
2018,64,1212000
2019,64,1166000
2020,64,1122000
2008,65,
2009,65,0
2010,65,0
2011,65,0
2012,65,
2013,65,
2014,65,
2015,65,
2016,65,
2017,65,
2018,65,
2019,65,
2020,65,
2008,66,
2009,66,
2010,66,
2011,66,
2012,66,
2013,66,
2014,66,
2015,66,
2016,66,
2017,66,
2018,66,
2019,66,
2020,66,
2008,67,
2009,67,
2010,67,
2011,67,
2012,67,
2013,67,
2014,67,
2015,67,
2016,67,
2017,67,
2018,67,
2019,67,
2020,67,
2008,68,173
2009,68,129
2010,68,0
2011,68,0
2012,68,
2013,68,
2014,68,
2015,68,
2016,68,
2017,68,
2018,68,
2019,68,
2020,68,
2008,69,
2009,69,
2010,69,
2011,69,
2012,69,
2013,69,
2014,69,
2015,69,
2016,69,
2017,69,
2018,69,
2019,69,
2020,69,
2008,70,
