Date,Id,pretax income
2015,33,-25355
2016,33,-9437
2017,33,-13494
2018,33,-40533
2019,33,
2020,33,
2008,34,420756
2009,34,309542
2010,34,259155
2011,34,53038
2012,34,-224224
2013,34,27467
2014,34,72360
2015,34,30852
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,92208
2009,35,48031
2010,35,25905
2011,35,15604
2012,35,28616
2013,35,63154
2014,35,99483
2015,35,101643
2016,35,118595
2017,35,126653
2018,35,184635
2019,35,126648
2020,35,142558
2008,36,650338
2009,36,235177
2010,36,-102059
2011,36,84285
2012,36,77848
2013,36,50256
2014,36,175623
2015,36,222124
2016,36,280880
2017,36,348685
2018,36,465274
2019,36,481956
2020,36,700259
2008,37,254675
2009,37,383663
2010,37,253273
2011,37,-103467
2012,37,-332484
2013,37,-32657
2014,37,76559
2015,37,-21927
2016,37,5138
2017,37,121484
2018,37,18455
2019,37,99575
2020,37,76946
2008,38,184461
2009,38,108463
2010,38,192984
2011,38,149639
2012,38,-54767
2013,38,161159
2014,38,125328
2015,38,183381
2016,38,198129
2017,38,-67613
2018,38,-34213
2019,38,55909
2020,38,174059
2008,39,-8377
2009,39,-7832
2010,39,-4611
2011,39,-4667
2012,39,7261
2013,39,1297
2014,39,-34435
2015,39,-13335
2016,39,1738
2017,39,8151
2018,39,6604
2019,39,25500
2020,39,12241
2008,40,32564
2009,40,16133
2010,40,15990
2011,40,37251
2012,40,-67860
2013,40,30846
2014,40,21580
2015,40,23796
2016,40,19351
2017,40,42428
2018,40,77306
2019,40,77963
2020,40,75587
2008,41,-15058
2009,41,-45628
2010,41,-38221
2011,41,-26079
2012,41,-1987
2013,41,-3990
2014,41,-776
2015,41,-5009
2016,41,-8951
2017,41,2494
2018,41,4438
2019,41,3275
2020,41,-14117
2008,42,6379000
2009,42,9068000
2010,42,8074000
2011,42,8438000
2012,42,4820000
2013,42,7217000
2014,42,-78000
2015,42,5281000
2016,42,5780000
2017,42,7211000
2018,42,8201000
2019,42,4312000
2020,42,5463000
2008,43,534400
2009,43,546100
2010,43,711900
2011,43,714600
2012,43,876300
2013,43,937500
2014,43,869200
2015,43,881300
2016,43,933200
2017,43,988600
2018,43,1007700
2019,43,1077400
2020,43,1093100
2008,44,-6682
2009,44,-11415
2010,44,-19571
2011,44,-3286
2012,44,-1739
2013,44,-1987
2014,44,-2556
2015,44,-1537
2016,44,-1271
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,295606
2009,46,100869
2010,46,722159
2011,46,209266
2012,46,161912
2013,46,281607
2014,46,289793
2015,46,296392
2016,46,416087
2017,46,288196
2018,46,409033
2019,46,430390
2020,46,461205
2008,47,572000
2009,47,233000
2010,47,134000
2011,47,42000
2012,47,318000
2013,47,126000
2014,47,161000
2015,47,76000
2016,47,354000
2017,47,576000
2018,47,490000
2019,47,581000
2020,47,469000
2008,48,495000
2009,48,658000
2010,48,682000
2011,48,796000
2012,48,789000
2013,48,861000
2014,48,708000
2015,48,448000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,-2
2011,49,57
2012,49,186
2013,49,146
2014,49,304
2015,49,183
2016,49,-781
2017,49,-1067
2018,49,-6122
2019,49,81
2020,49,316
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,2914
2013,50,5109
2014,50,8588
2015,50,2566
2016,50,3683
2017,50,1990
2018,50,3303
2019,50,6437
2020,50,5495
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,2051
2015,52,1410
2016,52,1639
2017,52,6539
2018,52,3103
2019,52,917
2020,52,909
2008,53,30457
2009,53,-20364
2010,53,6363
2011,53,11001
2012,53,8748
2013,53,3447
2014,53,10253
2015,53,17822
2016,53,21663
2017,53,35688
2018,53,287
2019,53,29927
2020,53,9294
2008,54,22087
2009,54,-12331
2010,54,4689
2011,54,2463
2012,54,6092
2013,54,10694
2014,54,24409
2015,54,23113
2016,54,52721
2017,54,27217
2018,54,29545
2019,54,38644
2020,54,27924
2008,55,25913
2009,55,-12837
2010,55,28182
2011,55,33209
2012,55,9099
2013,55,35530
2014,55,39179
2015,55,51584
2016,55,66892
2017,55,75454
2018,55,77849
2019,55,62234
2020,55,11980
2008,56,11730
2009,56,-9644
2010,56,-5123
2011,56,4543
2012,56,9046
2013,56,8842
2014,56,14842
2015,56,8132
2016,56,11347
2017,56,21852
2018,56,26621
2019,56,10456
2020,56,-10560
2008,57,44605
2009,57,39130
2010,57,44074
2011,57,44434
2012,57,41531
2013,57,27674
2014,57,27686
2015,57,28948
2016,57,25623
2017,57,35697
2018,57,30907
2019,57,
2020,57,
2008,58,286000
2009,58,337000
2010,58,213000
2011,58,-101000
2012,58,244000
2013,58,222000
2014,58,172000
2015,58,310000
2016,58,368000
2017,58,305000
2018,58,198000
2019,58,444000
2020,58,252000
2008,59,16031
2009,59,10580
2010,59,17436
2011,59,17389
2012,59,16290
2013,59,15585
2014,59,19702
2015,59,22878
2016,59,24059
2017,59,26575
2018,59,28365
2019,59,26937
2020,59,24902
2008,60,10342
2009,60,9396
2010,60,15176
2011,60,14116
2012,60,-32165
2013,60,-12426
2014,60,6964
2015,60,2693
2016,60,5334
2017,60,5716
2018,60,-1635
2019,60,-447
2020,60,-7542
2008,61,6596
2009,61,-12318
2010,61,15255
2011,61,11885
2012,61,-804
2013,61,-8009
2014,61,5931
2015,61,-1634
2016,61,4297
2017,61,8905
2018,61,13187
2019,61,10069
2020,61,7583
2008,62,6624
2009,62,-18653
2010,62,17036
2011,62,17719
2012,62,2640
2013,62,649
2014,62,6908
2015,62,5379
2016,62,762
2017,62,8152
2018,62,10242
2019,62,2723
2020,62,4293
2008,63,-7540
2009,63,-6529
2010,63,-6479
2011,63,-3442
2012,63,-3552
2013,63,-876
2014,63,-7801
2015,63,3418
2016,63,2882
2017,63,11771
2018,63,10509
2019,63,11392
2020,63,12663
2008,64,2897000
2009,64,3339000
2010,64,4127000
2011,64,-2624000
2012,64,-44000
2013,64,532000
2014,64,2347000
2015,64,447000
2016,64,2799000
2017,64,1777000
2018,64,-777000
2019,64,1739000
2020,64,1397000
2008,65,49686
2009,65,58463
2010,65,68874
2011,65,75230
2012,65,71309
2013,65,71314
2014,65,77033
2015,65,84050
2016,65,86642
2017,65,91945
2018,65,95753
2019,65,93187
2020,65,-2680
2008,66,
2009,66,
2010,66,-79
2011,66,9525
2012,66,-13980
2013,66,7429
2014,66,4952
2015,66,-18616
2016,66,23338
2017,66,29070
2018,66,32324
2019,66,23483
2020,66,-24520
2008,67,-692
2009,67,2350
2010,67,1981
2011,67,-427
2012,67,-1171
2013,67,2097
2014,67,1803
2015,67,603
2016,67,11780
2017,67,-309
2018,67,-404
2019,67,-6780
2020,67,5572
2008,68,-1097
2009,68,-14368
2010,68,-1846
2011,68,8444
2012,68,2997
2013,68,269
2014,68,-3365
2015,68,-2248
2016,68,-1741
2017,68,-5933
2018,68,-3397
2019,68,-7528
2020,68,-7132
2008,69,757700
2009,69,666400
2010,69,341200
2011,69,323700
2012,69,164700
2013,69,333900
2014,69,322600
2015,69,250500
2016,69,195100
2017,69,229700
2018,69,
2019,69,
2020,69,
2008,70,4038
2009,70,5555
2010,70,6229
2011,70,4206
2012,70,6680
2013,70,10353
2014,70,15786
2015,70,15226
2016,70,11679
2017,70,9589
2018,70,8162
2019,70,8608
2020,70,9292
2008,71,1828
2009,71,1983
2010,71,2351
2011,71,2588
2012,71,1340
2013,71,3481
2014,71,3680
2015,71,1708
2016,71,3761
2017,71,4287
2018,71,4096
2019,71,1347
2020,71,-2425
2008,72,10715
2009,72,34393
2010,72,21897
2011,72,14486
2012,72,20343
2013,72,27340
2014,72,44252
2015,72,60963
2016,72,46157
2017,72,39936
2018,72,36283
2019,72,27715
2020,72,68228
2008,73,3278
2009,73,17
2010,73,1356
2011,73,3282
2012,73,218
2013,73,473
2014,73,808
2015,73,1454
2016,73,2326
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
2014,75,1667
2015,75,660
2016,75,1415
2017,75,-2534
2018,75,-79
2019,75,-3575
2020,75,-5335
2008,76,796000
2009,76,1079000
2010,76,1638000
2011,76,1696000
2012,76,1372000
2013,76,1607000
2014,76,1707000
2015,76,1705000
2016,76,899000
2017,76,1226000
2018,76,1301000
2019,76,1465000
2020,76,1471000
2008,77,180747
2009,77,131944
2010,77,238856
2011,77,14203
2012,77,247422
2013,77,213989
2014,77,218458
2015,77,245735
2016,77,303409
2017,77,369119
2018,77,389524
2019,77,377316
2020,77,365205
2008,78,188861
2009,78,162601
2010,78,205629
2011,78,221226
2012,78,213409
2013,78,305966
2014,78,295062
2015,78,308000
2016,78,339700
2017,78,359400
2018,78,418400
2019,78,528100
2020,78,434600
2008,79,2284
2009,79,6317
2010,79,17207
2011,79,13978
2012,79,15963
2013,79,20415
2014,79,13274
2015,79,19499
2016,79,17511
2017,79,16077
2018,79,16864
2019,79,28001
2020,79,24359
2008,80,29378
2009,80,40231
2010,80,54253
2011,80,42395
2012,80,55104
2013,80,72651
2014,80,55527
2015,80,63881
2016,80,79343
2017,80,66869
2018,80,62875
2019,80,21105
2020,80,49308
2008,81,730000
2009,81,529000
2010,81,172000
2011,81,-177000
2012,81,77000
2013,81,228000
2014,81,214000
2015,81,-862000
2016,81,-347000
2017,81,-41000
2018,81,184000
2019,81,140000
2020,81,230000
2008,82,
2009,82,
2010,82,
2011,82,
2012,82,5899
2013,82,44727
2014,82,71559
2015,82,-68186
2016,82,
2017,82,
2018,82,
2019,82,
2020,82,
2008,83,46207
2009,83,40398
2010,83,47657
2011,83,52825
2012,83,43478
2013,83,38603
2014,83,29731
2015,83,36233
2016,83,39494
2017,83,47631
2018,83,53753
2019,83,62640
2020,83,42345
2008,84,266885
2009,84,177766
2010,84,130929
2011,84,118218
2012,84,-88072
2013,84,-571081
2014,84,35385
2015,84,73247
2016,84,111680
2017,84,129736
2018,84,49804
2019,84,51119
2020,84,-30365
2008,85,2685
2009,85,-5294
2010,85,5194
2011,85,-6324
2012,85,-11464
2013,85,913
2014,85,14060
2015,85,14658
2016,85,6408
2017,85,20796
2018,85,40084
2019,85,25223
2020,85,45991
2008,86,266885
2009,86,177766
2010,86,130929
2011,86,118218
2012,86,-88072
2013,86,-571081
2014,86,35385
2015,86,73247
2016,86,111680
2017,86,129736
2018,86,49804
2019,86,51119
2020,86,-30365
2008,87,1576
2009,87,-4245
2010,87,-1174
2011,87,-4160
2012,87,-22074
2013,87,-4397
2014,87,-12201
2015,87,-6056
2016,87,22317
2017,87,-2239
2018,87,-5115
2019,87,-4672
2020,87,
2008,88,-13093
2009,88,44
2010,88,-1648
2011,88,-8023
2012,88,-7068
2013,88,-4224
2014,88,-3127
2015,88,-1865
2016,88,-4508
2017,88,-2318
2018,88,-3318
2019,88,
2020,88,
2008,89,24977
2009,89,-3444
2010,89,-21841
2011,89,-13467
2012,89,-9468
2013,89,-8526
2014,89,-6420
2015,89,-3571
2016,89,12271
2017,89,-2545
2018,89,-1100
2019,89,
2020,89,
2008,90,3569
2009,90,7375
2010,90,14941
2011,90,16450
2012,90,16564
2013,90,20157
2014,90,22629
2015,90,21601
2016,90,48495
2017,90,24764
2018,90,
2019,90,
2020,90,
2008,91,
2009,91,
2010,91,
2011,91,
2012,91,-1947
2013,91,-1663
2014,91,-2938
2015,91,-1846
2016,91,3592
2017,91,3337
2018,91,4650
2019,91,3821
2020,91,
2008,92,
2009,92,
2010,92,
2011,92,
2012,92,
2013,92,
2014,92,536
2015,92,-705
2016,92,-1434
2017,92,-2099
2018,92,532
