Date,Id,interest expenses on debt
2020,34,
2008,35,23357
2009,35,11334
2010,35,8312
2011,35,12678
2012,35,15327
2013,35,15111
2014,35,12727
2015,35,9947
2016,35,10952
2017,35,19524
2018,35,14280
2019,35,12818
2020,35,12809
2008,36,123947
2009,36,88188
2010,36,102125
2011,36,93805
2012,36,105780
2013,36,101175
2014,36,86444
2015,36,73811
2016,36,74416
2017,36,74386
2018,36,50741
2019,36,34658
2020,36,29312
2008,37,166921
2009,37,127730
2010,37,136406
2011,37,113299
2012,37,102412
2013,37,148797
2014,37,134299
2015,37,13764
2016,37,21781
2017,37,31290
2018,37,34355
2019,37,19504
2020,37,37005
2008,38,107007
2009,38,80792
2010,38,70563
2011,38,98864
2012,38,65181
2013,38,62174
2014,38,115958
2015,38,91362
2016,38,121618
2017,38,117051
2018,38,78544
2019,38,86149
2020,38,95671
2008,39,4440
2009,39,9839
2010,39,13336
2011,39,19054
2012,39,21813
2013,39,19760
2014,39,17285
2015,39,15978
2016,39,14148
2017,39,13436
2018,39,18562
2019,39,15976
2020,39,28502
2008,40,10638
2009,40,5241
2010,40,10143
2011,40,86651
2012,40,50862
2013,40,50716
2014,40,52987
2015,40,47392
2016,40,3014
2017,40,36783
2018,40,42997
2019,40,44445
2020,40,41216
2008,41,1072
2009,41,2319
2010,41,2346
2011,41,1082
2012,41,1313
2013,41,1156
2014,41,1301
2015,41,1020
2016,41,1306
2017,41,836
2018,41,3368
2019,41,3737
2020,41,4158
2008,42,3274000
2009,42,2416000
2010,42,2667000
2011,42,2752000
2012,42,2932000
2013,42,2883000
2014,42,2952000
2015,42,2828000
2016,42,2678000
2017,42,2439000
2018,42,2488000
2019,42,2599000
2020,42,2327000
2008,43,208200
2009,43,159500
2010,43,121900
2011,43,176800
2012,43,201100
2013,43,184500
2014,43,183400
2015,43,174600
2016,43,101000
2017,43,94000
2018,43,101000
2019,43,96300
2020,43,103200
2008,44,352
2009,44,1501
2010,44,3239
2011,44,3757
2012,44,4303
2013,44,4919
2014,44,4580
2015,44,4069
2016,44,3427
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,106593
2009,46,79138
2010,46,78701
2011,46,88794
2012,46,103483
2013,46,107581
2014,46,106005
2015,46,95755
2016,46,118315
2017,46,79593
2018,46,86619
2019,46,85094
2020,46,77259
2008,47,57000
2009,47,234000
2010,47,135000
2011,47,146000
2012,47,177000
2013,47,263000
2014,47,163000
2015,47,140000
2016,47,134000
2017,47,113000
2018,47,108000
2019,47,98000
2020,47,77000
2008,48,249000
2009,48,134000
2010,48,111000
2011,48,196000
2012,48,246000
2013,48,278000
2014,48,315000
2015,48,378000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,16
2011,49,57
2012,49,55
2013,49,84
2014,49,419
2015,49,767
2016,49,638
2017,49,211
2018,49,274
2019,49,108
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,2211
2013,50,1518
2014,50,431
2015,50,103
2016,50,777
2017,50,709
2018,50,1286
2019,50,1332
2020,50,1308
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,284
2015,52,201
2016,52,195
2017,52,402
2018,52,432
2019,52,918
2020,52,1235
2008,53,1610
2009,53,1378
2010,53,1412
2011,53,1148
2012,53,1519
2013,53,1205
2014,53,1730
2015,53,1618
2016,53,1403
2017,53,1537
2018,53,813
2019,53,1205
2020,53,2099
2008,54,1229
2009,54,439
2010,54,329
2011,54,531
2012,54,
2013,54,688
2014,54,639
2015,54,586
2016,54,409
2017,54,307
2018,54,162
2019,54,301
2020,54,288
2008,55,6244
2009,55,5867
2010,55,5601
2011,55,5712
2012,55,7738
2013,55,7246
2014,55,6037
2015,55,2262
2016,55,1637
2017,55,2964
2018,55,1153
2019,55,415
2020,55,1921
2008,56,13036
2009,56,6401
2010,56,8945
2011,56,5265
2012,56,8630
2013,56,8082
2014,56,7223
2015,56,9473
2016,56,8507
2017,56,6787
2018,56,12863
2019,56,2156
2020,56,2209
2008,57,727
2009,57,351
2010,57,282
2011,57,765
2012,57,1212
2013,57,1269
2014,57,1170
2015,57,721
2016,57,726
2017,57,560
2018,57,856
2019,57,
2020,57,
2008,58,64000
2009,58,34000
2010,58,38000
2011,58,66000
2012,58,83000
2013,58,70000
2014,58,66000
2015,58,54000
2016,58,52000
2017,58,42000
2018,58,43000
2019,58,55000
2020,58,49000
2008,59,302
2009,59,61
2010,59,42
2011,59,44
2012,59,93
2013,59,54
2014,59,6
2015,59,1
2016,59,0
2017,59,0
2018,59,
2019,59,125
2020,59,105
2008,60,5675
2009,60,4076
2010,60,3489
2011,60,5260
2012,60,6247
2013,60,6244
2014,60,5336
2015,60,4318
2016,60,3198
2017,60,2931
2018,60,2945
