Date,Id,operating expense
2010,139,11831
2011,139,14426
2012,139,11943
2013,139,11247
2014,139,11419
2015,139,11762
2016,139,15338
2017,139,15029
2018,139,41142
2019,139,16846
2020,139,17018
2008,140,118513
2009,140,119537
2010,140,121229
2011,140,110970
2012,140,121168
2013,140,98731
2014,140,7582
2015,140,1770
2016,140,3728
2017,140,3477
2018,140,4280
2019,140,
2020,140,
2008,141,279850
2009,141,265498
2010,141,234489
2011,141,229479
2012,141,224112
2013,141,193514
2014,141,181334
2015,141,168984
2016,141,163278
2017,141,153086
2018,141,146801
2019,141,141639
2020,141,122122
2008,142,211856
2009,142,209293
2010,142,220136
2011,142,248192
2012,142,251918
2013,142,236420
2014,142,229231
2015,142,226645
2016,142,535600
2017,142,1034900
2018,142,1122900
2019,142,1075500
2020,142,940300
2008,143,295198
2009,143,265707
2010,143,250199
2011,143,243218
2012,143,231304
2013,143,217264
2014,143,214570
2015,143,175505
2016,143,161802
2017,143,153484
2018,143,176749
2019,143,176877
2020,143,
2008,144,563260
2009,144,572043
2010,144,524315
2011,144,483287
2012,144,492432
2013,144,442210
2014,144,353153
2015,144,354900
2016,144,336925
2017,144,257145
2018,144,219422
2019,144,207105
2020,144,194296
2008,145,
2009,145,
2010,145,
2011,145,
2012,145,
2013,145,57610
2014,145,60003
2015,145,31664
2016,145,25483
2017,145,21541
2018,145,21656
2019,145,22432
2020,145,21573
2008,146,133927
2009,146,116936
2010,146,130700
2011,146,132821
2012,146,110770
2013,146,102297
2014,146,99268
2015,146,90637
2016,146,86753
2017,146,80384
2018,146,81175
2019,146,82703
2020,146,76113
2008,147,1697098
2009,147,1491001
2010,147,1469389
2011,147,1452862
2012,147,1408357
2013,147,1289392
2014,147,1163183
2015,147,1093925
2016,147,1214965
2017,147,1211535
2018,147,842474
2019,147,813931
2020,147,698812
2008,148,264462
2009,148,238489
2010,148,230165
2011,148,219897
2012,148,210194
2013,148,196338
2014,148,195384
2015,148,158744
2016,148,145145
2017,148,136462
2018,148,156497
2019,148,157493
2020,148,
2008,149,939169
2009,149,835976
2010,149,785982
2011,149,787916
2012,149,768827
2013,149,690354
2014,149,607093
2015,149,586525
2016,149,561180
2017,149,600141
2018,149,644167
2019,149,603705
2020,149,
2008,150,3211800
2009,150,3250700
2010,150,3457200
2011,150,3699700
2012,150,3729400
2013,150,3162600
2014,150,3158700
2015,150,3291200
2016,150,3720100
2017,150,3311400
2018,150,3191000
2019,150,2569500
2020,150,2366300
2008,151,
2009,151,
2010,151,
2011,151,
2012,151,
2013,151,
2014,151,
2015,151,
2016,151,
2017,151,
2018,151,
2019,151,
2020,151,
2008,152,
2009,152,
2010,152,
2011,152,
2012,152,
2013,152,
2014,152,4000
2015,152,3065
2016,152,909
2017,152,946
2018,152,1046
2019,152,2288
2020,152,1128
2008,153,2570800
2009,153,2326000
2010,153,2198100
2011,153,2024100
2012,153,1660500
2013,153,1600800
2014,153,1354800
2015,153,1103900
2016,153,956500
2017,153,818200
2018,153,870800
2019,153,831800
2020,153,709000
2008,154,
2009,154,
2010,154,
2011,154,
2012,154,
2013,154,7022
2014,154,16714
2015,154,15376
2016,154,19790
2017,154,16200
2018,154,27354
2019,154,34787
2020,154,16579
2008,155,
2009,155,
2010,155,
2011,155,
2012,155,
2013,155,
2014,155,39870
2015,155,43174
2016,155,31987
2017,155,32342
2018,155,32657
2019,155,34613
2020,155,29787
2008,156,
2009,156,
2010,156,
2011,156,112136
2012,156,115306
2013,156,112427
2014,156,134152
2015,156,150984
2016,156,150050
2017,156,135630
2018,156,134088
2019,156,132240
2020,156,135597
2008,157,
2009,157,
2010,157,
2011,157,
2012,157,6685
2013,157,5404
2014,157,5282
2015,157,15628
2016,157,39003
2017,157,40868
2018,157,29880
2019,157,
2020,157,
2008,158,
2009,158,
2010,158,
2011,158,
2012,158,
2013,158,
2014,158,
2015,158,8042
2016,158,7681
2017,158,8403
2018,158,9240
2019,158,9376
2020,158,
2008,159,
2009,159,
2010,159,
2011,159,
2012,159,
2013,159,
2014,159,
2015,159,
2016,159,3596
2017,159,1114
2018,159,3089
2019,159,1160
2020,159,
2008,160,
2009,160,
2010,160,
2011,160,8890
2012,160,8769
2013,160,9621
2014,160,9860
2015,160,11957
2016,160,31966
2017,160,77734
2018,160,38425
2019,160,37920
2020,160,40797
2008,161,
2009,161,
2010,161,
2011,161,
2012,161,
2013,161,
2014,161,9813
2015,161,20426
2016,161,25099
2017,161,27736
2018,161,29534
2019,161,35513
2020,161,30972
2008,162,
2009,162,
2010,162,
2011,162,
2012,162,
2013,162,
2014,162,12216
2015,162,12510
2016,162,14372
2017,162,14594
2018,162,14937
2019,162,14881
2020,162,13722
2008,163,
2009,163,
2010,163,
2011,163,
2012,163,
2013,163,
2014,163,1072
2015,163,1533
2016,163,2948
2017,163,3592
2018,163,5404
2019,163,7796
2020,163,10919
2008,164,87967
2009,164,137494
2010,164,152904
2011,164,108437
2012,164,104833
2013,164,127278
2014,164,84928
2015,164,47556
2016,164,29595
2017,164,27377
2018,164,11827
2019,164,5761
2020,164,11192
2008,165,
2009,165,
2010,165,
2011,165,
2012,165,
2013,165,
2014,165,
2015,165,
2016,165,
2017,165,
2018,165,
2019,165,
2020,165,
2008,166,
2009,166,
2010,166,
2011,166,
2012,166,
2013,166,
2014,166,189462
2015,166,139836
2016,166,183452
2017,166,175933
2018,166,177195
2019,166,169453
2020,166,366758
2008,167,8584050
2009,167,5164186
2010,167,8598564
2011,167,10856146
2012,167,11887706
2013,167,11351498
2014,167,10701012
2015,167,7927223
2016,167,6458462
2017,167,7365951
2018,167,10197971
2019,167,9475731
2020,167,5595288
2008,168,346632
2009,168,349909
2010,168,551448
2011,168,650844
2012,168,223840
2013,168,145305
2014,168,137803
2015,168,101186
2016,168,81458
2017,168,77536
2018,168,85512
2019,168,91029
2020,168,83653
2008,169,88474000
2009,169,71448000
2010,169,83072000
2011,169,91566000
2012,169,108821000
2013,169,104312000
2014,169,101647000
2015,169,66415000
2016,169,54630000
2017,169,62846000
2018,169,65963000
2019,169,62363000
2020,169,44587000
2008,170,11572883
2009,170,6125761
2010,170,5392896
2011,170,6746616
2012,170,8094266
2013,170,4964220
2014,170,4683543
2015,170,760007
2016,170,837767
2017,170,845055
2018,170,821082
2019,170,822921
2020,170,809693
2008,171,2289091
2009,171,2041869
2010,171,2396808
2011,171,2954857
2012,171,2306136
2013,171,1554782
2014,171,1472286
2015,171,1546163
2016,171,2218490
2017,171,3336117
2018,171,3454997
2019,171,3125926
2020,171,2500237
2008,172,172234
2009,172,227226
2010,172,449986
2011,172,225262
2012,172,195990
2013,172,157906
2014,172,247840
2015,172,622716
2016,172,124033
2017,172,178726
2018,172,238287
2019,172,299676
2020,172,238464
2008,173,8616000
2009,173,9443000
2010,173,10221000
2011,173,10622000
2012,173,10890000
2013,173,12287000
2014,173,12413000
2015,173,11753000
2016,173,9785000
2017,173,8681000
2018,173,8154000
2019,173,8507000
2020,173,7385000
2008,174,4451848
2009,174,4511116
2010,174,5065445
2011,174,5401543
2012,174,6082385
2013,174,6247938
2014,174,6474704
2015,174,7393771
2016,174,7723064
2017,174,7830590
2018,174,7570117
2019,174,
2020,174,
2008,175,592026
2009,175,597359
2010,175,642250
2011,175,710963
2012,175,776109
2013,175,789965
2014,175,825490
2015,175,896832
2016,175,883055
2017,175,868525
2018,175,877043
2019,175,920354
2020,175,739132
2008,176,
2009,176,
2010,176,
2011,176,
2012,176,
2013,176,107833
2014,176,99475
2015,176,112212
2016,176,122168
2017,176,122580
2018,176,131460
2019,176,225766
2020,176,214340
2008,177,722023
2009,177,730313
2010,177,772350
2011,177,823195
2012,177,781661
2013,177,788479
2014,177,839011
2015,177,866535
2016,177,899125
2017,177,854419
2018,177,817897
2019,177,814910
2020,177,651631
2008,178,1063610
2009,178,999013
2010,178,1014728
2011,178,1020605
2012,178,1110983
2013,178,1036064
2014,178,1093273
2015,178,1238133
2016,178,1211389
2017,178,1086483
2018,178,999311
2019,178,933080
2020,178,794171
2008,179,105996
2009,179,77127
2010,179,71720
2011,179,86303
2012,179,98374
2013,179,98374
2014,179,94531
2015,179,87256
2016,179,87834
2017,179,92661
2018,179,97654
2019,179,100820
2020,179,71515
2008,180,275997
2009,180,243965
2010,180,231368
2011,180,242205
2012,180,249808
2013,180,249537
2014,180,241054
2015,180,265222
2016,180,272685
2017,180,289899
2018,180,319224
2019,180,334310
2020,180,299507
2008,181,
2009,181,
2010,181,
2011,181,
2012,181,57219
2013,181,58579
2014,181,60908
2015,181,69605
2016,181,69390
2017,181,68668
2018,181,68986
2019,181,62040
2020,181,42624
2008,182,286701
2009,182,232466
2010,182,220447
2011,182,225479
2012,182,213216
2013,182,185057
2014,182,168078
2015,182,159267
2016,182,150800
2017,182,139506
2018,182,
2019,182,
2020,182,
2008,183,636521
2009,183,601989
2010,183,703395
2011,183,831880
2012,183,971210
2013,183,1048584
2014,183,1094364
2015,183,1177547
2016,183,1188273
2017,183,1216557
2018,183,1204533
2019,183,1241983
2020,183,956194
2008,184,223273
2009,184,167640
2010,184,169822
2011,184,178471
2012,184,188326
2013,184,164766
2014,184,
2015,184,
2016,184,
2017,184,
2018,184,
2019,184,
2020,184,
2008,185,
2009,185,147154
2010,185,184291
2011,185,208541
2012,185,239298
2013,185,277614
2014,185,308054
2015,185,363962
2016,185,398861
2017,185,440963
2018,185,484906
2019,185,525211
2020,185,561603
2008,186,107257
2009,186,95379
2010,186,100354
2011,186,137237
2012,186,123665
2013,186,120663
2014,186,118365
2015,186,119205
2016,186,122974
2017,186,125137
2018,186,113833
2019,186,109992
2020,186,87422
2008,187,
2009,187,
2010,187,
2011,187,
2012,187,13322
2013,187,22539
2014,187,30326
2015,187,37183
2016,187,40579
2017,187,24576
2018,187,24560
2019,187,20098
2020,187,9242
2008,188,
2009,188,
2010,188,339966
2011,188,408973
2012,188,481660
2013,188,408059
2014,188,487605
2015,188,616325
2016,188,726892
2017,188,852827
2018,188,1005976
2019,188,1135905
2020,188,1071588
2008,189,
2009,189,
2010,189,
2011,189,
2012,189,
2013,189,1140996
2014,189,1115673
2015,189,615425
2016,189,1267649
2017,189,1317313
2018,189,1483689
2019,189,1490486
2020,189,1356105
2008,190,
2009,190,
2010,190,
2011,190,
2012,190,
2013,190,
2014,190,
2015,190,18980
2016,190,20547
2017,190,22824
2018,190,24373
2019,190,25664
2020,190,21421
2008,191,52673
2009,191,51685
2010,191,51531
2011,191,52997
2012,191,52553
2013,191,42869
2014,191,42135
2015,191,18568
2016,191,15930
2017,191,15973
2018,191,17937
2019,191,18484
2020,191,16165
2008,192,22252
2009,192,24109
2010,192,17700
2011,192,10771
2012,192,11621
2013,192,11315
2014,192,12772
2015,192,26780
2016,192,22051
2017,192,17524
2018,192,19003
2019,192,32906
2020,192,24735
2008,193,23071
2009,193,22519
2010,193,20424
2011,193,26098
2012,193,27441
2013,193,24439
2014,193,24889
2015,193,37215
2016,193,36368
2017,193,31984
2018,193,33668
2019,193,35415
2020,193,
2008,194,534673
2009,194,572510
2010,194,569410
2011,194,593479
2012,194,645766
2013,194,732395
2014,194,752440
2015,194,765448
2016,194,813888
2017,194,879385
2018,194,906481
2019,194,1016318
2020,194,974924
2008,195,
2009,195,
2010,195,
2011,195,21417
2012,195,23727
2013,195,25301
2014,195,27249
2015,195,30125
2016,195,31737
2017,195,33116
2018,195,36157
2019,195,
2020,195,
2008,196,289532
2009,196,308428
2010,196,340719
2011,196,397272
2012,196,449179
2013,196,503212
2014,196,567920
2015,196,629279
2016,196,705570
2017,196,791215
2018,196,922744
2019,196,1050831
2020,196,1104549
2008,197,678427
2009,197,646270
2010,197,687777
2011,197,731117
2012,197,703942
2013,197,765844
2014,197,774488
2015,197,820701
2016,197,878598
2017,197,
2018,197,
2019,197,
2020,197,
2008,198,69084
2009,198,70568
2010,198,70662
2011,198,81224
2012,198,76263
2013,198,80123
2014,198,92359
2015,198,107194
2016,198,127531
2017,198,120702
2018,198,138586
2019,198,140036
2020,198,160621
2008,199,47984
2009,199,46599
2010,199,47578
2011,199,48179
2012,199,47417
2013,199,48059
2014,199,51308
2015,199,54537
2016,199,50740
2017,199,53043
2018,199,55107
2019,199,55150
2020,199,49358
2008,200,1023928
2009,200,268521
2010,200,281887
2011,200,298234
2012,200,236872
2013,200,217555
2014,200,214283
2015,200,223433
2016,200,224908
2017,200,230571
2018,200,196159
2019,200,174681
2020,200,166900
2008,201,151509
2009,201,147075
2010,201,149509
2011,201,79842
2012,201,80112
2013,201,72816
2014,201,65540
2015,201,58828
2016,201,59612
2017,201,
2018,201,
2019,201,
2020,201,
2008,202,58415
2009,202,55094
2010,202,53713
2011,202,39295
2012,202,42239
2013,202,47619
2014,202,50412
2015,202,56744
2016,202,62233
2017,202,33179
2018,202,38112
2019,202,51401
2020,202,63630
2008,203,70148
2009,203,62335
2010,203,54698
2011,203,49265
2012,203,44108
2013,203,46764
2014,203,48388
2015,203,48948
2016,203,48943
2017,203,60977
2018,203,49680
2019,203,47188
2020,203,50223
2008,204,21793
2009,204,16232
2010,204,11353
2011,204,11354
2012,204,13178
2013,204,18394
2014,204,21928
2015,204,22331
2016,204,29044
2017,204,23186
2018,204,11788
2019,204,8727
2020,204,7349
2008,205,75523
2009,205,72575
2010,205,75246
2011,205,98794
2012,205,130908
2013,205,121119
2014,205,135953
2015,205,132143
2016,205,131932
2017,205,150107
2018,205,601281
2019,205,
2020,205,
2008,206,
2009,206,
2010,206,
2011,206,
2012,206,67155
2013,206,70048
2014,206,64149
2015,206,67671
2016,206,
2017,206,
2018,206,
2019,206,
2020,206,
2008,207,
2009,207,
2010,207,
2011,207,
2012,207,32239
2013,207,38404
2014,207,49514
2015,207,56171
2016,207,53741
2017,207,76800
2018,207,
2019,207,
2020,207,
2008,208,
2009,208,
2010,208,
2011,208,
2012,208,
2013,208,
2014,208,7783
2015,208,9795
2016,208,5886
2017,208,10287
2018,208,14628
2019,208,17144
2020,208,17720
2008,209,
2009,209,
2010,209,
2011,209,
2012,209,741
2013,209,797040
2014,209,908044
2015,209,1018589
2016,209,1187091
2017,209,1226666
2018,209,1316710
2019,209,1497862
2020,209,1710755
2008,210,
2009,210,
2010,210,
2011,210,
2012,210,
2013,210,
2014,210,10880
2015,210,11279
2016,210,10777
2017,210,8392
2018,210,9466
2019,210,7387
2020,210,6494
2008,211,
2009,211,7715
2010,211,8904
2011,211,10165
2012,211,9462
2013,211,12724
2014,211,18636
2015,211,14658
2016,211,14607
2017,211,16378
2018,211,21074
2019,211,24112
2020,211,19209
2008,212,
2009,212,
2010,212,9001
2011,212,8809
2012,212,12575
2013,212,10157
2014,212,12394
2015,212,22804
2016,212,33603
2017,212,34279
2018,212,31102
2019,212,34056
2020,212,39217
2008,213,
2009,213,
2010,213,27478
2011,213,29330
2012,213,33008
2013,213,34576
2014,213,35003
2015,213,35688
2016,213,40149
2017,213,
2018,213,
2019,213,
2020,213,
2008,214,
2009,214,
2010,214,
2011,214,
2012,214,
2013,214,6468
2014,214,7829
2015,214,9495
2016,214,21710
2017,214,26040
2018,214,38306
2019,214,58948
2020,214,63699
2008,215,
2009,215,
2010,215,
2011,215,6245
2012,215,6660
2013,215,6303
2014,215,7836
2015,215,8405
2016,215,13119
2017,215,
2018,215,
2019,215,
2020,215,
2008,216,
2009,216,
2010,216,
2011,216,
2012,216,
2013,216,
2014,216,3653
2015,216,4863
2016,216,5715
2017,216,6685
2018,216,7219
2019,216,8905
2020,216,15415
2008,217,
2009,217,
2010,217,
2011,217,
2012,217,
2013,217,7533
2014,217,7407
2015,217,7653
2016,217,8475
2017,217,11878
2018,217,14620
2019,217,17145
2020,217,19574
2008,218,313267
2009,218,314651
2010,218,262599
2011,218,275220
2012,218,262787
2013,218,272707
2014,218,265592
2015,218,320070
2016,218,235739
2017,218,268308
2018,218,229152
2019,218,224996
2020,218,125360
2008,219,
2009,219,
2010,219,
2011,219,
2012,219,42870
2013,219,40253
2014,219,41300
2015,219,39657
2016,219,43591
2017,219,47547
2018,219,47749
2019,219,52606
2020,219,48924
2008,220,90433
2009,220,116632
2010,220,252489
2011,220,259644
2012,220,249550
2013,220,188611
2014,220,147764
2015,220,191670
2016,220,105483
2017,220,84505
2018,220,79102
2019,220,82589
2020,220,
2008,221,145487
2009,221,171504
2010,221,180635
2011,221,186714
2012,221,197251
2013,221,201883
2014,221,216370
2015,221,217745
2016,221,228103
2017,221,239438
2018,221,242097
2019,221,253583
2020,221,241681
2008,222,
2009,222,
2010,222,
2011,222,
2012,222,
2013,222,
2014,222,3729
2015,222,1724
2016,222,1782
2017,222,1488
2018,222,1342
2019,222,1097
2020,222,874
2008,223,
2009,223,
2010,223,
2011,223,
2012,223,
2013,223,
2014,223,
2015,223,
2016,223,
2017,223,
2018,223,
2019,223,
2020,223,
2008,224,
2009,224,
2010,224,
2011,224,
2012,224,
2013,224,
2014,224,
2015,224,
2016,224,
2017,224,
2018,224,
2019,224,
2020,224,
2008,225,
2009,225,
2010,225,
2011,225,
2012,225,
2013,225,740
2014,225,1183
2015,225,1923
2016,225,3106
2017,225,4654
2018,225,21452
2019,225,1981
2020,225,114
2008,226,
2009,226,
2010,226,
2011,226,
2012,226,68362
2013,226,62690
2014,226,57001
2015,226,56958
2016,226,74535
2017,226,59299
2018,226,77620
2019,226,81237
2020,226,81135
2008,227,
2009,227,
2010,227,
2011,227,
2012,227,
2013,227,
2014,227,
2015,227,257135
2016,227,275767
2017,227,283256
2018,227,328311
2019,227,378050
2020,227,371618
2008,228,34685
2009,228,17771
2010,228,18599
2011,228,18124
2012,228,17864
2013,228,15479
2014,228,
2015,228,60847
2016,228,59382
2017,228,59159
2018,228,49776
2019,228,50201
2020,228,42593
2008,229,
2009,229,
2010,229,
2011,229,68204
2012,229,56430
2013,229,60659
2014,229,62566
2015,229,74545
2016,229,97549
2017,229,112653
2018,229,119744
2019,229,
2020,229,
2008,230,
2009,230,
2010,230,
2011,230,
2012,230,351865
2013,230,371065
2014,230,393819
2015,230,432835
2016,230,457043
2017,230,577781
2018,230,588597
2019,230,562524
2020,230,517368
2008,231,
2009,231,
2010,231,
2011,231,
2012,231,104231
2013,231,99685
2014,231,87058
2015,231,97839
2016,231,53729
2017,231,32065
2018,231,31111
2019,231,32276
2020,231,37308
2008,232,2324564
2009,232,2062821
2010,232,2149087
2011,232,2052512
2012,232,1895103
2013,232,2005915
2014,232,2249137
2015,232,2646898
2016,232,3001848
2017,232,3180986
2018,232,3529580
2019,232,3903933
2020,232,4435193
2008,233,84738
2009,233,115298
2010,233,45004
2011,233,48645
2012,233,188772
2013,233,173658
2014,233,166699
2015,233,166685
2016,233,173207
2017,233,170737
2018,233,171547
2019,233,201034
2020,233,
2008,234,95390
2009,234,90341
2010,234,101175
2011,234,97896
2012,234,94386
2013,234,73302
2014,234,73138
2015,234,73402
2016,234,69250
2017,234,64760
2018,234,74054
2019,234,86487
2020,234,67048
2008,235,155125
2009,235,147381
2010,235,192866
2011,235,192640
2012,235,83725
2013,235,38153
2014,235,32668
2015,235,5803
2016,235,2319
2017,235,1439
2018,235,1013
2019,235,968
2020,235,
2008,236,124890
2009,236,77644
2010,236,20000
2011,236,39083
2012,236,49622
2013,236,31571
2014,236,43264
2015,236,43621
2016,236,13536
2017,236,3684
2018,236,4616
2019,236,1898
2020,236,1458
2008,237,200395
2009,237,223377
2010,237,231428
2011,237,243652
2012,237,247753
2013,237,281544
2014,237,305575
2015,237,324672
2016,237,375350
2017,237,494251
2018,237,505186
2019,237,635240
2020,237,613403
2008,238,167216
2009,238,171941
2010,238,174971
2011,238,168184
2012,238,170306
2013,238,167796
2014,238,187213
2015,238,237695
2016,238,272049
2017,238,268862
2018,238,289822
2019,238,352481
2020,238,329275
2008,239,299807
2009,239,279700
2010,239,300180
2011,239,166229
2012,239,171983
2013,239,171451
2014,239,172450
2015,239,173434
2016,239,174000
2017,239,169457
2018,239,259989
2019,239,270567
2020,239,248490
2008,240,68064
2009,240,66618
2010,240,82899
2011,240,79027
2012,240,96279
2013,240,111701
2014,240,95339
2015,240,99279
2016,240,103070
2017,240,106788
2018,240,145968
2019,240,151658
2020,240,133824
2008,241,98494
2009,241,83144
2010,241,83010
2011,241,75246
2012,241,76087
2013,241,68868
2014,241,74824
2015,241,64970
2016,241,57903
2017,241,56692
2018,241,60741
2019,241,64120
2020,241,36706
2008,242,5680302
2009,242,5671288
2010,242,5834593
2011,242,6236173
2012,242,6540499
2013,242,4569967
2014,242,4441546
2015,242,4777196
2016,242,4849249
2017,242,4900231
2018,242,5064790
2019,242,5384969
2020,242,2798422
2008,243,
2009,243,
2010,243,
2011,243,
2012,243,
2013,243,
2014,243,
2015,243,
2016,243,
2017,243,
2018,243,
2019,243,
2020,243,
2008,244,512316
2009,244,529283
2010,244,551354
2011,244,550088
2012,244,527287
2013,244,518358
2014,244,491084
2015,244,593008
2016,244,792222
2017,244,807214
2018,244,
2019,244,
2020,244,
2008,245,
2009,245,
2010,245,
2011,245,16383
2012,245,37567
2013,245,54554
2014,245,63472
2015,245,70173
2016,245,65606
2017,245,62392
2018,245,76533
2019,245,95153
2020,245,91391
2008,246,16496888
2009,246,18432353
2010,246,19962099
2011,246,20091466
2012,246,22682325
2013,246,24917946
2014,246,24838889
2015,246,27005000
2016,246,29197000
2017,246,29432000
2018,246,24104000
2019,246,28419000
2020,246,25438000
2008,247,
2009,247,
2010,247,
2011,247,
2012,247,
2013,247,
2014,247,
2015,247,
2016,247,
2017,247,
2018,247,
2019,247,
2020,247,
2008,248,
2009,248,
2010,248,
2011,248,
2012,248,
2013,248,
2014,248,
2015,248,
2016,248,
2017,248,
2018,248,
2019,248,
2020,248,
2008,249,10634
2009,249,37565
2010,249,40901
2011,249,54885
2012,249,85451
2013,249,73369
2014,249,87126
2015,249,72272
2016,249,62072
2017,249,59788
2018,249,54801
2019,249,59848
2020,249,62834
2008,250,
2009,250,
2010,250,
2011,250,
2012,250,
2013,250,
2014,250,
2015,250,
2016,250,
2017,250,43747
2018,250,49655
2019,250,51580
2020,250,58711
2008,251,
2009,251,
2010,251,
2011,251,
2012,251,
2013,251,
2014,251,
2015,251,
2016,251,
2017,251,
2018,251,
2019,251,
2020,251,
2008,252,
2009,252,
2010,252,
2011,252,
2012,252,
2013,252,
2014,252,
2015,252,
2016,252,
2017,252,
2018,252,
2019,252,
2020,252,
2008,253,
2009,253,
2010,253,
2011,253,
2012,253,
2013,253,54527
2014,253,65089
2015,253,85809
2016,253,121385
2017,253,164017
2018,253,190455
2019,253,225838
2020,253,252076
2008,254,24814
2009,254,27185
2010,254,31978
2011,254,41551
2012,254,36263
2013,254,46719
2014,254,55886
2015,254,90952
2016,254,105164
2017,254,115979
2018,254,143104
2019,254,173373
2020,254,200447
2008,255,
2009,255,
2010,255,
2011,255,
2012,255,
2013,255,1338
2014,255,1537
2015,255,2113
2016,255,2886
2017,255,3519
2018,255,4466
2019,255,5398
2020,255,5620
2008,256,
2009,256,
2010,256,
2011,256,
2012,256,
2013,256,
2014,256,
2015,256,
2016,256,
2017,256,
2018,256,
2019,256,
2020,256,
2008,257,
2009,257,
2010,257,
2011,257,
2012,257,
2013,257,403404
2014,257,432203
2015,257,453812
2016,257,481182
2017,257,505928
2018,257,512043
2019,257,555635
2020,257,450184
2008,258,
2009,258,
2010,258,
2011,258,
2012,258,
2013,258,
2014,258,
2015,258,
2016,258,13524
2017,258,15370
2018,258,20359
2019,258,28685
2020,258,47915
2008,259,
2009,259,
2010,259,
2011,259,
2012,259,
2013,259,
2014,259,
2015,259,
2016,259,
2017,259,
2018,259,
2019,259,
2020,259,
2008,260,
2009,260,
2010,260,
2011,260,
2012,260,
2013,260,
2014,260,
2015,260,
2016,260,
2017,260,
2018,260,
2019,260,
2020,260,
2008,261,
2009,261,
2010,261,
2011,261,
2012,261,
2013,261,
2014,261,
2015,261,
2016,261,
2017,261,
2018,261,
2019,261,
2020,261,
2008,262,
2009,262,
2010,262,
2011,262,
2012,262,
2013,262,761449
2014,262,774803
2015,262,765438
2016,262,758134
2017,262,744873
2018,262,733627
2019,262,741208
2020,262,705562
2008,263,1131564
2009,263,939034
2010,263,700011
2011,263,656015
2012,263,626731
2013,263,494851
2014,263,404333
2015,263,378278
2016,263,363479
2017,263,301062
2018,263,289191
2019,263,
2020,263,
2008,264,
2009,264,
2010,264,
2011,264,
2012,264,
2013,264,1153233
2014,264,1259560
2015,264,1298353
2016,264,1250978
2017,264,1304116
2018,264,1286090
2019,264,1361908
2020,264,1445581
2008,265,
2009,265,
2010,265,
2011,265,
2012,265,
2013,265,
2014,265,
2015,265,
2016,265,
2017,265,49563
2018,265,65338
2019,265,71423
2020,265,63777
2008,266,
2009,266,
2010,266,
2011,266,
2012,266,
2013,266,
2014,266,
2015,266,
2016,266,
2017,266,
2018,266,
2019,266,62254
2020,266,71748
2008,267,
2009,267,
2010,267,
2011,267,
2012,267,
2013,267,
2014,267,
2015,267,
2016,267,
2017,267,
2018,267,
2019,267,
2020,267,
2008,268,
2009,268,
2010,268,
2011,268,
2012,268,
2013,268,
2014,268,
2015,268,
2016,268,
2017,268,
2018,268,
2019,268,
2020,268,
2008,269,
2009,269,
2010,269,
2011,269,
2012,269,
2013,269,
2014,269,
2015,269,589000
2016,269,720000
2017,269,1196798
2018,269,1186075
2019,269,1363960
2020,269,1510871
2008,270,
2009,270,
2010,270,
2011,270,
2012,270,
2013,270,
2014,270,
2015,270,
2016,270,623
2017,270,920
2018,270,1434
2019,270,1301
2020,270,1802
2008,271,
2009,271,
2010,271,
2011,271,
2012,271,
2013,271,
2014,271,31927
2015,271,32021
2016,271,53787
2017,271,55060
2018,271,56776
2019,271,52294
2020,271,50007
2008,272,
2009,272,
2010,272,
2011,272,
2012,272,
2013,272,
2014,272,
2015,272,
2016,272,
2017,272,
2018,272,
2019,272,
2020,272,
2008,273,
2009,273,
2010,273,
2011,273,
2012,273,
2013,273,
2014,273,
2015,273,
2016,273,3716
2017,273,5324
2018,273,6018
2019,273,6666
2020,273,8340
2008,274,
2009,274,
2010,274,
2011,274,
2012,274,
2013,274,
2014,274,9588
2015,274,10151
2016,274,11799
2017,274,18805
2018,274,23222
2019,274,21872
2020,274,20025
2008,275,
2009,275,
2010,275,
2011,275,
2012,275,
2013,275,5583
2014,275,7053
2015,275,9399
2016,275,10472
2017,275,18099
2018,275,27988
2019,275,
2020,275,
2008,276,
2009,276,
2010,276,
2011,276,
2012,276,
2013,276,
2014,276,
2015,276,
2016,276,
2017,276,
2018,276,
2019,276,
2020,276,
2008,277,
2009,277,
2010,277,
2011,277,
2012,277,
2013,277,124477
2014,277,118345
2015,277,163797
2016,277,182113
2017,277,200610
2018,277,202297
2019,277,174764
2020,277,155079
2008,278,
2009,278,
2010,278,
2011,278,
2012,278,
2013,278,
2014,278,29076
2015,278,33038
2016,278,39233
2017,278,39591
2018,278,34217
2019,278,31864
2020,278,
2008,279,
2009,279,
2010,279,
2011,279,
2012,279,
2013,279,
2014,279,
2015,279,15126
2016,279,14213
2017,279,14928
2018,279,16370
2019,279,16569
2020,279,14606
2008,280,
2009,280,
2010,280,
2011,280,
2012,280,
2013,280,
2014,280,
2015,280,
2016,280,
2017,280,
2018,280,
2019,280,
2020,280,
2008,281,
2009,281,
2010,281,
2011,281,
2012,281,
2013,281,
2014,281,
2015,281,
2016,281,
2017,281,
2018,281,
2019,281,
2020,281,
2008,282,
2009,282,
2010,282,
2011,282,
2012,282,
2013,282,
2014,282,
2015,282,
2016,282,
2017,282,
2018,282,
2019,282,
2020,282,
2008,283,
2009,283,
2010,283,
2011,283,
2012,283,
2013,283,
2014,283,
2015,283,
2016,283,
2017,283,
2018,283,
2019,283,
2020,283,
2008,284,
2009,284,
2010,284,
2011,284,
2012,284,
2013,284,
