Date,Id,operating expense
2011,33,198518
2012,33,200878
2013,33,206610
2014,33,200445
2015,33,199644
2016,33,176401
2017,33,173613
2018,33,195507
2019,33,
2020,33,
2008,34,5176281
2009,34,4592968
2010,34,4561804
2011,34,4677220
2012,34,4380864
2013,34,4096535
2014,34,3988891
2015,34,4167272
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,971960
2009,35,778773
2010,35,834142
2011,35,907502
2012,35,934033
2013,35,927144
2014,35,867257
2015,35,887218
2016,35,955037
2017,35,1015835
2018,35,1064324
2019,35,1075259
2020,35,1082291
2008,36,2870333
2009,36,2409561
2010,36,2575371
2011,36,2676054
2012,36,2652360
2013,36,2584939
2014,36,2365807
2015,36,2440026
2016,36,2372662
2017,36,2550438
2018,36,2597309
2019,36,2794911
2020,36,2738485
2008,37,5667419
2009,37,4827152
2010,37,4798007
2011,37,5013805
2012,37,4772763
2013,37,4312856
2014,37,4215977
2015,37,379457
2016,37,399779
2017,37,367464
2018,37,422888
2019,37,473538
2020,37,499003
2008,38,2747946
2009,38,2562167
2010,38,1865348
2011,38,1865909
2012,38,2295635
2013,38,2139695
2014,38,3905753
2015,38,4418078
2016,38,5584205
2017,38,6036012
2018,38,5103827
2019,38,4749604
2020,38,4427787
2008,39,24732
2009,39,41551
2010,39,54605
2011,39,68260
2012,39,74548
2013,39,47954
2014,39,40203
2015,39,40903
2016,39,36299
2017,39,35528
2018,39,36038
2019,39,44746
2020,39,74481
2008,40,70308
2009,40,71165
2010,40,76624
2011,40,164421
2012,40,190340
2013,40,185136
2014,40,185040
2015,40,200771
2016,40,193719
2017,40,214888
2018,40,230326
2019,40,261279
2020,40,286336
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,10088
2013,41,10351
2014,41,8567
2015,41,9706
2016,41,12933
2017,41,59494
2018,41,122190
2019,41,144084
2020,41,138320
2008,42,51623000
2009,42,53542000
2010,42,62163000
2011,42,67875000
2012,42,74373000
2013,42,68555000
2014,42,68619000
2015,42,66773000
2016,42,60713000
2017,42,65293000
2018,42,66046000
2019,42,68705000
2020,42,54518000
2008,43,677200
2009,43,656800
2010,43,771400
2011,43,795900
2012,43,836300
2013,43,854500
2014,43,976900
2015,43,1025900
2016,43,1044500
2017,43,1141000
2018,43,1209300
2019,43,1182700
2020,43,1370700
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,14508
2014,44,13360
2015,44,12232
2016,44,11837
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2704419
2009,46,2736455
2010,46,1717998
2011,46,2937007
2012,46,3276146
2013,46,3185034
2014,46,2649516
2015,46,2546679
2016,46,2335210
2017,46,2430361
2018,46,2571811
2019,46,2697992
2020,46,2861008
2008,47,5373000
2009,47,5295000
2010,47,5534000
2011,47,5800000
2012,47,5994000
2013,47,5078000
2014,47,4467000
2015,47,4349000
2016,47,4391000
2017,47,5059000
2018,47,5756000
2019,47,6631000
2020,47,6311000
2008,48,1017000
