Date,Id,total debt
2020,33,
2008,34,3285679
2009,34,3165077
2010,34,3083946
2011,34,2832498
2012,34,2687697
2013,34,2466867
2014,34,2716923
2015,34,2693761
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,458071
2009,35,444770
2010,35,437661
2011,35,451073
2012,35,441227
2013,35,426255
2014,35,361647
2015,35,352055
2016,35,797421
2017,35,750183
2018,35,468205
2019,35,548956
2020,35,529177
2008,36,1546284
2009,36,1811157
2010,36,1636766
2011,36,1728828
2012,36,1743985
2013,36,1552952
2014,36,1462515
2015,36,1499943
2016,36,1438477
2017,36,1491024
2018,36,1252004
2019,36,1360705
2020,36,1306334
2008,37,4256476
2009,37,4140636
2010,37,4064363
2011,37,3838401
2012,37,3540898
2013,37,2898280
2014,37,3037040
2015,37,263064
2016,37,133308
2017,37,101021
2018,37,185571
2019,37,176891
2020,37,140698
2008,38,969993
2009,38,1087354
2010,38,1191210
2011,38,1213019
2012,38,699102
2013,38,528568
2014,38,1426890
2015,38,1820176
2016,38,2327000
2017,38,2285708
2018,38,2317446
2019,38,2248463
2020,38,3558771
2008,39,252634
2009,39,311846
2010,39,350669
2011,39,379417
2012,39,348325
2013,39,306635
2014,39,231484
2015,39,222442
2016,39,214669
2017,39,206706
2018,39,281774
2019,39,634631
2020,39,624634
2008,40,102637
2009,40,82608
2010,40,803101
2011,40,862841
2012,40,982295
2013,40,884591
2014,40,846616
2015,40,759638
2016,40,759965
2017,40,811624
2018,40,738824
2019,40,829694
2020,40,908696
2008,41,39067
2009,41,44290
2010,41,39833
2011,41,30103
2012,41,26656
2013,41,32044
2014,41,29582
2015,41,27531
2016,41,27423
2017,41,33167
2018,41,51840
2019,41,78790
2020,41,106273
2008,42,59622000
2009,42,66301000
2010,42,63648000
2011,42,63174000
2012,42,63295000
2013,42,58332000
2014,42,57808000
2015,42,53457000
2016,42,51762000
2017,42,51969000
2018,42,56556000
2019,42,61500000
2020,42,59032000
2008,43,4295200
2009,43,4324400
2010,43,5304500
2011,43,6838500
2012,43,8978800
2013,43,8707700
2014,43,8849300
2015,43,9056000
2016,43,9329000
2017,43,9673900
2018,43,9483200
2019,43,9632200
2020,43,12250400
2008,44,11203
2009,44,54405
2010,44,71796
2011,44,89101
2012,44,96054
2013,44,81543
2014,44,74663
2015,44,70516
2016,44,59871
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2089381
2009,46,2642282
2010,46,2549508
2011,46,2839561
2012,46,3103016
2013,46,3205699
2014,46,3230669
2015,46,2947522
2016,46,2948584
2017,46,3378190
2018,46,3782809
2019,46,4226253
2020,46,4574073
2008,47,3645000
2009,47,4694000
2010,47,4184000
2011,47,4526000
2012,47,5024000
2013,47,4397000
2014,47,4056000
2015,47,3781000
2016,47,3795000
2017,47,3938000
2018,47,3678000
2019,47,3611000
2020,47,4497000
2008,48,5565000
2009,48,5659000
2010,48,3630000
2011,48,4856000
2012,48,5637000
2013,48,6336000
2014,48,7223000
2015,48,7550000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,1325
2011,49,2026
2012,49,1626
2013,49,6197
2014,49,20518
2015,49,15818
2016,49,9698
2017,49,9378
2018,49,2981
2019,49,2267
2020,49,1055
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,45887
2013,50,46092
2014,50,20233
2015,50,28239
2016,50,37087
2017,50,55839
2018,50,57900
2019,50,52492
2020,50,58343
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,7267
2015,52,4113
2016,52,14920
2017,52,21259
2018,52,24439
2019,52,29899
2020,52,36926
2008,53,56178
2009,53,42360
2010,53,43859
2011,53,35000
2012,53,38568
2013,53,51734
2014,53,52101
2015,53,39167
2016,53,51002
2017,53,50789
2018,53,46135
2019,53,137870
2020,53,138712
2008,54,9282
2009,54,10540
2010,54,11341
2011,54,19681
2012,54,22678
2013,54,22724
2014,54,27038
2015,54,19268
2016,54,14678
2017,54,15036
2018,54,20801
2019,54,37819
2020,54,54590
2008,55,157472
2009,55,170000
2010,55,177981
2011,55,230827
2012,55,224311
2013,55,228816
2014,55,165494
2015,55,179285
2016,55,175554
2017,55,256769
2018,55,208483
2019,55,169677
2020,55,141422
2008,56,170258
2009,56,157656
2010,56,147857
2011,56,154066
2012,56,148216
2013,56,124272
2014,56,125213
2015,56,143506
2016,56,146570
2017,56,140921
2018,56,150208
2019,56,166654
2020,56,163510
2008,57,12303
2009,57,11428
2010,57,20154
2011,57,35703
2012,57,40936
2013,57,64178
2014,57,49565
2015,57,67601
2016,57,69239
2017,57,57021
2018,57,196354
2019,57,
2020,57,
2008,58,1158000
2009,58,1036000
2010,58,1312000
2011,58,1862000
2012,58,1794000
2013,58,1492000
2014,58,1385000
2015,58,1403000
2016,58,1286000
2017,58,1836000
2018,58,3259000
2019,58,3244000
2020,58,3172000
2008,59,3375
2009,59,3627
2010,59,1028
2011,59,6664
2012,59,4219
2013,59,1647
2014,59,0
2015,59,0
2016,59,0
2017,59,0
2018,59,9667
2019,59,15415
2020,59,29280
2008,60,129496
2009,60,137362
2010,60,145765
2011,60,170749
2012,60,173765
2013,60,157102
2014,60,129287
2015,60,115943
2016,60,102804
2017,60,98135
2018,60,89242
2019,60,76554
2020,60,74982
2008,61,39803
2009,61,51215
2010,61,31904
2011,61,41669
2012,61,42613
2013,61,49086
2014,61,48020
2015,61,49231
2016,61,33171
2017,61,28924
2018,61,22681
2019,61,37643
2020,61,45446
2008,62,40707
2009,62,49282
2010,62,104321
2011,62,98142
2012,62,85331
2013,62,67533
2014,62,56654
2015,62,51646
2016,62,44101
2017,62,61791
2018,62,66964
2019,62,50934
2020,62,51831
2008,63,15161
2009,63,4454
2010,63,7376
2011,63,5562
