Date,Id,operating income
2011,33,-8052
2012,33,-12258
2013,33,-22469
2014,33,-15215
2015,33,-18792
2016,33,-11186
2017,33,-11452
2018,33,-43876
2019,33,
2020,33,
2008,34,599276
2009,34,413411
2010,34,229140
2011,34,43322
2012,34,99227
2013,34,138898
2014,34,166750
2015,34,134368
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,120226
2009,35,43700
2010,35,8118
2011,35,25512
2012,35,42160
2013,35,61470
2014,35,80756
2015,35,81822
2016,35,72541
2017,35,124171
2018,35,131862
2019,35,136569
2020,35,142502
2008,36,649899
2009,36,262248
2010,36,73071
2011,36,111331
2012,36,161086
2013,36,168111
2014,36,140547
2015,36,222045
2016,36,296658
2017,36,255775
2018,36,276144
2019,36,426532
2020,36,483926
2008,37,489623
2009,37,538231
2010,37,349334
2011,37,2230
2012,37,2895
2013,37,207043
2014,37,235353
2015,37,22512
2016,37,51249
2017,37,140162
2018,37,40181
2019,37,92337
2020,37,76517
2008,38,119102
2009,38,33776
2010,38,66102
2011,38,175950
2012,38,-95253
2013,38,121711
2014,38,190584
2015,38,177405
2016,38,176153
2017,38,-96036
2018,38,-239685
2019,38,21030
2020,38,-180620
2008,39,-8939
2009,39,-10411
2010,39,-7442
2011,39,-2921
2012,39,5218
2013,39,18273
2014,39,4318
2015,39,3376
2016,39,13223
2017,39,16657
2018,39,19816
2019,39,25286
2020,39,26144
2008,40,27391
2009,40,23758
2010,40,22572
2011,40,84229
2012,40,84263
2013,40,90725
2014,40,63285
2015,40,69969
2016,40,55903
2017,40,73731
2018,40,105563
2019,40,113215
2020,40,98023
2008,41,-9673
2009,41,-9551
2010,41,-9660
2011,41,-10198
2012,41,-7686
2013,41,-7527
2014,41,-5313
2015,41,-7426
2016,41,-9686
2017,41,-750
2018,41,-4501
2019,41,-905
2020,41,-12738
2008,42,7954000
2009,42,8629000
2010,42,9780000
2011,42,9698000
2012,42,8326000
2013,42,8703000
2014,42,4709000
2015,42,6303000
2016,42,7891000
2017,42,7371000
2018,42,7088000
2019,42,8661000
2020,42,8105000
2008,43,659100
2009,43,660500
2010,43,761700
2011,43,795400
2012,43,896500
2013,43,990100
2014,43,945900
