Date,Id,disposal fixed assets
2012,36,28653
2013,36,11399
2014,36,56956
2015,36,11716
2016,36,21111
2017,36,10196
2018,36,43443
2019,36,11976
2020,36,8112
2008,37,
2009,37,
2010,37,
2011,37,
2012,37,
2013,37,83183
2014,37,122785
2015,37,113785
2016,37,738526
2017,37,251901
2018,37,48461
2019,37,357650
2020,37,129463
2008,38,24605
2009,38,16267
2010,38,19118
2011,38,16790
2012,38,15667
2013,38,10606
2014,38,23058
2015,38,36587
2016,38,61287
2017,38,73427
2018,38,623883
2019,38,43515
2020,38,247203
2008,39,
2009,39,
2010,39,
2011,39,
2012,39,
2013,39,424
2014,39,0
2015,39,12686
2016,39,
2017,39,
2018,39,701
2019,39,23738
2020,39,16581
2008,40,3518
2009,40,135
2010,40,129
2011,40,587
2012,40,1649
2013,40,2073
2014,40,69
2015,40,175
2016,40,0
2017,40,0
2018,40,135
2019,40,2458
2020,40,15
2008,41,
2009,41,
2010,41,
2011,41,
2012,41,4013
2013,41,0
2014,41,0
2015,41,0
2016,41,
2017,41,
2018,41,
2019,41,1104
2020,41,177
2008,42,0
2009,42,3712000
2010,42,2610000
2011,42,165000
2012,42,388000
2013,42,1409000
2014,42,312000
2015,42,1350000
2016,42,1032000
2017,42,216000
2018,42,424000
2019,42,688000
2020,42,154000
2008,43,9200
2009,43,7500
2010,43,4700
2011,43,8600
2012,43,72300
2013,43,0
2014,43,12000
2015,43,3400
2016,43,12400
2017,43,9400
2018,43,12700
2019,43,19200
2020,43,10500
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,0
2014,44,0
2015,44,0
2016,44,
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,0
2009,46,0
2010,46,0
2011,46,0
2012,46,0
2013,46,
2014,46,
2015,46,
2016,46,
2017,46,
2018,46,
2019,46,
2020,46,
2008,47,0
2009,47,0
2010,47,0
2011,47,79000
2012,47,234000
2013,47,0
2014,47,0
2015,47,0
2016,47,0
2017,47,0
2018,47,0
2019,47,0
2020,47,0
2008,48,3000
2009,48,23000
2010,48,
2011,48,21000
2012,48,0
2013,48,0
2014,48,586000
2015,48,945000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,0
2014,49,
2015,49,0
2016,49,0
2017,49,47
2018,49,0
2019,49,0
2020,49,0
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,
2015,50,
2016,50,0
2017,50,0
2018,50,0
2019,50,0
2020,50,28
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,0
2016,52,35
2017,52,701
2018,52,425
2019,52,3113
2020,52,
2008,53,633
2009,53,19481
2010,53,1310
2011,53,1869
2012,53,797
2013,53,67
2014,53,3570
2015,53,156
2016,53,5
2017,53,239
2018,53,301307
2019,53,29
2020,53,46
2008,54,
2009,54,
2010,54,
2011,54,
2012,54,0
2013,54,0
2014,54,0
2015,54,0
2016,54,
2017,54,
2018,54,
2019,54,
2020,54,
2008,55,0
2009,55,0
2010,55,0
2011,55,0
2012,55,4202
2013,55,
2014,55,
2015,55,
2016,55,238
2017,55,978
2018,55,466
2019,55,2049
2020,55,120
2008,56,311
2009,56,6160
2010,56,317
2011,56,397
2012,56,335
2013,56,105
2014,56,73
2015,56,133
2016,56,72
2017,56,100
2018,56,205
2019,56,5481
2020,56,149
2008,57,0
2009,57,0
2010,57,0
2011,57,0
2012,57,0
2013,57,0
2014,57,0
2015,57,0
2016,57,0
2017,57,0
2018,57,0
2019,57,
2020,57,
2008,58,1000
2009,58,1000
2010,58,7000
2011,58,14000
2012,58,11000
2013,58,7000
2014,58,6000
2015,58,10000
2016,58,6000
2017,58,3000
2018,58,7000
2019,58,20000
2020,58,18000
2008,59,1091
2009,59,27
2010,59,72
2011,59,99
2012,59,71
2013,59,66
2014,59,142
2015,59,327
2016,59,219
2017,59,1644
2018,59,243
2019,59,135
2020,59,218
2008,60,1
2009,60,0
2010,60,0
2011,60,0
2012,60,
2013,60,
2014,60,
2015,60,
2016,60,
2017,60,271
2018,60,5857
2019,60,13549
2020,60,3814
2008,61,0
2009,61,0
2010,61,0
2011,61,0
2012,61,379
2013,61,119
2014,61,1465
2015,61,97
2016,61,9
2017,61,94
2018,61,52
2019,61,1487
2020,61,12
2008,62,436
2009,62,14
2010,62,9
2011,62,234
