Date,Id,ppe net
2010,34,4595148
2011,34,4447322
2012,34,4121089
2013,34,3912829
2014,34,4173957
2015,34,4110673
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,909534
2009,35,906542
2010,35,876176
2011,35,815310
2012,35,831701
2013,35,762098
2014,35,768709
2015,35,725336
2016,35,1067126
2017,35,759840
2018,35,789500
2019,35,860385
2020,35,817771
2008,36,3222193
2009,36,3411174
2010,36,3477712
2011,36,3334646
2012,36,3208706
2013,36,2973736
2014,36,2835410
2015,36,3090889
2016,36,3208033
2017,36,3000314
2018,36,3059276
2019,36,3249244
2020,36,2997130
2008,37,4373508
2009,37,4503916
2010,37,4700014
2011,37,4546850
2012,37,4220901
2013,37,4009847
2014,37,4266608
2015,37,131238
2016,37,132432
2017,37,130618
2018,37,148534
2019,37,161033
2020,37,159857
2008,38,333244
2009,38,512230
2010,38,295779
2011,38,381587
2012,38,298777
2013,38,199915
2014,38,567919
2015,38,594365
2016,38,803039
2017,38,675277
2018,38,415941
2019,38,477695
2020,38,642129
2008,39,260503
2009,39,327862
2010,39,329528
2011,39,366867
2012,39,340664
2013,39,296577
2014,39,227568
2015,39,223275
2016,39,207267
2017,39,191363
2018,39,276584
2019,39,415325
2020,39,455637
2008,40,221950
2009,40,224140
2010,40,947061
2011,40,1098604
2012,40,1035019
2013,40,1012761
2014,40,965732
2015,40,973151
2016,40,957644
2017,40,1024885
2018,40,1043025
2019,40,1266641
2020,40,1332993
2008,41,29071
2009,41,39465
2010,41,34956
2011,41,49287
2012,41,46225
2013,41,53115
2014,41,50953
2015,41,41493
2016,41,42771
2017,41,27014
2018,41,41281
2019,41,93248
2020,41,101219
2008,42,61524000
2009,42,79100000
2010,42,78094000
2011,42,80592000
2012,42,83115000
2013,42,81050000
2014,42,73089000
2015,42,73307000
2016,42,76265000
2017,42,74937000
2018,42,76631000
2019,42,79809000
2020,42,78718000
2008,43,6035800
2009,43,7075300
2010,43,7802600
2011,43,8618200
2012,43,9342000
2013,43,10119900
2014,43,10778600
2015,43,12078700
2016,43,12386100
2017,43,12752800
2018,43,13244300
2019,43,13864200
2020,43,14559700
2008,44,26537
2009,44,70152
2010,44,76120
2011,44,85019
2012,44,81437
2013,44,76840
2014,44,67466
2015,44,62838
2016,44,54368
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,2907710
2009,46,3192647
2010,46,1904563
2011,46,2021364
2012,46,2066439
2013,46,2057724
2014,46,2031410
2015,46,2087324
2016,46,2210338
2017,46,2252910
2018,46,2365019
2019,46,2672882
2020,46,2860305
2008,47,4005000
2009,47,4164000
2010,47,4872000
2011,47,4685000
2012,47,6370000
2013,47,5930000
2014,47,5625000
2015,47,5067000
2016,47,5080000
2017,47,4606000
2018,47,4620000
2019,47,4869000
