Date,Id,closely held shares
2015,35,110781
2016,35,112835
2017,35,112835
2018,35,113214
2019,35,113382
2020,35,113382
2008,36,93700
2009,36,116407
2010,36,96550
2011,36,93703
2012,36,93703
2013,36,93700
2014,36,93700
2015,36,93700
2016,36,93700
2017,36,93700
2018,36,
2019,36,
2020,36,
2008,37,20543
2009,37,25975
2010,37,29126
2011,37,29042
2012,37,55014
2013,37,55014
2014,37,55012
2015,37,29037
2016,37,30967
2017,37,30967
2018,37,28628
2019,37,28619
2020,37,29885
2008,38,151473
2009,38,121222
2010,38,121056
2011,38,222680
2012,38,402466
2013,38,304586
2014,38,304586
2015,38,328481
2016,38,331208
2017,38,
2018,38,
2019,38,
2020,38,
2008,39,1190
2009,39,412
2010,39,417
2011,39,13790
2012,39,13950
2013,39,13962
2014,39,11608
2015,39,11518
2016,39,30640
2017,39,36605
2018,39,43015
2019,39,43015
2020,39,43779
2008,40,60208
2009,40,64415
2010,40,125748
2011,40,180356
2012,40,206671
2013,40,174848
2014,40,174848
2015,40,174848
2016,40,174848
2017,40,174848
2018,40,180006
2019,40,174848
2020,40,177063
2008,41,
2009,41,
2010,41,
2011,41,28
2012,41,2811
2013,41,2833
2014,41,2868
2015,41,1891
2016,41,1727
2017,41,3208
2018,41,31008
2019,41,31008
2020,41,29607
2008,42,2242116
2009,42,2937609
2010,42,2985696
2011,42,2937609
2012,42,3132258
2013,42,3132729
2014,42,2586300
2015,42,2397811
2016,42,2397811
2017,42,2397811
2018,42,2397811
2019,42,2397811
2020,42,2397811
2008,43,702274
2009,43,702363
2010,43,700737
2011,43,602998
2012,43,710532
2013,43,643378
2014,43,640303
2015,43,600003
2016,43,600003
2017,43,600003
2018,43,601971
2019,43,601971
2020,43,599983
2008,44,
2009,44,
2010,44,
2011,44,
2012,44,
2013,44,98500
2014,44,81905
2015,44,81905
2016,44,81905
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,108611
2009,46,108611
2010,46,108611
2011,46,167965
2012,46,170010
2013,46,168964
2014,46,168964
2015,46,168964
2016,46,168964
2017,46,168964
2018,46,168881
2019,46,168945
2020,46,169903
2008,47,1697009
2009,47,1720345
2010,47,1863593
2011,47,1799227
2012,47,1799227
2013,47,1799040
2014,47,1566453
2015,47,1566453
2016,47,1566453
2017,47,1566453
2018,47,1566453
2019,47,1566453
2020,47,1566453
2008,48,
2009,48,
2010,48,
2011,48,3458500
2012,48,3458500
2013,48,3458550
2014,48,3458550
2015,48,3458550
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,
2011,49,
2012,49,
2013,49,
2014,49,0
2015,49,0
2016,49,0
2017,49,0
2018,49,
2019,49,0
2020,49,45651
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,
2013,50,
2014,50,
2015,50,0
2016,50,0
2017,50,0
2018,50,0
2019,50,0
2020,50,4448
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,
2015,52,
2016,52,
2017,52,3136
2018,52,3136
2019,52,3144
2020,52,
2008,53,8175
2009,53,12171
2010,53,7959
2011,53,9195
2012,53,9048
2013,53,9049
2014,53,8179
2015,53,8179
2016,53,6859
2017,53,6859
2018,53,
2019,53,
2020,53,
2008,54,10215
2009,54,10215
2010,54,9951
2011,54,11346
2012,54,11140
2013,54,10909
2014,54,9826
2015,54,10257
2016,54,10257
2017,54,10257
2018,54,9328
2019,54,10257
2020,54,10398
2008,55,19698
2009,55,25366
2010,55,39930
2011,55,40322
2012,55,40287
2013,55,39136
2014,55,39137
2015,55,39137
2016,55,39137
2017,55,37787
2018,55,37786
2019,55,44799
2020,55,44799
2008,56,3603
2009,56,3535
2010,56,3536
2011,56,5666
2012,56,4473
2013,56,5666
2014,56,5667
2015,56,5667
2016,56,5667
2017,56,4799
2018,56,5146
2019,56,5190
2020,56,5721
2008,57,81199
2009,57,81346
2010,57,81691
2011,57,101419
2012,57,102764
2013,57,101698
2014,57,97884
2015,57,97884
2016,57,95026
2017,57,85826
2018,57,
2019,57,
2020,57,
2008,58,58949
2009,58,31187
2010,58,2334
2011,58,54971
2012,58,13749
2013,58,4507
2014,58,4507
2015,58,18420
2016,58,8989
2017,58,8990
2018,58,10400
2019,58,18749
2020,58,7650
2008,59,9060
2009,59,9060
2010,59,9237
2011,59,12459
2012,59,12459
2013,59,12461
2014,59,12340
2015,59,12100
2016,59,11980
2017,59,11980
2018,59,12047
2019,59,11980
2020,59,11827
2008,60,146527
2009,60,146527
2010,60,146527
2011,60,142340
2012,60,142340
2013,60,
2014,60,139178
2015,60,139178
2016,60,116190
2017,60,116190
2018,60,116190
2019,60,116190
2020,60,
2008,61,8602
2009,61,8602
2010,61,8697
2011,61,8760
2012,61,8760
2013,61,8760
2014,61,8760
2015,61,8760
2016,61,8760
2017,61,8300
2018,61,8300
2019,61,8669
2020,61,8300
2008,62,1155
2009,62,1742
2010,62,1742
2011,62,15749
2012,62,15749
2013,62,15749
2014,62,15749
2015,62,15749
2016,62,15749
2017,62,14065
2018,62,16002
2019,62,16002
2020,62,16002
2008,63,57158
2009,63,57163
2010,63,41649
2011,63,51037
2012,63,49616
2013,63,51037
2014,63,51026
2015,63,51026
2016,63,0
2017,63,40120
2018,63,59107
2019,63,51954
2020,63,120846
2008,64,4754432
2009,64,4319883
2010,64,4316898
2011,64,3682940
2012,64,5032244
2013,64,4922700
2014,64,4344560
2015,64,4962262
2016,64,3640110
2017,64,5633239
2018,64,
2019,64,
2020,64,
2008,65,37954
2009,65,39544
2010,65,37773
2011,65,38179
2012,65,39143
2013,65,38178
2014,65,38178
2015,65,38178
2016,65,38178
2017,65,38178
2018,65,38178
2019,65,33529
2020,65,33529
2008,66,
2009,66,
2010,66,
2011,66,
2012,66,23047
2013,66,23047
2014,66,23069
2015,66,23069
2016,66,25569
2017,66,
2018,66,
2019,66,
2020,66,
2008,67,
2009,67,
2010,67,
2011,67,5691
2012,67,7194
2013,67,5691
2014,67,5691
2015,67,5691
2016,67,9137
2017,67,9137
2018,67,9958
2019,67,10000
2020,67,11847
2008,68,0
2009,68,0
2010,68,
2011,68,2339
2012,68,2339
2013,68,2339
2014,68,2511
2015,68,2003
2016,68,1800
2017,68,1753
2018,68,2346
2019,68,2772
2020,68,
2008,69,126207
2009,69,126207
2010,69,131138
2011,69,1468643
2012,69,1520274
2013,69,1524844
2014,69,1527491
2015,69,1545840
2016,69,1545882
2017,69,1662786
2018,69,
2019,69,
2020,69,
2008,70,
2009,70,
2010,70,
2011,70,220
2012,70,9007
2013,70,220
2014,70,523
2015,70,523
2016,70,515
2017,70,8880
2018,70,8236
2019,70,8280
2020,70,7968
2008,71,
2009,71,
2010,71,
2011,71,
2012,71,15655
2013,71,15654
2014,71,15654
2015,71,15654
2016,71,15654
2017,71,14563
2018,71,14563
2019,71,14563
2020,71,14926
2008,72,
2009,72,
2010,72,
2011,72,21706
2012,72,22277
2013,72,21706
2014,72,21700
2015,72,21700
2016,72,23259
2017,72,23174
2018,72,23174
2019,72,23174
2020,72,21189
2008,73,2
2009,73,3941
2010,73,3934
2011,73,3934
2012,73,4927
2013,73,4927
2014,73,4927
2015,73,4394
2016,73,6170
2017,73,
2018,73,
2019,73,
2020,73,
2008,74,
2009,74,
2010,74,
2011,74,
2012,74,
2013,74,
2014,74,
2015,74,
2016,74,
2017,74,
2018,74,
2019,74,
2020,74,
2008,75,
2009,75,
2010,75,
2011,75,
2012,75,
2013,75,
