Date,Id,long term debt
2010,34,2567468
2011,34,2099268
2012,34,2016946
2013,34,2135003
2014,34,2296753
2015,34,2095528
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,206586
2009,35,265719
2010,35,223898
2011,35,153164
2012,35,220251
2013,35,284135
2014,35,255754
2015,35,235291
2016,35,744606
2017,35,696090
2018,35,450980
2019,35,504265
2020,35,161207
2008,36,1394665
2009,36,1448713
2010,36,1458850
2011,36,1247855
2012,36,1385154
2013,36,1356335
2014,36,1304359
2015,36,970509
2016,36,1381407
2017,36,1119986
2018,36,922394
2019,36,1310293
2020,36,1230863
2008,37,3010954
2009,37,2915453
2010,37,2735959
2011,37,2318948
2012,37,2196608
2013,37,2192235
2014,37,2339173
2015,37,43242
2016,37,77909
2017,37,46622
2018,37,113333
2019,37,118817
2020,37,83050
2008,38,313956
2009,38,465944
2010,38,682826
2011,38,534676
2012,38,327417
2013,38,277643
2014,38,952845
2015,38,1221554
2016,38,1854219
2017,38,1623204
2018,38,1761583
2019,38,1941855
2020,38,2154995
2008,39,181279
2009,39,243152
2010,39,263844
2011,39,311138
2012,39,288519
2013,39,240737
2014,39,148153
2015,39,128400
2016,39,128927
2017,39,157938
2018,39,221394
2019,39,578756
2020,39,534883
2008,40,76745
2009,40,56144
2010,40,589929
2011,40,818656
2012,40,907928
2013,40,820209
2014,40,758640
2015,40,685485
2016,40,693440
2017,40,724628
2018,40,663720
2019,40,737192
2020,40,803803
2008,41,28707
2009,41,25880
2010,41,24347
2011,41,26116
2012,41,21014
2013,41,29224
2014,41,26719
2015,41,24958
2016,41,24567
2017,41,2170
2018,41,18704
2019,41,30398
2020,41,60782
2008,42,51045000
2009,42,55850000
2010,42,52440000
2011,42,48703000
2012,42,55959000
2013,42,51113000
2014,42,49431000
2015,42,45569000
2016,42,42006000
2017,42,43075000
2018,42,49573000
2019,42,54174000
2020,42,49519000
2008,43,4022000
2009,43,4199200
2010,43,5147500
2011,43,6738700
2012,43,8909400
2013,43,8009900
2014,43,8085200
2015,43,8516500
2016,43,8404400
2017,43,8671600
2018,43,8227600
2019,43,9480700
2020,43,9860200
2008,44,3366
2009,44,50644
2010,44,43223
2011,44,65589
2012,44,76955
2013,44,67246
2014,44,61891
2015,44,41875
2016,44,25312
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
