Date,Id,EBITDA
2020,33,
2008,34,1034897
2009,34,877705
2010,34,866958
2011,34,637669
2012,34,644578
2013,34,617340
2014,34,636743
2015,34,548026
2016,34,
2017,34,
2018,34,
2019,34,
2020,34,
2008,35,193249
2009,35,140535
2010,35,119945
2011,35,112323
2012,35,133767
2013,35,171301
2014,35,200557
2015,35,193723
2016,35,213711
2017,35,218767
2018,35,277010
2019,35,245950
2020,35,259590
2008,36,977897
2009,36,528898
2010,36,222870
2011,36,410145
2012,36,406111
2013,36,368677
2014,36,450219
2015,36,490960
2016,36,552380
2017,36,635618
2018,36,744822
2019,36,772674
2020,36,982812
2008,37,885390
2009,37,969267
2010,37,869030
2011,37,499450
2012,37,239757
2013,37,555728
2014,37,625471
2015,37,11417
2016,37,46632
2017,37,171402
2018,37,73587
2019,37,146334
2020,37,143813
2008,38,352961
2009,38,247040
2010,38,322045
2011,38,332067
2012,38,120169
2013,38,332865
2014,38,418807
2015,38,488597
2016,38,580570
2017,38,300155
2018,38,200380
2019,38,312994
2020,38,430752
2008,39,2459
2009,39,17532
2010,39,28741
2011,39,35177
2012,39,51967
2013,39,42516
2014,39,-608
2015,39,22448
2016,39,36057
2017,39,41790
2018,39,45469
2019,39,65874
2020,39,82434
2008,40,57354
2009,40,31005
2010,40,38422
2011,40,161957
2012,40,43683
2013,40,145674
2014,40,136287
2015,40,137136
2016,40,87312
2017,40,138574
2018,40,185103
2019,40,199470
2020,40,198637
2008,41,-13779
2009,41,-41574
2010,41,-33579
2011,41,-22340
2012,41,2562
2013,41,2716
2014,41,4462
2015,41,-340
2016,41,-3669
2017,41,6994
2018,41,22210
2019,41,16836
2020,41,2342
2008,42,13622000
2009,42,16008000
2010,42,16013000
2011,42,16484000
2012,42,13348000
2013,42,15483000
2014,42,8054000
2015,42,12893000
2016,42,13345000
2017,42,14588000
2018,42,15906000
2019,42,12671000
2020,42,13131000
2008,43,1015400
2009,43,1003200
2010,43,1176900
2011,43,1259600
2012,43,1501100
2013,43,1539100
2014,43,1498800
2015,43,1517400
2016,43,1518800
2017,43,1585400
2018,43,1633600
2019,43,1746300
2020,43,1812100
2008,44,-5972
2009,44,-8483
2010,44,-13660
2011,44,4379
2012,44,7300
2013,44,7864
2014,44,6667
2015,44,7173
2016,44,6546
2017,44,
2018,44,
2019,44,
2020,44,
2008,45,
2009,45,
2010,45,
2011,45,
2012,45,
2013,45,
2014,45,
2015,45,
2016,45,
2017,45,
2018,45,
2019,45,
2020,45,
2008,46,611129
2009,46,410558
2010,46,1005935
2011,46,546395
2012,46,523261
2013,46,631800
2014,46,595524
2015,46,624602
2016,46,787747
2017,46,638545
2018,46,804433
2019,46,922410
2020,46,1061136
2008,47,937000
2009,47,830000
2010,47,696000
2011,47,603000
2012,47,984000
2013,47,1265000
2014,47,770000
2015,47,611000
2016,47,917000
2017,47,1099000
2018,47,1061000
2019,47,1226000
2020,47,1200000
2008,48,1134000
2009,48,1205000
2010,48,1308000
2011,48,1541000
2012,48,1717000
2013,48,1740000
2014,48,1660000
2015,48,1525000
2016,48,
2017,48,
2018,48,
2019,48,
2020,48,
2008,49,
2009,49,
2010,49,53
2011,49,209
2012,49,448
2013,49,519
2014,49,2725
2015,49,3050
2016,49,1658
2017,49,225
2018,49,-4863
2019,49,930
2020,49,
2008,50,
2009,50,
2010,50,
2011,50,
2012,50,11270
2013,50,11192
2014,50,14448
2015,50,7915
2016,50,10002
2017,50,9358
2018,50,12340
2019,50,15166
2020,50,14383
2008,51,
2009,51,
2010,51,
2011,51,
2012,51,
2013,51,
2014,51,
2015,51,
2016,51,
2017,51,
2018,51,
2019,51,
2020,51,
2008,52,
2009,52,
2010,52,
2011,52,
2012,52,
2013,52,
2014,52,3741
2015,52,3286
2016,52,3836
2017,52,11608
2018,52,8192
2019,52,5551
2020,52,6637
2008,53,42858
2009,53,-3904
2010,53,19679
2011,53,23061
2012,53,20419
2013,53,14169
2014,53,20539
2015,53,27951
2016,53,31591
2017,53,46066
2018,53,8688
2019,53,39553
2020,53,22122
2008,54,28382
2009,54,-5841
2010,54,11427
2011,54,10341
2012,54,
2013,54,15541
2014,54,27757
2015,54,26831
2016,54,56728
2017,54,31358
2018,54,34132
2019,54,45803
2020,54,36111
2008,55,47806
2009,55,9625
2010,55,49348
2011,55,53003
2012,55,32299
2013,55,58420
2014,55,62133
2015,55,72056
2016,55,87671
2017,55,97997
2018,55,99779
2019,55,89409
2020,55,42568
2008,56,33295
2009,56,6689
2010,56,13586
2011,56,19671
2012,56,28767
2013,56,28569
2014,56,33346
2015,56,31112
2016,56,35708
2017,56,45497
2018,56,56502
2019,56,35016
2020,56,13605
2008,57,49601
2009,57,43792
2010,57,49079
2011,57,51882
2012,57,50401
2013,57,36550
2014,57,36446
2015,57,38169
2016,57,35364
2017,57,46524
2018,57,44988
2019,57,
2020,57,
2008,58,415000
2009,58,440000
2010,58,329000
2011,58,107000
2012,58,515000
2013,58,472000
2014,58,382000
2015,58,517000
2016,58,593000
2017,58,524000
